y,q,ask_hjb,bid_hjb,ask_aff,bid_aff,ask_curv,bid_curv,ask_cubic,bid_cubic,ask_gal,bid_gal
-3,-30,-0.2001660913,1.243871064,-0.5685397757,1.592149202,1.594170043,-0.5145017597,1.223267207,-0.1675195654,0.2488909217,0.8396998053
-3,-29,-0.2463627616,1.291123073,-0.5946408997,1.618250326,1.512010062,-0.4323417785,1.165027868,-0.1084828709,0.1578084969,0.9293420133
-3,-28,-0.293614771,1.339426793,-0.6207420238,1.64435145,1.429850081,-0.3501817972,1.105991173,-0.04864882167,0.06816628888,1.017544005
-3,-27,-0.3419184912,1.388771592,-0.6468431479,1.670452574,1.347690099,-0.2680218159,1.046157124,0.01198258225,-0.02003570246,1.104305779
-3,-26,-0.3912632895,1.439138884,-0.6729442719,1.696553698,1.265530118,-0.1858618346,0.98552572,0.0734113409,-0.1067974771,1.189627337
-3,-25,-0.4416305822,1.490501212,-0.699045396,1.722654822,1.183370137,-0.1037018533,0.9240969613,0.1356374543,-0.192119035,1.273508678
-3,-24,-0.4929929101,1.542821383,-0.72514652,1.748755946,1.101210156,-0.02154187202,0.8618708479,0.1986609223,-0.2760003762,1.355949803
-3,-23,-0.545313081,1.596051737,-0.7512476441,1.77485707,1.019050174,0.06061810926,0.7988473799,0.2624817451,-0.3584415008,1.436950711
-3,-22,-0.5985434346,1.650133594,-0.7773487682,1.800958194,0.9368901929,0.1427780906,0.7350265571,0.3270999226,-0.4394424086,1.516511402
-3,-21,-0.6526252919,1.704996957,-0.8034498922,1.827059318,0.8547302117,0.2249380718,0.6704083796,0.3925154549,-0.5190030997,1.594631876
-3,-20,-0.7074886546,1.76056052,-0.8295510163,1.853160443,0.7725702304,0.3070980531,0.6049928473,0.4587283418,-0.5971235741,1.671312134
-3,-19,-0.7630522182,1.816732056,-0.8556521403,1.879261567,0.6904102491,0.3892580344,0.5387799604,0.5257385835,-0.6738038318,1.746552175
-3,-18,-0.8192237536,1.873409198,-0.8817532644,1.905362691,0.6082502678,0.4714180157,0.4717697187,0.5935461799,-0.7490438728,1.820351999
-3,-17,-0.8759008958,1.930480654,-0.9078543885,1.931463815,0.5260902865,0.553577997,0.4039621223,0.662151131,-0.822843697,1.892711607
-3,-16,-0.9329723521,1.987827817,-0.9339555125,1.957564939,0.4439303052,0.6357379783,0.3353571712,0.7315534368,-0.8952033046,1.963630998
-3,-15,-0.9903195147,2.045326728,-0.9600566366,1.983666063,0.3617703239,0.7178979596,0.2659548654,0.8017530973,-0.9661226955,2.033110172
-3,-14,-1.047818426,2.102850314,-0.9861577606,2.009767187,0.2796103426,0.8000579409,0.1957552049,0.8727501126,-1.03560187,2.101149129
-3,-13,-1.105342012,2.160270786,-1.012258885,2.035868311,0.1974503614,0.8822179221,0.1247581897,0.9445444825,-1.103640827,2.16774787
-3,-12,-1.162762483,2.217462066,-1.038360009,2.061969435,0.1152903801,0.9643779034,0.05296381969,1.017136207,-1.170239568,2.232906394
-3,-11,-1.219953764,2.274302136,-1.064461133,2.088070559,0.03313039878,1.046537885,-0.019627905,1.090525287,-1.235398092,2.296624701
-3,-10,-1.276793834,2.33067516,-1.090562257,2.114171683,-0.04902958251,1.128697866,-0.0930169844,1.164711721,-1.299116399,2.358902792
-3,-9,-1.333166858,2.38647331,-1.116663381,2.140272807,-0.1311895638,1.210857847,-0.1672034185,1.23969551,-1.36139449,2.419740666
-3,-8,-1.388965008,2.441598211,-1.142764505,2.166373931,-0.2133495451,1.293017829,-0.2421872073,1.315476653,-1.422232364,2.479138323
-3,-7,-1.444089909,2.49596198,-1.168865629,2.192475055,-0.2955095264,1.37517781,-0.3179683509,1.392055151,-1.481630021,2.537095764
-3,-6,-1.498453678,2.549487848,-1.194966753,2.218576179,-0.3776695077,1.457337791,-0.3945468492,1.469431004,-1.539587462,2.593612988
-3,-5,-1.551979545,2.602110397,-1.221067877,2.244677303,-0.4598294889,1.539497772,-0.4719227022,1.547604212,-1.596104685,2.648689995
-3,-4,-1.604602095,2.653775456,-1.247169001,2.270778427,-0.5419894702,1.621657754,-0.5500959099,1.626574774,-1.651181693,2.702326785
-3,-3,-1.656267154,2.704439709,-1.273270125,2.296879552,-0.6241494515,1.703817735,-0.6290664723,1.706342692,-1.704818483,2.754523359
-3,-2,-1.706931407,2.754070078,-1.299371249,2.322980676,-0.7063094328,1.785977716,-0.7088343894,1.786907963,-1.757015057,2.805279716
-3,-1,-1.756561776,2.802642954,-1.325472373,2.3490818,-0.7884694141,1.868137698,-0.7893996613,1.86827059,-1.807771414,2.854595856
-3,0,-1.805134651,2.85014332,-1.351573497,2.375182924,-0.8706293954,1.950297679,-0.8707622878,1.950430571,-1.857087554,2.90247178
-3,1,-1.852635018,2.896563829,-1.377674622,2.401284048,-0.9527893767,2.03245766,-0.9529222691,2.033387907,-1.904963477,2.948907487
