y,q,ask_hjb,bid_hjb,ask_sc,bid_sc,ask_gal,bid_gal
-6,-5,-2.682570645,3.759596633,-2.613333203,3.677435318,-1.525194905,2.918862724
-5.96,-5,-2.681444135,3.758438888,-2.607686188,3.671890167,-1.569802805,2.949345517
-5.92,-5,-2.680317626,3.757281143,-2.601930129,3.666226271,-1.612038042,2.978049732
-5.88,-5,-2.67814002,3.755043288,-2.596060889,3.660439786,-1.651991729,3.005040422
-5.84,-5,-2.674911318,3.751725324,-2.590074283,3.654526819,-1.689751419,3.030380129
-5.8,-5,-2.671682616,3.748407359,-2.583966078,3.648483422,-1.725401186,3.054128945
-5.76,-5,-2.666627894,3.743213385,-2.577732,3.642305605,-1.759021713,3.076344574
-5.72,-5,-2.661573171,3.738019411,-2.571367738,3.635989333,-1.790690387,3.097082393
-5.68,-5,-2.655721198,3.732006584,-2.564868952,3.62953053,-1.820481391,3.11639552
-5.64,-5,-2.649071975,3.725174904,-2.558231271,3.622925083,-1.848465806,3.134334885
-5.6,-5,-2.642422751,3.718343224,-2.551450298,3.616168845,-1.874711711,3.150949299
-5.56,-5,-2.634373417,3.710073982,-2.544521615,3.609257632,-1.899284286,3.16628552
-5.52,-5,-2.626324083,3.70180474,-2.537440782,3.602187231,-1.92224591,3.180388332
-5.48,-5,-2.617656429,3.692900902,-2.530203338,3.594953396,-1.943656268,3.193300607
-5.44,-5,-2.608370455,3.683362468,-2.522804808,3.587551853,-1.963572446,3.205063381
-5.4,-5,-2.599084481,3.673824033,-2.515240698,3.5799783,-1.982049031,3.21571592
-5.36,-5,-2.588699501,3.663158229,-2.507506501,3.572228409,-1.999138213,3.225295786
-5.32,-5,-2.578314521,3.652492426,-2.499597695,3.564297826,-2.014889875,3.233838909
-5.28,-5,-2.567438042,3.641322739,-2.491509748,3.556182171,-2.029351687,3.241379647
-5.24,-5,-2.556070062,3.629649169,-2.483238114,3.547877045,-2.042569203,3.247950852
-5.2,-5,-2.544702082,3.6179756,-2.474778239,3.539378025,-2.05458594,3.253583929
-5.16,-5,-2.532448966,3.60539523,-2.466125558,3.530680669,-2.065443471,3.258308901
-5.12,-5,-2.52019585,3.59281486,-2.457275501,3.521780517,-2.075181507,3.262154462
-5.08,-5,-2.507541475,3.579823744,-2.448223492,3.512673093,-2.083837973,3.265148036
-5.04,-5,-2.494485841,3.566421883,-2.438964948,3.503353905,-2.091449094,3.26731583
-5,-5,-2.481430207,3.553020021,-2.429495289,3.493818452,-2.09804946,3.268682889
-4.96,-5,-2.467641837,3.538868796,-2.419809931,3.484062221,-2.103672108,3.269273143
-4.92,-5,-2.453853468,3.524717571,-2.409904293,3.474080693,-2.108348584,3.26910946
-4.88,-5,-2.439728209,3.51022217,-2.3997738,3.463869346,-2.112109013,3.268213689
-4.84,-5,-2.425266061,3.495382595,-2.389413885,3.453423656,-2.114982166,3.26660671
-4.8,-5,-2.410803914,3.480543019,-2.378819992,3.442739103,-2.116995516,3.264308471
-4.76,-5,-2.395717796,3.465066716,-2.36798758,3.431811174,-2.1181753,3.261338037
-4.72,-5,-2.380631678,3.449590414,-2.356912127,3.420635368,-2.118546577,3.257713623
-4.68,-5,-2.365254607,3.433817586,-2.345589134,3.409207198,-2.11813328,3.253452639
-4.64,-5,-2.349586582,3.417748233,-2.33401413,3.3975222,-2.116958271,3.248571722
-4.6,-5,-2.333918557,3.40167888,-2.322182678,3.385575935,-2.115043387,3.243086773
-4.56,-5,-2.317704119,3.385053415,-2.310090377,3.373363996,-2.112409489,3.237012992
-4.52,-5,-2.301489681,3.368427949,-2.297732873,3.360882015,-2.109076512,3.230364909
-4.48,-5,-2.285016991,3.351540032,-2.285105863,3.348125669,-2.105063501,3.223156416
-4.44,-5,-2.268286049,3.334389665,-2.2722051,3.335090688,-2.100388658,3.215400794
-4.4,-5,-2.251555106,3.317239297,-2.259026403,3.321772859,-2.095069382,3.207110746
-4.36,-5,-2.234332812,3.299590364,-2.245565667,3.308168041,-2.089122304,3.198298422
-4.32,-5,-2.217110518,3.281941431,-2.231818864,3.294272166,-2.082563324,3.188975444
-4.28,-5,-2.199653094,3.264054302,-2.21778206,3.280081254,-2.075407651,3.179152933
-4.24,-5,-2.181960539,3.245928977,-2.203451419,3.265591419,-2.067669827,3.168841531
-4.2,-5,-2.164267984,3.227803653,-2.188823216,3.250798882,-2.059363769,3.158051425
-4.16,-5,-2.146122783,3.20922055,-2.173893847,3.235699981,-2.050502789,3.14679237
-4.12,-5,-2.127977582,3.190637448,-2.15865984,3.22029118,-2.041099633,3.135073707
-4.08,-5,-2.109613372,3.171833234,-2.143117866,3.204569085,-2.031166501,3.122904386
-4.04,-5,-2.091030153,3.152807909,-2.127264753,3.188530454,-2.020715078,3.110292984
-4,-5,-2.072446933,3.133782585,-2.111097498,3.172172211,-2.009756556,3.097247723
-3.96,-5,-2.053437748,3.114327959,-2.09461328,3.15549146,-1.998301663,3.083776487
-3.92,-5,-2.034428563,3.094873333,-2.077809477,3.138485499,-1.98636068,3.069886843
-3.88,-5,-2.015211308,3.075209377,-2.060683676,3.121151834,-1.973943468,3.055586051
-3.84,-5,-1.995785982,3.055336091,-2.043233695,3.103488199,-1.961059487,3.040881084
-3.8,-5,-1.976360656,3.035462805,-2.025457592,3.085492568,-1.947717816,3.025778641
-3.76,-5,-1.956527071,3.015179514,-2.007353687,3.067163171,-1.933927173,3.010285163
-3.72,-5,-1.936693486,2.994896222,-1.988920575,3.048498516,-1.919695935,2.994406842
-3.68,-5,-1.916658862,2.974411386,-1.970157148,3.029497403,-1.905032151,2.978149643
-3.64,-5,-1.896423199,2.953725004,-1.951062608,3.010158944,-1.889943564,2.961519305
-3.6,-5,-1.876187536,2.933038623,-1.93163649,2.990482582,-1.874437626,2.944521364
-3.56,-5,-1.85555447,2.911954529,-1.911878677,2.970468109,-1.858521512,2.927161156
-3.52,-5,-1.834921404,2.890870435,-1.891789422,2.950115685,-1.842202134,2.909443835
-3.48,-5,-1.814091304,2.869589488,-1.871369365,2.929425859,-1.825486159,2.891374378
-3.44,-5,-1.793064168,2.848111688,-1.850619554,2.90839959,-1.808380021,2.8729576
-3.4,-5,-1.772037033,2.826633888,-1.829541463,2.887038263,-1.790889931,2.854198159
-3.36,-5,-1.750617948,2.804765149,-1.808137012,2.865343712,-1.773021896,2.83510057
