y,q,ask_hjb,bid_hjb,ask_sc,bid_sc,ask_gal,bid_gal
-3,-30,-0.2001660913,1.243871064,0.3126818981,0.7796618268,0.2488909217,0.8396998053
-3,-29,-0.2463627616,1.291123073,0.2178464754,0.8729744751,0.1578084969,0.9293420133
-3,-28,-0.293614771,1.339426793,0.1245338271,0.964764349,0.06816628888,1.017544005
-3,-27,-0.3419184912,1.388771592,0.03274395322,1.055031449,-0.02003570246,1.104305779
-3,-26,-0.3912632895,1.439138884,-0.05752314636,1.143775774,-0.1067974771,1.189627337
-3,-25,-0.4416305822,1.490501212,-0.1462674716,1.230997325,-0.192119035,1.273508678
-3,-24,-0.4929929101,1.542821383,-0.2334890225,1.316696101,-0.2760003762,1.355949803
-3,-23,-0.545313081,1.596051737,-0.319187799,1.400872103,-0.3584415008,1.436950711
-3,-22,-0.5985434346,1.650133594,-0.4033638012,1.483525331,-0.4394424086,1.516511402
-3,-21,-0.6526252919,1.704996957,-0.486017029,1.564655785,-0.5190030997,1.594631876
-3,-20,-0.7074886546,1.76056052,-0.5671474825,1.644263464,-0.5971235741,1.671312134
-3,-19,-0.7630522182,1.816732056,-0.6467551616,1.722348369,-0.6738038318,1.746552175
-3,-18,-0.8192237536,1.873409198,-0.7248400664,1.798910499,-0.7490438728,1.820351999
-3,-17,-0.8759008958,1.930480654,-0.8014021968,1.873949855,-0.822843697,1.892711607
-3,-16,-0.9329723521,1.987827817,-0.8764415529,1.947466437,-0.8952033046,1.963630998
-3,-15,-0.9903195147,2.045326728,-0.9499581346,2.019460244,-0.9661226955,2.033110172
-3,-14,-1.047818426,2.102850314,-1.021951942,2.089931277,-1.03560187,2.101149129
-3,-13,-1.105342012,2.160270786,-1.092422975,2.158879536,-1.103640827,2.16774787
-3,-12,-1.162762483,2.217462066,-1.161371234,2.22630502,-1.170239568,2.232906394
-3,-11,-1.219953764,2.274302136,-1.228796718,2.29220773,-1.235398092,2.296624701
-3,-10,-1.276793834,2.33067516,-1.294699428,2.356587666,-1.299116399,2.358902792
-3,-9,-1.333166858,2.38647331,-1.359079364,2.419444827,-1.36139449,2.419740666
-3,-8,-1.388965008,2.441598211,-1.421936525,2.480779214,-1.422232364,2.479138323
-3,-7,-1.444089909,2.49596198,-1.483270912,2.540590827,-1.481630021,2.537095764
-3,-6,-1.498453678,2.549487848,-1.543082524,2.598879665,-1.539587462,2.593612988
-3,-5,-1.551979545,2.602110397,-1.601371363,2.655645729,-1.596104685,2.648689995
-3,-4,-1.604602095,2.653775456,-1.658137426,2.710889018,-1.651181693,2.702326785
-3,-3,-1.656267154,2.704439709,-1.713380716,2.764609533,-1.704818483,2.754523359
-3,-2,-1.706931407,2.754070078,-1.767101231,2.816807274,-1.757015057,2.805279716
-3,-1,-1.756561776,2.802642954,-1.819298972,2.867482241,-1.807771414,2.854595856
-3,0,-1.805134651,2.85014332,-1.869973938,2.916634433,-1.857087554,2.90247178
-3,1,-1.852635018,2.896563829,-1.919126131,2.964263851,-1.904963477,2.948907487
-3,2,-1.899055527,2.941903862,-1.966755548,3.010370494,-1.951399184,2.993902977
-3,3,-1.94439556,2.986168619,-2.012862192,3.054954363,-1.996394675,3.03745825
-3,4,-1.988660317,3.029368247,-2.057446061,3.098015458,-2.039949948,3.079573307
-3,5,-2.031859945,3.071517033,-2.100507156,3.139553778,-2.082065005,3.120248147
-3,6,-2.074008731,3.112632667,-2.142045476,3.179569324,-2.122739845,3.15948277
-3,7,-2.115124365,3.152735578,-2.182061022,3.218062096,-2.161974468,3.197277177
-3,8,-2.155227276,3.191848348,-2.220553794,3.255032093,-2.199768875,3.233631367
-3,9,-2.194340046,3.229995195,-2.257523791,3.290479316,-2.236123065,3.26854534
-3,10,-2.232486893,3.267201533,-2.292971014,3.324403765,-2.271037038,3.302019097
-3,11,-2.26969323,3.303493584,-2.326895462,3.356805439,-2.304510795,3.334052637
-3,12,-2.305985282,3.338898063,-2.359297137,3.387684339,-2.336544334,3.36464596
-3,13,-2.341389761,3.373441901,-2.390176037,3.417040464,-2.367137657,3.393799066
-3,14,-2.375933599,3.407152022,-2.419532162,3.444873816,-2.396290764,3.421511956
-3,15,-2.40964372,3.440055161,-2.447365513,3.471184393,-2.424003654,3.447784629
-3,16,-2.442546859,3.47217771,-2.47367609,3.495972195,-2.450276327,3.472617085
-3,17,-2.474669408,3.503545603,-2.498463893,3.519237223,-2.475108783,3.496009325
-3,18,-2.506037301,3.534184218,-2.521728921,3.540979477,-2.498501022,3.517961348
-3,19,-2.536675915,3.564118309,-2.543471175,3.561198956,-2.520453045,3.538473154
-3,20,-2.566610007,3.593371954,-2.563690654,3.579895662,-2.540964852,3.557544743
-3,21,-2.595863652,3.621968511,-2.582387359,3.597069592,-2.560036441,3.575176116
-3,22,-2.624460208,3.649930598,-2.59956129,3.612720749,-2.577667814,3.591367272
-3,23,-2.652422296,3.677280079,-2.615212447,3.626849131,-2.59385897,3.606118211
-3,24,-2.679771777,3.704038056,-2.629340829,3.639454739,-2.608609909,3.619428934
-3,25,-2.706529754,3.73022487,-2.641946436,3.650537572,-2.621920632,3.63129944
-3,26,-2.732716567,3.755860109,-2.65302927,3.660097631,-2.633791138,3.641729729
-3,27,-2.758351807,3.780962623,-2.662589329,3.668134916,-2.644221427,3.650719802
-3,28,-2.78345432,3.805550531,-2.670626613,3.674649426,-2.6532115,3.658269658
-3,29,-2.808042228,3.829641246,-2.677141124,3.679641162,-2.660761355,3.664379297
-3,30,-2.832132944,3.853251494,-2.68213286,3.683110123,-2.666870995,3.669048719
0,-30,1.321627598,-0.3019532113,1.294838435,-0.2712290086,1.294838435,-0.2712290086
0,-29,1.299461514,-0.2794261946,1.268737311,-0.2451278846,1.268737311,-0.2451278846
0,-28,1.276934497,-0.256534708,1.242636187,-0.2190267605,1.242636187,-0.2190267605
0,-27,1.25404301,-0.2332758832,1.216535063,-0.1929256365,1.216535063,-0.1929256365
0,-26,1.230784185,-0.2096476078,1.190433939,-0.1668245124,1.190433939,-0.1668245124
0,-25,1.20715591,-0.1856486149,1.164332815,-0.1407233883,1.164332815,-0.1407233883
0,-24,1.183156917,-0.1612785729,1.138231691,-0.1146222643,1.138231691,-0.1146222643
0,-23,1.158786875,-0.1365381753,1.112130566,-0.08852114022,1.112130566,-0.08852114022
0,-22,1.134046478,-0.1114292271,1.086029442,-0.06242001616,1.086029442,-0.06242001616
0,-21,1.108937529,-0.08595472668,1.059928318,-0.0363188921,1.059928318,-0.0363188921
0,-20,1.083463029,-0.06011894017,1.033827194,-0.01021776804,1.033827194,-0.01021776804
