tau,q,ask_depth
0.000000000000000000e+00,-3.000000000000000000e+01,4.987541511039093600e-01
0.000000000000000000e+00,-2.900000000000000000e+01,4.987541511039016995e-01
0.000000000000000000e+00,-2.800000000000000000e+01,4.987541511039065845e-01
0.000000000000000000e+00,-2.700000000000000000e+01,4.987541511039135789e-01
0.000000000000000000e+00,-2.600000000000000000e+01,4.987541511039086939e-01
0.000000000000000000e+00,-2.500000000000000000e+01,4.987541511039002562e-01
0.000000000000000000e+00,-2.400000000000000000e+01,4.987541511039086939e-01
0.000000000000000000e+00,-2.300000000000000000e+01,4.987541511039129127e-01
0.000000000000000000e+00,-2.200000000000000000e+01,4.987541511039012554e-01
0.000000000000000000e+00,-2.100000000000000000e+01,4.987541511039064179e-01
0.000000000000000000e+00,-2.000000000000000000e+01,4.987541511039191300e-01
0.000000000000000000e+00,-1.900000000000000000e+01,4.987541511038997011e-01
0.000000000000000000e+00,-1.800000000000000000e+01,4.987541511039010889e-01
0.000000000000000000e+00,-1.700000000000000000e+01,4.987541511039216835e-01
0.000000000000000000e+00,-1.600000000000000000e+01,4.987541511038957598e-01
0.000000000000000000e+00,-1.500000000000000000e+01,4.987541511039039754e-01
0.000000000000000000e+00,-1.400000000000000000e+01,4.987541511039279007e-01
0.000000000000000000e+00,-1.300000000000000000e+01,4.987541511038902087e-01
0.000000000000000000e+00,-1.200000000000000000e+01,4.987541511039080278e-01
0.000000000000000000e+00,-1.100000000000000000e+01,4.987541511039089159e-01
0.000000000000000000e+00,-1.000000000000000000e+01,4.987541511039076947e-01
0.000000000000000000e+00,-9.000000000000000000e+00,4.987541511039174646e-01
0.000000000000000000e+00,-8.000000000000000000e+00,4.987541511038890985e-01
0.000000000000000000e+00,-7.000000000000000000e+00,4.987541511039256803e-01
0.000000000000000000e+00,-6.000000000000000000e+00,4.987541511038927622e-01
0.000000000000000000e+00,-5.000000000000000000e+00,4.987541511039177977e-01
0.000000000000000000e+00,-4.000000000000000000e+00,4.987541511038974251e-01
0.000000000000000000e+00,-3.000000000000000000e+00,4.987541511039200182e-01
0.000000000000000000e+00,-2.000000000000000000e+00,4.987541511038919850e-01
0.000000000000000000e+00,-1.000000000000000000e+00,4.987541511039227937e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.987541511038990349e-01
0.000000000000000000e+00,1.000000000000000000e+00,4.987541511039043085e-01
0.000000000000000000e+00,2.000000000000000000e+00,4.987541511039155773e-01
0.000000000000000000e+00,3.000000000000000000e+00,4.987541511039028097e-01
0.000000000000000000e+00,4.000000000000000000e+00,4.987541511039091380e-01
0.000000000000000000e+00,5.000000000000000000e+00,4.987541511039016995e-01
0.000000000000000000e+00,6.000000000000000000e+00,4.987541511039212394e-01
0.000000000000000000e+00,7.000000000000000000e+00,4.987541511038866004e-01
0.000000000000000000e+00,8.000000000000000000e+00,4.987541511039311204e-01
0.000000000000000000e+00,9.000000000000000000e+00,4.987541511038838804e-01
