tau,q,bid_depth
0.000000000000000000e+00,-3.000000000000000000e+01,4.987541511039130238e-01
0.000000000000000000e+00,-2.900000000000000000e+01,4.987541511039081388e-01
0.000000000000000000e+00,-2.800000000000000000e+01,4.987541511039011444e-01
0.000000000000000000e+00,-2.700000000000000000e+01,4.987541511039060294e-01
0.000000000000000000e+00,-2.600000000000000000e+01,4.987541511039144670e-01
0.000000000000000000e+00,-2.500000000000000000e+01,4.987541511039060849e-01
0.000000000000000000e+00,-2.400000000000000000e+01,4.987541511039018660e-01
0.000000000000000000e+00,-2.300000000000000000e+01,4.987541511039134678e-01
0.000000000000000000e+00,-2.200000000000000000e+01,4.987541511039083608e-01
0.000000000000000000e+00,-2.100000000000000000e+01,4.987541511038956488e-01
0.000000000000000000e+00,-2.000000000000000000e+01,4.987541511039150222e-01
0.000000000000000000e+00,-1.900000000000000000e+01,4.987541511039136899e-01
0.000000000000000000e+00,-1.800000000000000000e+01,4.987541511038930953e-01
0.000000000000000000e+00,-1.700000000000000000e+01,4.987541511039190190e-01
0.000000000000000000e+00,-1.600000000000000000e+01,4.987541511039108033e-01
0.000000000000000000e+00,-1.500000000000000000e+01,4.987541511038868225e-01
0.000000000000000000e+00,-1.400000000000000000e+01,4.987541511039245701e-01
0.000000000000000000e+00,-1.300000000000000000e+01,4.987541511039066955e-01
0.000000000000000000e+00,-1.200000000000000000e+01,4.987541511039058628e-01
0.000000000000000000e+00,-1.100000000000000000e+01,4.987541511039070841e-01
0.000000000000000000e+00,-1.000000000000000000e+01,4.987541511038973141e-01
0.000000000000000000e+00,-9.000000000000000000e+00,4.987541511039256803e-01
0.000000000000000000e+00,-8.000000000000000000e+00,4.987541511038890985e-01
0.000000000000000000e+00,-7.000000000000000000e+00,4.987541511039220166e-01
0.000000000000000000e+00,-6.000000000000000000e+00,4.987541511038969810e-01
0.000000000000000000e+00,-5.000000000000000000e+00,4.987541511039173536e-01
0.000000000000000000e+00,-4.000000000000000000e+00,4.987541511038947606e-01
0.000000000000000000e+00,-3.000000000000000000e+00,4.987541511039227937e-01
0.000000000000000000e+00,-2.000000000000000000e+00,4.987541511038919850e-01
0.000000000000000000e+00,-1.000000000000000000e+00,4.987541511039156883e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.987541511039104702e-01
0.000000000000000000e+00,1.000000000000000000e+00,4.987541511038992015e-01
0.000000000000000000e+00,2.000000000000000000e+00,4.987541511039119135e-01
0.000000000000000000e+00,3.000000000000000000e+00,4.987541511039055853e-01
0.000000000000000000e+00,4.000000000000000000e+00,4.987541511039130238e-01
0.000000000000000000e+00,5.000000000000000000e+00,4.987541511038934838e-01
0.000000000000000000e+00,6.000000000000000000e+00,4.987541511039281228e-01
0.000000000000000000e+00,7.000000000000000000e+00,4.987541511038836028e-01
0.000000000000000000e+00,8.000000000000000000e+00,4.987541511039308983e-01
0.000000000000000000e+00,9.000000000000000000e+00,4.987541511038966480e-01
0.000000000000000000e+00,1.000000000000000000e+01,4.987541511039052522e-01
0.000000000000000000e+00,1.100000000000000000e+01,4.987541511039045861e-01
0.000000000000000000e+00,1.200000000000000000e+01,4.987541511039092490e-01
0.000000000000000000e+00,1.300000000000000000e+01,4.987541511039223496e-01
0.000000000000000000e+00,1.400000000000000000e+01,4.987541511038882658e-01
0.000000000000000000e+00,1.500000000000000000e+01,4.987541511039115805e-01
0.000000000000000000e+00,1.600000000000000000e+01,4.987541511039157993e-01
0.000000000000000000e+00,1.700000000000000000e+01,4.987541511038957598e-01
0.000000000000000000e+00,1.800000000000000000e+01,4.987541511039145781e-01
0.000000000000000000e+00,1.900000000000000000e+01,4.987541511039081388e-01
0.000000000000000000e+00,2.000000000000000000e+01,4.987541511038975917e-01
0.000000000000000000e+00,2.100000000000000000e+01,4.987541511039157993e-01
0.000000000000000000e+00,2.200000000000000000e+01,4.987541511039132458e-01
0.000000000000000000e+00,2.300000000000000000e+01,4.987541511038989794e-01
0.000000000000000000e+00,2.400000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.500000000000000000e+01,4.987541511039111364e-01
0.000000000000000000e+00,2.600000000000000000e+01,4.987541511039019770e-01
0.000000000000000000e+00,2.700000000000000000e+01,4.987541511039036979e-01
0.000000000000000000e+00,2.800000000000000000e+01,4.987541511039170206e-01
0.000000000000000000e+00,2.900000000000000000e+01,4.987541511039160214e-01
0.000000000000000000e+00,3.000000000000000000e+01,4.987541511039060294e-01
1.666666666666666572e+02,-3.000000000000000000e+01,-2.152445895059928449e-01
1.666666666666666572e+02,-2.900000000000000000e+01,-1.943788775417200632e-01
1.666666666666666572e+02,-2.800000000000000000e+01,-1.732449701311359891e-01
1.666666666666666572e+02,-2.700000000000000000e+01,-1.518421221897848228e-01
1.666666666666666572e+02,-2.600000000000000000e+01,-1.301700506811526714e-01
1.666666666666666572e+02,-2.500000000000000000e+01,-1.082289790591451362e-01
1.666666666666666572e+02,-2.400000000000000000e+01,-8.601968303093882051e-02
1.666666666666666572e+02,-2.300000000000000000e+01,-6.354353724628120093e-02
1.666666666666666572e+02,-2.200000000000000000e+01,-4.080256243124497084e-02
1.666666666666666572e+02,-2.100000000000000000e+01,-1.779947239093065958e-02
1.666666666666666572e+02,-2.000000000000000000e+01,5.462279791249413652e-03
1.666666666666666572e+02,-1.900000000000000000e+01,2.897845712750479752e-02
1.666666666666666572e+02,-1.800000000000000000e+01,5.274399653703620849e-02
1.666666666666666572e+02,-1.700000000000000000e+01,7.675297004630338149e-02
1.666666666666666572e+02,-1.600000000000000000e+01,1.009985504045852744e-01
1.666666666666666572e+02,-1.500000000000000000e+01,1.254729821983032179e-01
1.666666666666666572e+02,-1.400000000000000000e+01,1.501675595809544017e-01
1.666666666666666572e+02,-1.300000000000000000e+01,1.750726117388027303e-01
1.666666666666666572e+02,-1.200000000000000000e+01,2.001774971802532388e-01
1.666666666666666572e+02,-1.100000000000000000e+01,2.254706078637324640e-01
1.666666666666666572e+02,-1.000000000000000000e+01,2.509393840612897386e-01
1.666666666666666572e+02,-9.000000000000000000e+00,2.765703406910129392e-01
1.666666666666666572e+02,-8.000000000000000000e+00,3.023491056407937583e-01
1.666666666666666572e+02,-7.000000000000000000e+00,3.282604703524120149e-01
1.666666666666666572e+02,-6.000000000000000000e+00,3.542884526438832005e-01
1.666666666666666572e+02,-5.000000000000000000e+00,3.804163714290469400e-01
1.666666666666666572e+02,-4.000000000000000000e+00,4.066269326579403653e-01
1.666666666666666572e+02,-3.000000000000000000e+00,4.329023254643022955e-01
1.666666666666666572e+02,-2.000000000000000000e+00,4.592243271829103413e-01
1.666666666666666572e+02,-1.000000000000000000e+00,4.855744156061561068e-01
1.666666666666666572e+02,0.000000000000000000e+00,5.119338866016591716e-01
1.666666666666666572e+02,1.000000000000000000e+00,5.382839750249038824e-01
1.666666666666666572e+02,2.000000000000000000e+00,5.646059767435129828e-01
1.666666666666666572e+02,3.000000000000000000e+00,5.908813695498751350e-01
1.666666666666666572e+02,4.000000000000000000e+00,6.170919307787676722e-01
1.666666666666666572e+02,5.000000000000000000e+00,6.432198495639299685e-01
1.666666666666666572e+02,6.000000000000000000e+00,6.692478318554027084e-01
1.666666666666666572e+02,7.000000000000000000e+00,6.951591965670197437e-01
1.666666666666666572e+02,8.000000000000000000e+00,7.209379615168031163e-01
1.666666666666666572e+02,9.000000000000000000e+00,7.465689181465243740e-01
1.666666666666666572e+02,1.000000000000000000e+01,7.720376943440836470e-01
1.666666666666666572e+02,1.100000000000000000e+01,7.973308050275613734e-01
1.666666666666666572e+02,1.200000000000000000e+01,8.224356904690124370e-01
1.666666666666666572e+02,1.300000000000000000e+01,8.473407426268602105e-01
1.666666666666666572e+02,1.400000000000000000e+01,8.720353200095117829e-01
1.666666666666666572e+02,1.500000000000000000e+01,8.965097518032288937e-01
1.666666666666666572e+02,1.600000000000000000e+01,9.207553321615116193e-01
1.666666666666666572e+02,1.700000000000000000e+01,9.447643056707797360e-01
1.666666666666666572e+02,1.800000000000000000e+01,9.685298450803093706e-01
1.666666666666666572e+02,1.900000000000000000e+01,9.920460224165653651e-01
1.666666666666666572e+02,2.000000000000000000e+01,1.015307774598745549e+00
1.666666666666666572e+02,2.100000000000000000e+01,1.038310864639060194e+00
1.666666666666666572e+02,2.200000000000000000e+01,1.061051839454096424e+00
1.666666666666666572e+02,2.300000000000000000e+01,1.083527985238753599e+00
1.666666666666666572e+02,2.400000000000000000e+01,1.105737281266957917e+00
1.666666666666666572e+02,2.500000000000000000e+01,1.127678352888966895e+00
1.666666666666666572e+02,2.600000000000000000e+01,1.149350424397600712e+00
1.666666666666666572e+02,2.700000000000000000e+01,1.170753272338949991e+00
1.666666666666666572e+02,2.800000000000000000e+01,1.191887179749534731e+00
1.666666666666666572e+02,2.900000000000000000e+01,1.212752891713806846e+00
1.666666666666666572e+02,3.000000000000000000e+01,1.233351572554679976e+00
3.333333333333333144e+02,-3.000000000000000000e+01,-2.152554475979706061e-01
3.333333333333333144e+02,-2.900000000000000000e+01,-1.943896598761783445e-01
3.333333333333333144e+02,-2.800000000000000000e+01,-1.732556605754722034e-01
3.333333333333333144e+02,-2.700000000000000000e+01,-1.518527036823335563e-01
3.333333333333333144e+02,-2.600000000000000000e+01,-1.301805052344293112e-01
3.333333333333333144e+02,-2.500000000000000000e+01,-1.082392877722954672e-01
3.333333333333333144e+02,-2.400000000000000000e+01,-8.602982611264847757e-02
3.333333333333333144e+02,-2.300000000000000000e+01,-6.355349404941129654e-02
3.333333333333333144e+02,-2.200000000000000000e+01,-4.081231150043757028e-02
