tau,q,spread
0.000000000000000000e+00,-3.000000000000000000e+01,9.975083022078223838e-01
0.000000000000000000e+00,-2.900000000000000000e+01,9.975083022078098383e-01
0.000000000000000000e+00,-2.800000000000000000e+01,9.975083022078077288e-01
0.000000000000000000e+00,-2.700000000000000000e+01,9.975083022078196082e-01
0.000000000000000000e+00,-2.600000000000000000e+01,9.975083022078231609e-01
0.000000000000000000e+00,-2.500000000000000000e+01,9.975083022078063966e-01
0.000000000000000000e+00,-2.400000000000000000e+01,9.975083022078106154e-01
0.000000000000000000e+00,-2.300000000000000000e+01,9.975083022078263806e-01
0.000000000000000000e+00,-2.200000000000000000e+01,9.975083022078096162e-01
0.000000000000000000e+00,-2.100000000000000000e+01,9.975083022078020667e-01
0.000000000000000000e+00,-2.000000000000000000e+01,9.975083022078341521e-01
0.000000000000000000e+00,-1.900000000000000000e+01,9.975083022078133910e-01
0.000000000000000000e+00,-1.800000000000000000e+01,9.975083022077941841e-01
0.000000000000000000e+00,-1.700000000000000000e+01,9.975083022078407025e-01
0.000000000000000000e+00,-1.600000000000000000e+01,9.975083022078066186e-01
0.000000000000000000e+00,-1.500000000000000000e+01,9.975083022077908534e-01
0.000000000000000000e+00,-1.400000000000000000e+01,9.975083022078524708e-01
0.000000000000000000e+00,-1.300000000000000000e+01,9.975083022077968486e-01
0.000000000000000000e+00,-1.200000000000000000e+01,9.975083022078139461e-01
0.000000000000000000e+00,-1.100000000000000000e+01,9.975083022078159445e-01
0.000000000000000000e+00,-1.000000000000000000e+01,9.975083022078050643e-01
0.000000000000000000e+00,-9.000000000000000000e+00,9.975083022078431449e-01
0.000000000000000000e+00,-8.000000000000000000e+00,9.975083022077781969e-01
0.000000000000000000e+00,-7.000000000000000000e+00,9.975083022078476969e-01
0.000000000000000000e+00,-6.000000000000000000e+00,9.975083022077897432e-01
0.000000000000000000e+00,-5.000000000000000000e+00,9.975083022078351513e-01
0.000000000000000000e+00,-4.000000000000000000e+00,9.975083022077921857e-01
0.000000000000000000e+00,-3.000000000000000000e+00,9.975083022078428119e-01
0.000000000000000000e+00,-2.000000000000000000e+00,9.975083022077839701e-01
0.000000000000000000e+00,-1.000000000000000000e+00,9.975083022078384820e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.975083022078095052e-01
