tau,q,bid_depth
0.000000000000000000e+00,-3.000000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.900000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.800000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.700000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.600000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.500000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.400000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.300000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.200000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.100000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-2.000000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.900000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.800000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.700000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.600000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.500000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.400000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.300000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.200000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.100000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-1.000000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,-9.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-8.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-7.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-6.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-5.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-4.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-3.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-2.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,-1.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,0.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,1.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,2.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,3.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,4.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,5.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,6.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,7.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,8.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,9.000000000000000000e+00,4.987541511039073616e-01
0.000000000000000000e+00,1.000000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.100000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.200000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.300000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.400000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.500000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.600000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.700000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.800000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,1.900000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.000000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.100000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.200000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.300000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.400000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.500000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.600000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.700000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.800000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,2.900000000000000000e+01,4.987541511039073616e-01
0.000000000000000000e+00,3.000000000000000000e+01,4.987541511039073616e-01
1.667500000000000000e+02,-3.000000000000000000e+01,-3.097281064953296692e-01
1.667500000000000000e+02,-2.900000000000000000e+01,-2.872410960918099221e-01
1.667500000000000000e+02,-2.800000000000000000e+01,-2.643806082050819128e-01
1.667500000000000000e+02,-2.700000000000000000e+01,-2.411424821974392785e-01
