policy,penalized_mean,penalized_stderr,total_mean,spread_mean,alpha_drift_mean,avg_abs_inventory,fills_mean,mean_min_ask_depth
blind m=1,-3508.6556,15.28,-1933.1803,2405.799,-4340.196,15.4987,4816.194,-0.5969
blind m=2,-1266.999,8.5794,-680.0833,2153.3429,-2831.9436,9.4889,4313.3413,-0.8365
blind m=3,-429.532,6.2601,-111.9271,2014.7415,-2124.3595,6.9768,4037.454,-0.9824
blind m=4,12.9296,5.0704,215.1153,1922.8489,-1706.1374,5.558,3854.6512,-1.0891
blind m=5,281.9389,4.306,423.0709,1851.3915,-1427.3204,4.6349,3712.7542,-1.1621
blind m=6,460.1105,3.8149,565.0607,1795.3167,-1229.2867,3.9887,3601.4102,-1.2241
blind m=8,676.0916,3.1524,741.3897,1706.3163,-963.8602,3.1317,3425.0703,-1.3291
blind m=12,866.0586,2.4378,899.0054,1572.6668,-673.773,2.2035,3161.2568,-1.4718
blind m=20,940.9884,1.8431,954.8174,1377.9173,-422.3951,1.397,2780.296,-1.6357
I-aware RHJB,477.7668,5.1245,671.4426,2098.9811,-1425.1385,5.4528,3554.9383,-1.2793
