model,paths,horizon,dt,metric,difference,se,ci95_low,ci95_high
fast-alpha,2000,10000.0,0.025,avg_abs_inventory,-1.3090038699986248,0.002646827055350088,-1.314191651027111,-1.3038160889701387
fast-alpha,2000,10000.0,0.05,avg_abs_inventory,-1.308933222500315,0.00267459659679199,-1.3141754318300272,-1.3036910131706028
fast-alpha,20000,10000.0,0.05,avg_abs_inventory,-1.3090832112503041,0.0008427425410370751,-1.3107349866307367,-1.3074314358698715
fast-alpha,2000,10000.0,0.025,avg_q2,-24.44320239249823,0.06324026888899453,-24.56715331952066,-24.319251465475798
fast-alpha,2000,10000.0,0.05,avg_q2,-24.460442102500018,0.06583598379597143,-24.589480630740123,-24.331403574259912
fast-alpha,20000,10000.0,0.05,avg_q2,-24.459964175250214,0.020456689614639242,-24.500059286894906,-24.41986906360552
fast-alpha,2000,10000.0,0.025,certainty_equivalent,-15.830588599416842,6.943020120292344,-29.63261690311782,-1.1636271808893572
fast-alpha,2000,10000.0,0.05,certainty_equivalent,-0.8017135002837676,7.341889960930443,-15.530614024043121,13.738195794251094
fast-alpha,20000,10000.0,0.05,certainty_equivalent,7.665396498422069,5.932941751604706,-4.087125197915372,19.194667243608556
fast-alpha,2000,10000.0,0.025,fills,-80.2895,0.4246416196365634,-81.12179757448767,-79.45720242551234
fast-alpha,2000,10000.0,0.05,fills,-80.172,0.40994723607823497,-80.97549658271333,-79.36850341728666
fast-alpha,20000,10000.0,0.05,fills,-80.73955,0.13085093384542354,-80.99601783033702,-80.48308216966296
fast-alpha,2000,10000.0,0.025,penalized_pnl,-28.55434839617069,1.625885554168549,-31.741084082341043,-25.367612710000333
fast-alpha,2000,10000.0,0.05,penalized_pnl,-28.922529536225543,1.641956679916773,-32.14076462886242,-25.70429444358867
fast-alpha,20000,10000.0,0.05,penalized_pnl,-29.388081634411915,0.51262334079979,-30.392823382379504,-28.383339886444325
fast-alpha,2000,10000.0,0.025,terminal_pnl,-138.7994141625751,1.7740056142008405,-142.27646516640874,-135.32236315874144
fast-alpha,2000,10000.0,0.05,terminal_pnl,-139.24570899760647,1.7915049188445125,-142.7570586385417,-135.73435935667123
fast-alpha,20000,10000.0,0.05,terminal_pnl,-139.70364492316767,0.5613609858527598,-140.80391245543908,-138.60337739089627
toy,2000,10000.0,0.025,avg_abs_inventory,-0.09749557249998236,0.0006492378974494565,-0.0987680787789833,-0.09622306622098142
toy,2000,10000.0,0.05,avg_abs_inventory,-0.09764037750003204,0.0006516377244176547,-0.09891758743989065,-0.09636316756017343
toy,20000,10000.0,0.05,avg_abs_inventory,-0.09733218225001977,0.0002004665888068907,-0.09772509676408128,-0.09693926773595826
toy,2000,10000.0,0.025,avg_q2,-1.443370380000238,0.010853945652937536,-1.4646441134799955,-1.4220966465204805
toy,2000,10000.0,0.05,avg_q2,-1.4420317175000241,0.010838435204170556,-1.4632750505001983,-1.42078838449985
toy,20000,10000.0,0.05,avg_q2,-1.4377928782500258,0.0033724576292396614,-1.4444028952033354,-1.4311828612967161
toy,2000,10000.0,0.025,certainty_equivalent,0.15080989442071768,1.1623538949181482,-2.3522523654855774,2.0600342268037495
toy,2000,10000.0,0.05,certainty_equivalent,5.966416455494709,5.566874658907556,-4.5961933703542055,12.580467575996362
toy,20000,10000.0,0.05,certainty_equivalent,1.4927367196469277,0.8389087335575984,-0.16295714321411753,3.1094636042127077
toy,2000,10000.0,0.025,fills,-3.2965,0.17246497023447685,-3.6345313416595744,-2.9584686583404256
toy,2000,10000.0,0.05,fills,-3.317,0.1719652334652571,-3.654051857591904,-2.9799481424080962
toy,20000,10000.0,0.05,fills,-3.0692,0.0545499711545996,-3.1761179434630153,-2.9622820565369845
toy,2000,10000.0,0.025,penalized_pnl,0.4834909811490627,0.2756075585139101,-0.05669983353820113,1.0236817958363265
toy,2000,10000.0,0.05,penalized_pnl,-0.013508344337218318,0.28132953704716573,-0.5649142369496633,0.5378975482752265
toy,20000,10000.0,0.05,penalized_pnl,0.501214162463506,0.088180943315457,0.32837951356521033,0.6740488113618017
toy,2000,10000.0,0.025,terminal_pnl,-6.0116757288600855,0.2733529189133978,-6.547447449930345,-5.475904007789826
toy,2000,10000.0,0.05,terminal_pnl,-6.502651073095249,0.2799116769816108,-7.051277959979206,-5.954024186211292
toy,20000,10000.0,0.05,terminal_pnl,-5.968853789669409,0.08741867363554175,-6.140194389995071,-5.797513189343747
