model,diagnostic,sample_size,removed,left_ce,right_ce,ce_difference,left_ess,right_ess,left_max_weight_share,right_max_weight_share
toy,drop_joint_worst,20000,0,1849.594742116436,1851.087478836083,1.4927367196469277,310.13556520886493,298.0767868006325,0.03452382949970374,0.039862327925624615
toy,drop_joint_worst,19999,1,1853.1031278326464,1855.150338350224,2.047210517577696,458.6191899117814,522.0557527744664,0.014750494416857267,0.012889928633717188
toy,drop_joint_worst,19995,5,1858.2507139605673,1859.7314286974693,1.480714736901973,589.3287587154817,648.7773069814648,0.010688248225128595,0.010154883806769526
toy,drop_joint_worst,19990,10,1863.0806849308208,1864.203927943613,1.1232430127922726,729.0780833595722,795.185845019159,0.008030985241408078,0.006886982120073169
toy,drop_joint_worst,19975,25,1871.3438102037185,1871.8442074991287,0.5003972954102665,918.5745124899513,975.1380775683419,0.004791022060711112,0.0047818378886539045
toy,drop_joint_worst,19950,50,1881.6783185705895,1881.5976985082784,-0.08062006231102714,1181.80332410419,1232.7629245290304,0.0034864903667324453,0.0034705821201204234
toy,drop_joint_worst,19900,100,1895.915911226008,1895.3429375822893,-0.5729736437185693,1580.421983173952,1638.8879178275233,0.002498811686465997,0.0025193116392895946
toy,prefix_convergence,1000,0,1850.2613340909186,1850.366602662989,0.1052685720703721,18.492648365867293,20.222579298277836,0.19730155310333788,0.1848951180675276
toy,prefix_convergence,2000,0,1852.174020621563,1851.0649048040611,-1.1091158175017881,38.36251371399097,38.72681876703775,0.10055581731871745,0.1063360756823689
toy,prefix_convergence,5000,0,1860.5085817003157,1860.118221283129,-0.39036041718668457,116.74636269103455,119.00238568226796,0.04371834676535721,0.04656489992463029
toy,prefix_convergence,10000,0,1852.324722288742,1854.4621038459145,2.1373815571726027,214.79421248473582,248.85773533144808,0.029270779329336485,0.02200211712944795
toy,prefix_convergence,20000,0,1849.594742116436,1851.087478836083,1.4927367196469277,310.13556520886493,298.0767868006325,0.03452382949970374,0.039862327925624615
fast-alpha,drop_joint_worst,20000,0,2096.279760192094,2103.945156690516,7.665396498422069,82.64186057429589,265.9660495476789,0.07236759732246721,0.0329028165962622
fast-alpha,drop_joint_worst,19999,1,2103.7867343146595,2106.8691934165363,3.0824591018767933,125.37661953173648,322.2454457149111,0.06141178345549769,0.03388080512243351
fast-alpha,drop_joint_worst,19995,5,2116.4195587099175,2113.3970169159825,-3.0225417939350336,252.18794983697288,538.6274205431145,0.01686430606366214,0.010718554541106212
fast-alpha,drop_joint_worst,19990,10,2123.8349078723863,2117.221805270896,-6.613102601490482,294.28008244188976,598.739873731652,0.01409609537084977,0.008663663827065089
fast-alpha,drop_joint_worst,19975,25,2141.486585282531,2126.257083996402,-15.229501286129107,446.14032333934574,759.0279821342647,0.009691183485439589,0.006952504384220775
fast-alpha,drop_joint_worst,19950,50,2158.4329904028687,2137.4362815534732,-20.996708849395418,586.3594908666093,998.194904530596,0.0064459594061879915,0.004916210266704582
fast-alpha,drop_joint_worst,19900,100,2181.834728563226,2152.2379860202454,-29.596742542980337,832.3985606774339,1303.4359035299153,0.00425092239896814,0.0031420308929821514
fast-alpha,prefix_convergence,1000,0,2115.4027173750487,2118.0544822578654,2.6517648828166784,10.881123690099633,34.09892967252262,0.26819593460638746,0.10086840122501374
fast-alpha,prefix_convergence,2000,0,2121.294307924561,2124.504655530131,3.2103476055699502,23.95702701852807,75.47615651279062,0.1422358417931679,0.05379450160249266
fast-alpha,prefix_convergence,5000,0,2129.0799591780788,2121.6446895127847,-7.435269665294072,57.516268636875004,109.95010755970613,0.07716388687008253,0.06718290945207622
fast-alpha,prefix_convergence,10000,0,2104.206161599527,2106.67997037297,2.47380877344267,45.36227455741549,119.61314642769477,0.1233336373361381,0.06763012922300995
fast-alpha,prefix_convergence,20000,0,2096.279760192094,2103.945156690516,7.665396498422069,82.64186057429589,265.9660495476789,0.07236759732246721,0.0329028165962622
