metric,left_mean,right_mean,paired_difference_mean,paired_difference_se,paired_ci95_low,paired_ci95_high,paired_correlation,unpaired_difference_se
terminal_pnl,2552.1715969334527,2412.4679520102854,-139.70364492316767,0.5613609858527598,-140.80391245543908,-138.60337739089627,0.9856197175505561,2.9066730137457073
penalized_pnl,2200.1252523884086,2170.7371707539965,-29.388081634411915,0.51262334079979,-30.392823382379504,-28.383339886444325,0.9864882911290628,2.7910154371584066
spread_capture,522.8645619690978,660.4754081581731,137.61084618907535,0.13912239597488962,137.33816629296456,137.88352608518613,0.9775378926250751,0.8530470026325979
alpha_carry,2028.3142951486443,1751.4507740661486,-276.8635210824956,0.3037013217222753,-277.4587756730713,-276.2682664919199,0.9861277852205483,1.5151248020666672
price_martingale,0.9927398157109306,0.5417697859634495,-0.45097002974748174,0.40428135368752444,-1.2433614829750297,0.34142142348006616,0.9894318725049801,2.4328668189112905
running_penalty,351.2678055450445,241.19796675628876,-110.06983878875577,0.09205510326600437,-110.25026679115715,-109.8894107863544,0.9737523478479142,0.2716525950512917
terminal_penalty,0.778539,0.5328145,-0.24572449999999998,0.00195406734120045,-0.24955447198875286,-0.2418945280112471,0.9599456784509295,0.005957996587746966
fills,3812.9562,3732.21665,-80.73955,0.13085093384542354,-80.99601783033702,-80.48308216966296,0.9956357658314108,1.9564111101551411
avg_abs_inventory,7.719219174750979,6.410135963500674,-1.3090832112503041,0.0008427425410370751,-1.3107349866307367,-1.3074314358698715,0.9778780040492836,0.003675050918872458
avg_q2,78.05951234324968,53.59954816799947,-24.459964175250214,0.020456689614639242,-24.500059286894906,-24.41986906360552,0.9737523478479088,0.0603672433446498
terminal_inventory,-0.0264,-0.01835,0.00805,0.013596451855177234,-0.01859904563614738,0.034699045636147376,0.989330602996508,0.08097557451514872
