metric,left_mean,right_mean,paired_difference_mean,paired_difference_se,paired_ci95_low,paired_ci95_high,paired_correlation,unpaired_difference_se
terminal_pnl,2108.252202308584,2102.283348518915,-5.968853789669409,0.08741867363554175,-6.140194389995071,-5.797513189343747,0.9985352133741098,2.2116723158620593
penalized_pnl,1903.399799309358,1903.9010134718217,0.501214162463506,0.088180943315457,0.32837951356521033,0.6740488113618017,0.9986270183963286,2.2976810787081208
spread_capture,2106.5801918379702,2100.696869776564,-5.883322061406274,0.034458323507135215,-5.950860375480259,-5.815783747332288,0.9985789559156,0.912912968233186
alpha_carry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
price_martingale,1.672010470613839,1.5864787423507412,-0.08553172826309809,0.08028049868647899,-0.2428815056885969,0.07181804916240074,0.998540787451342,2.0122392028572285
running_penalty,204.85240299922594,198.38233504709305,-6.470067952132914,0.01517605933159327,-6.499813028422837,-6.440322875842991,0.996492727390226,0.24261227620709966
terminal_penalty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
fills,3554.797,3551.7278,-3.0692,0.0545499711545996,-3.1761179434630153,-2.9622820565369845,0.999004907410748,1.727888760854267
avg_abs_inventory,5.672977829000679,5.575645646750659,-0.09733218225001977,0.0002004665888068907,-0.09772509676408128,-0.09693926773595826,0.9972380868835093,0.0037240121473303676
avg_q2,45.52275622199999,44.08496334374997,-1.4377928782500258,0.0033724576292396614,-1.4444028952033354,-1.4311828612967161,0.9964927273902225,0.053913839157067184
terminal_inventory,0.034,0.033,-0.001,0.0026740058929209123,-0.006241051550124988,0.004241051550124988,0.9985510585960888,0.06723651379599757
