alpha_center,count,ask_current_count,ask_leading_cara_count,bid_current_count,bid_leading_cara_count,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-0.11624999999999999,0,0,0,0,0,nan,nan,nan,nan
-0.10874999999999999,0,0,0,0,0,nan,nan,nan,nan
-0.10125,0,0,0,0,0,nan,nan,nan,nan
-0.09375,1,1,1,1,1,-0.4573340041059984,-0.3661974612481142,1.501168400618547,1.4247004602531474
-0.08625,7,7,7,7,7,-1.232690790217741,-1.2987922609863478,2.2940272852617603,2.3647051676028332
-0.07874999999999999,91,91,91,91,91,-1.138595208837929,-1.1250597188803333,2.196055537405189,2.1948104302034
-0.07125000000000001,613,613,613,613,613,-1.1181395980952227,-1.0928809629779594,2.1738130705223937,2.1607850227744994
-0.06375,3688,3688,3688,3688,3688,-1.0891924666110953,-1.0593672909712921,2.143566792884363,2.126092570856503
-0.056249999999999994,16485,16485,16485,16485,16485,-1.0322133350398799,-1.0039942740223984,2.0855276239326033,2.069657476674536
-0.048749999999999995,55110,55110,55110,55110,55110,-0.9855541897578646,-0.9558042923201029,2.0376788013447658,2.0203197697674957
-0.04125,128846,128846,128846,128846,128846,-0.9011219763520476,-0.8699469146890689,1.9511896082154971,1.9324190027387886
-0.03375,202020,202020,202020,202020,202020,-0.777691826992681,-0.7445856208101319,1.8246295565904285,1.8038815222095141
-0.026249999999999996,211503,211503,211503,211503,211503,-0.5753601479089399,-0.5415681913920294,1.6174477916565935,1.5958421220634318
-0.018749999999999996,161355,161355,161355,161355,161355,-0.24017964095153665,-0.20799680159168174,1.2748144920358768,1.2545229678795558
-0.011250000000000003,119088,119088,119088,119088,119088,0.12981254143749676,0.15405344072553537,0.8981478198013861,0.8855562725777949
-0.0037500000000000033,104215,104215,104215,104215,104215,0.39964431267727024,0.41218149507965984,0.6258019307612926,0.6249176150283132
0.0037500000000000033,104459,104459,104459,104459,104459,0.6262096328299166,0.6254447669961333,0.3992340900554331,0.41164452417505404
0.01125000000000001,118811,118811,118811,118811,118811,0.8999691916887259,0.8871934350818189,0.127959764288783,0.1523850985455005
0.018750000000000003,159903,159903,159903,159903,159903,1.2752834312013124,1.2549528172380893,-0.24069783407543693,-0.20849117791645194
0.026249999999999996,210625,210625,210625,210625,210625,1.6135252311208566,1.5919943354837547,-0.5715463391068495,-0.5378366066825472
0.03375,201765,201765,201765,201765,201765,1.8261875168588653,1.8059562202226649,-0.779197749841419,-0.7466309337736876
0.041249999999999995,126736,126736,126736,126736,126736,1.950569458211505,1.9315748200657967,-0.9005876324055526,-0.8692000881435181
0.04874999999999999,54352,54352,54352,54352,54352,2.0357424828781383,2.018355896429397,-0.9836254583955306,-0.9538423298270663
0.056249999999999994,16036,16036,16036,16036,16036,2.094259929585477,2.0780692423749514,-1.0407825147728484,-1.0122463315733432
0.06375,3572,3572,3572,3572,3572,2.1364056078173506,2.1215451301097255,-1.081847047747113,-1.0545803264310638
0.07125000000000001,633,633,633,633,633,2.156697245584556,2.1419068592067134,-1.1014200898797386,-1.0741191532138359
0.07875,78,78,78,78,78,2.223247282423549,2.2059641447263116,-1.1661620658784138,-1.1364355344522168
0.08625,8,8,8,8,8,2.304173410714319,2.289966229492342,-1.2493694009545933,-1.2234493431177011
0.09375,0,0,0,0,0,nan,nan,nan,nan
0.10124999999999999,0,0,0,0,0,nan,nan,nan,nan
0.10874999999999999,0,0,0,0,0,nan,nan,nan,nan
0.11624999999999999,0,0,0,0,0,nan,nan,nan,nan
