i,q,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-3.0,-30,0.648713704262001,0.6493774350660223,0.35272479458597994,0.3517597595834522
-3.0,-29,0.6447835076218349,0.6457485426243627,0.35816239107543435,0.3569179566736408
-3.0,-28,0.6393459111323805,0.640590345534174,0.36510738741417736,0.3636054584123587
-3.0,-27,0.6324009147936375,0.6339028437954561,0.37355978360220865,0.3718222647996057
-3.0,-26,0.6239485186056062,0.6256860374082092,0.38351957963952826,0.3815683758353819
-3.0,-25,0.6139887225682865,0.615939926372433,0.3949867755261365,0.3928437915196871
-3.0,-24,0.6025215266816784,0.6046645106881277,0.40796137126203286,0.40564851185252165
-3.0,-23,0.5895469309457819,0.5918597903552931,0.4224433668472178,0.41998253683388515
-3.0,-22,0.575064935360597,0.5775257653739296,0.4384327622816909,0.43584586646377804
-3.0,-21,0.5590755399261239,0.5616624357440367,0.4559295575654525,0.45323850074219985
-3.0,-20,0.5415787446423623,0.544269801465615,0.4749337526985025,0.47216043966915106
-3.0,-19,0.5225745495093121,0.5253478625386638,0.4954453476808409,0.49261168324463117
-3.0,-18,0.5020629545269739,0.5048966189631836,0.5174643425124678,0.5145922314686406
-3.0,-17,0.48004395969534697,0.4829160707391742,0.5409907371933829,0.5381020843411791
-3.0,-16,0.45651756501443197,0.4594062178666357,0.5660245317235864,0.5631412418622469
-3.0,-15,0.4314837704842285,0.43436706034556793,0.5925657261030783,0.5897097040318436
-3.0,-14,0.4049425761047364,0.4077985981759712,0.6206143203318587,0.6178074708499698
-3.0,-13,0.37689398187595613,0.37970083135784505,0.6501703144099273,0.6474345423166248
-3.0,-12,0.3473379877978874,0.35007375989118994,0.6812337083372844,0.6785909184318093
-3.0,-11,0.31627459387053036,0.31891738377600554,0.7138045021139299,0.7112765991955226
-3.0,-10,0.2837038000938849,0.28623170301229217,0.7478826957398638,0.7454915846077653
-3.0,-9,0.24962560646795107,0.2520167176000495,0.7834682892150859,0.7812358746685371
-3.0,-8,0.21404001299272885,0.21627242753927772,0.8205612825395965,0.8185094693778381
-3.0,-7,0.1769470196682182,0.17899883282997678,0.8591616757133955,0.8573123687356681
-3.0,-6,0.13834662649441923,0.14019593347214668,0.899269468736483,0.8976445727420274
-3.0,-5,0.09823883347133182,0.09986372946578745,0.9408846616088586,0.9395060813969157
-3.0,-4,0.05662364059895608,0.05800222081089905,0.9840072543305229,0.9828968947003334
-3.0,-3,0.0135010478772919,0.014611407507481501,1.0286372469014753,1.0278170126522799
-3.0,-2,-0.03112894469366062,-0.030308710444465203,1.0747746393217161,1.074266435252756
-3.0,-1,-0.07726633711390155,-0.07675813304494106,1.1224194315912457,1.1222451625017609
-3.0,0,-0.12491112938343085,-0.12473686029394607,1.1715716237100633,1.1717531943992952
-3.0,1,-0.17406332150224854,-0.17424489219148023,1.2222312156781694,1.2227905309453584
-3.0,2,-0.22472291347035458,-0.22528222873754356,1.2743982074955638,1.2753571721399508
-3.0,3,-0.2768899052877491,-0.27784886993213603,1.3280725991622466,1.3294531179830724
-3.0,4,-0.3305642969544319,-0.33194481577525764,1.383254390678218,1.3850783684747232
-3.0,5,-0.38574608847040315,-0.38757006626690843,1.4399435820434776,1.4422329236149032
-3.0,6,-0.4424352798356627,-0.4447246214070884,1.4981401732580257,1.5009167834036123
-3.0,7,-0.5006318710502108,-0.5034084811957975,1.557844164321862,1.5611299478408505
-3.0,8,-0.5603358621140471,-0.5636216456330357,1.6190555552349866,1.622872416926618
-3.0,9,-0.621547253027172,-0.6253641147188032,1.6817743459973997,1.6861441906609145
-3.0,10,-0.6842660437895851,-0.6886358884530996,1.7460005366091014,1.7509452690437401
-3.0,11,-0.7484922344012865,-0.7534369668359253,1.8117341270700915,1.817275652075095
-3.0,12,-0.8142258248622766,-0.8197673498672802,1.8789751173803697,1.885135339754979
-3.0,13,-0.8814668151725548,-0.8876270375471642,1.9477235075399362,1.954524332083392
-3.0,14,-0.9502152053321214,-0.9570160298755773,2.0179792975487914,2.0254426290603345
-3.0,15,-1.0204709953409767,-1.0279343268525198,2.089742487406935,2.097890230685806
-3.0,16,-1.09223418519912,-1.1003819284779912,2.1630130771143667,2.171867136959807
-3.0,17,-1.1655047749065517,-1.1743588347519918,2.237791066671087,2.2473733478823363
-3.0,18,-1.2402827644632721,-1.2498650456745215,2.3140764560770952,2.3244088634533955
-3.0,19,-1.3165681538692806,-1.3269005612455806,2.3918692453323924,2.4029736836729834
-3.0,20,-1.3943609431245778,-1.4054653814651685,2.4711694344369777,2.483067808541101
-3.0,21,-1.473661132229163,-1.4855595063332858,2.551977023390852,2.564691238057747
-3.0,22,-1.5544687211830368,-1.5671829358499323,2.634292012194013,2.6478439722229226
-3.0,23,-1.6367837099861988,-1.650335670015108,2.7181144008464644,2.7325260110366276
-3.0,24,-1.7206060986386496,-1.7350177088288126,2.803444189348203,2.818737354498861
-3.0,25,-1.8059358871403883,-1.8212290522910466,2.8902813776992304,2.9064780026096244
-3.0,26,-1.8927730754914158,-1.9089697004018094,2.978625965899546,2.9957479553689166
-3.0,27,-1.9811176636917314,-1.9982396531611017,3.06847795394915,3.0865472127767375
-3.0,28,-2.0709696517413354,-2.089038910568923,3.1598373418480428,3.1788757748330885
-3.0,29,-2.1623290396402277,-2.1813674726252734,3.2527041295962236,3.2727336415379678
-3.0,30,-2.255195827388409,-2.275225339330153,3.3470783171936924,3.3681208128913767
0.0,-30,1.2948384348991318,1.332018288164123,-0.2712290086324572,-0.30718985031498963
0.0,-29,1.268737310840272,1.3046981525228043,-0.2451278845735974,-0.2798697146736711
0.0,-28,1.2426361867814122,1.277378016881486,-0.21902676051473763,-0.2525495790323526
0.0,-27,1.2165350627225524,1.2500578812401673,-0.19292563645587774,-0.22522944339103396
0.0,-26,1.1904339386636924,1.2227377455988486,-0.16682451239701795,-0.19790930774971544
0.0,-25,1.1643328146048326,1.1954176099575302,-0.14072338833815817,-0.1705891721083969
0.0,-24,1.1382316905459728,1.1680974743162116,-0.11462226427929828,-0.1432690364670784
0.0,-23,1.112130566487113,1.1407773386748932,-0.0885211402204385,-0.11594890082575987
0.0,-22,1.0860294424282533,1.1134572030335745,-0.06242001616157872,-0.08862876518444135
0.0,-21,1.0599283183693935,1.0861370673922561,-0.036318892102718825,-0.06130862954312272
0.0,-20,1.0338271943105335,1.0588169317509375,-0.010217768043859043,-0.033988493901804195
0.0,-19,1.0077260702516737,1.0314967961096189,0.015883356015000738,-0.006668358260485674
0.0,-18,0.9816249461928139,1.0041766604683005,0.041984480073860575,0.020651777380832848
0.0,-17,0.9555238221339541,0.9768565248269818,0.06808560413272041,0.047971913022151424
0.0,-16,0.9294226980750944,0.9495363891856633,0.0941867281915802,0.07529204866346995
0.0,-15,0.9033215740162346,0.9222162535443448,0.12028785225044003,0.10261218430478852
0.0,-14,0.8772204499573747,0.8948961179030261,0.14638897630929987,0.12993231994610704
0.0,-13,0.8511193258985148,0.8675759822617077,0.17249010036815965,0.15725245558742557
0.0,-12,0.825018201839655,0.8402558466203891,0.19859122442701949,0.18457259122874414
0.0,-11,0.7989170777807952,0.8129357109790706,0.22469234848587927,0.21189272687006266
0.0,-10,0.7728159537219355,0.7856155753377521,0.2507934725447391,0.23921286251138119
0.0,-9,0.7467148296630757,0.7582954396964335,0.27689459660359894,0.26653299815269976
0.0,-8,0.7206137056042158,0.730975304055115,0.3029957206624587,0.2938531337940183
0.0,-7,0.694512581545356,0.7036551684137964,0.32909684472131856,0.32117326943533686
0.0,-6,0.6684114574864961,0.6763350327724779,0.3551979687801784,0.3484934050766554
0.0,-5,0.6423103334276363,0.6490148971311593,0.3812990928390382,0.3758135407179739
0.0,-4,0.6162092093687765,0.6216947614898408,0.407400216897898,0.4031336763592925
0.0,-3,0.5901080853099168,0.5943746258485223,0.43350134095675785,0.430453812000611
0.0,-2,0.5640069612510569,0.5670544902072037,0.45960246501561763,0.4577739476419296
0.0,-1,0.5379058371921971,0.5397343545658851,0.48570358907447747,0.4850940832832481
0.0,0,0.5118047131333373,0.5124142189245666,0.5118047131333373,0.5124142189245666
0.0,1,0.48570358907447747,0.4850940832832481,0.5379058371921971,0.5397343545658851
0.0,2,0.45960246501561763,0.4577739476419296,0.5640069612510569,0.5670544902072037
0.0,3,0.43350134095675785,0.430453812000611,0.5901080853099168,0.5943746258485223
0.0,4,0.407400216897898,0.4031336763592925,0.6162092093687765,0.6216947614898408
0.0,5,0.3812990928390382,0.3758135407179739,0.6423103334276363,0.6490148971311593
0.0,6,0.3551979687801784,0.3484934050766554,0.6684114574864961,0.6763350327724779
0.0,7,0.32909684472131856,0.32117326943533686,0.694512581545356,0.7036551684137964
0.0,8,0.3029957206624587,0.2938531337940183,0.7206137056042158,0.730975304055115
0.0,9,0.27689459660359894,0.26653299815269976,0.7467148296630757,0.7582954396964335
0.0,10,0.2507934725447391,0.23921286251138119,0.7728159537219355,0.7856155753377521
0.0,11,0.22469234848587927,0.21189272687006266,0.7989170777807952,0.8129357109790706
0.0,12,0.19859122442701949,0.18457259122874414,0.825018201839655,0.8402558466203891
0.0,13,0.17249010036815965,0.15725245558742557,0.8511193258985148,0.8675759822617077
0.0,14,0.14638897630929987,0.12993231994610704,0.8772204499573747,0.8948961179030261
0.0,15,0.12028785225044003,0.10261218430478852,0.9033215740162346,0.9222162535443448
0.0,16,0.0941867281915802,0.07529204866346995,0.9294226980750944,0.9495363891856633
0.0,17,0.06808560413272041,0.047971913022151424,0.9555238221339541,0.9768565248269818
0.0,18,0.041984480073860575,0.020651777380832848,0.9816249461928139,1.0041766604683005
0.0,19,0.015883356015000738,-0.006668358260485674,1.0077260702516737,1.0314967961096189
0.0,20,-0.010217768043859043,-0.033988493901804195,1.0338271943105335,1.0588169317509375
0.0,21,-0.036318892102718825,-0.06130862954312272,1.0599283183693935,1.0861370673922561
0.0,22,-0.06242001616157872,-0.08862876518444135,1.0860294424282533,1.1134572030335745
0.0,23,-0.0885211402204385,-0.11594890082575987,1.112130566487113,1.1407773386748932
