alpha_center,GLFT_mean_q,Y-aware_mean_q,Alpha/Y-aware_mean_q,Regime-aware_mean_q,Regime Galerkin_mean_q,Regime sc-cubic_mean_q,GLFT_count,Y-aware_count,Alpha/Y-aware_count,Regime-aware_count,Regime Galerkin_count,Regime sc-cubic_count
-0.050814044,21.967122,7.0969641,-8.8398636,-10.91966,-11.001565,-11.543737,2466522,2466522,2466522,2466522,2466522,2466522
-0.046395379,21.512643,6.958027,-8.7355133,-10.767629,-10.882942,-11.396278,4550255,4550255,4550255,4550255,4550255,4550255
-0.041976715,20.942144,6.7858006,-8.5959425,-10.558232,-10.713381,-11.19512,7367588,7367588,7367588,7367588,7367588,7367588
-0.037558051,20.173056,6.5509894,-8.3976018,-10.270546,-10.466085,-10.916964,10359235,10359235,10359235,10359235,10359235,10359235
-0.033139386,19.114636,6.2234051,-8.1020759,-9.8647238,-10.109529,-10.524392,12555359,12555359,12555359,12555359,12555359,12555359
-0.028720722,17.591143,5.7495262,-7.643201,-9.2423085,-9.5390031,-9.9174195,13088100,13088100,13088100,13088100,13088100,13088100
-0.024302058,15.408844,5.0637918,-6.9314848,-8.308892,-8.6471681,-8.9965272,11846797,11846797,11846797,11846797,11846797,11846797
-0.019883393,12.385603,4.1000625,-5.8503122,-6.9255341,-7.2804185,-7.6098827,9712988,9712988,9712988,9712988,9712988,9712988
-0.015464729,8.8411578,2.955195,-4.4398682,-5.1845983,-5.5056356,-5.8199141,7775163,7775163,7775163,7775163,7775163,7775163
-0.011046064,5.6000817,1.888585,-2.9833759,-3.4343726,-3.6710986,-3.9450178,6564693,6564693,6564693,6564693,6564693,6564693
-0.0066274001,3.0861707,1.0469051,-1.7035258,-1.9430832,-2.079703,-2.2688158,5983310,5983310,5983310,5983310,5983310,5983310
-0.0022087357,0.98801176,0.33713492,-0.55167602,-0.62556805,-0.6749991,-0.74070187,5768904,5768904,5768904,5768904,5768904,5768904
0.0022099286,-0.98444339,-0.33023741,0.54615339,0.63556308,0.67352546,0.74105365,5745082,5745082,5745082,5745082,5745082,5745082
0.006628593,-3.0810005,-1.038577,1.6938971,1.9482472,2.0775941,2.2659354,5971694,5971694,5971694,5971694,5971694,5971694
0.011047257,-5.60667,-1.8813559,2.9755458,3.4428065,3.6682016,3.9400571,6556011,6556011,6556011,6556011,6556011,6556011
0.015465922,-8.8601068,-2.9555375,4.4417674,5.1947749,5.5066759,5.8183001,7771352,7771352,7771352,7771352,7771352,7771352
0.019884586,-12.399062,-4.1008977,5.8489514,6.9351377,7.2791229,7.6062611,9709956,9709956,9709956,9709956,9709956,9709956
0.024303251,-15.4102,-5.0603348,6.9294269,8.3133862,8.6430139,8.9911703,11853452,11853452,11853452,11853452,11853452,11853452
0.028721915,-17.5944,-5.7486294,7.6429722,9.2512117,9.5418172,9.9185337,13092819,13092819,13092819,13092819,13092819,13092819
0.033140579,-19.107862,-6.2205454,8.0965231,9.8682177,10.113275,10.525132,12562500,12562500,12562500,12562500,12562500,12562500
0.037559244,-20.155423,-6.543197,8.3875749,10.274381,10.472612,10.920818,10348285,10348285,10348285,10348285,10348285,10348285
0.041977908,-20.924244,-6.7771067,8.5825183,10.559377,10.714916,11.198418,7346286,7346286,7346286,7346286,7346286,7346286
0.046396572,-21.494693,-6.9500935,8.7240647,10.769681,10.889141,11.403239,4539807,4539807,4539807,4539807,4539807,4539807
0.050815237,-21.941288,-7.0829375,8.8297151,10.928121,11.013684,11.557782,2463842,2463842,2463842,2463842,2463842,2463842
