y_center,GLFT_mean_q,Y-aware_mean_q,Alpha/Y-aware_mean_q,Regime-aware_mean_q,Regime Galerkin_mean_q,Regime sc-cubic_mean_q,GLFT_count,Y-aware_count,Alpha/Y-aware_count,Regime-aware_count,Regime Galerkin_count,Regime sc-cubic_count
-5.75,30.607503,9.2619335,-9.3539506,-12.97975,-8.4240105,-13.762362,504254,504254,504254,504254,504254,504254
-5.25,29.626214,9.0383025,-9.372311,-12.806396,-9.5892566,-13.545669,923803,923803,923803,923803,923803,923803
-4.75,28.496244,8.7979759,-9.3787485,-12.614087,-10.670428,-13.316278,1598438,1598438,1598438,1598438,1598438,1598438
-4.25,27.22366,8.5113095,-9.3654755,-12.361654,-11.40441,-13.049131,2609981,2609981,2609981,2609981,2609981,2609981
-3.75,25.698414,8.1385892,-9.2898797,-12.032341,-11.763072,-12.699614,4039941,4039941,4039941,4039941,4039941,4039941
-3.25,23.884687,7.6674033,-9.1353248,-11.592866,-11.793547,-12.240541,5907298,5907298,5907298,5907298,5907298,5907298
-2.75,21.745046,7.0711455,-8.8476146,-10.995507,-11.491589,-11.615604,8182938,8182938,8182938,8182938,8182938,8182938
-2.25,19.168972,6.3051383,-8.3306812,-10.141222,-10.783723,-10.747207,10742566,10742566,10742566,10742566,10742566,10742566
-1.75,16.037028,5.326484,-7.4553366,-8.9006525,-9.5498979,-9.5274732,13350486,13350486,13350486,13350486,13350486,13350486
-1.25,12.245766,4.0979723,-6.0698608,-7.1278016,-7.6582978,-7.7906314,15710363,15710363,15710363,15710363,15710363,15710363
-0.75,7.7550743,2.6083701,-4.0496337,-4.6927995,-5.0327294,-5.2918912,17500031,17500031,17500031,17500031,17500031,17500031
-0.25,2.6702612,0.90308676,-1.439287,-1.650438,-1.7683403,-1.9131707,18470913,18470913,18470913,18470913,18470913,18470913
0.25,-2.6749773,-0.89600241,1.4342885,1.6571474,1.7644252,1.9090069,18467274,18467274,18467274,18467274,18467274,18467274
0.75,-7.7734789,-2.6104155,4.0503393,4.7078819,5.0400691,5.2970395,17501162,17501162,17501162,17501162,17501162,17501162
1.25,-12.27032,-4.1024537,6.0721843,7.1426034,7.6694647,7.7980929,15699385,15699385,15699385,15699385,15699385,15699385
1.75,-16.051303,-5.3287004,7.4536439,8.9056406,9.5465936,9.5247565,13338147,13338147,13338147,13338147,13338147,13338147
2.25,-19.180546,-6.3039132,8.3303754,10.150387,10.788898,10.751544,10732578,10732578,10732578,10732578,10732578,10732578
2.75,-21.741724,-7.0617687,8.8416737,10.998922,11.497349,11.61895,8183233,8183233,8183233,8183233,8183233,8183233
3.25,-23.847702,-7.6505887,9.1218044,11.589415,11.793548,12.236964,5898278,5898278,5898278,5898278,5898278,5898278
3.75,-25.62719,-8.1184392,9.2707059,12.031662,11.767134,12.705461,4026370,4026370,4026370,4026370,4026370,4026370
4.25,-27.141661,-8.4901595,9.342786,12.363297,11.403491,13.059176,2605672,2605672,2605672,2605672,2605672,2605672
4.75,-28.443228,-8.7943867,9.3564704,12.614429,10.674209,13.336161,1596200,1596200,1596200,1596200,1596200,1596200
5.25,-29.553413,-9.0368942,9.3524092,12.825856,9.6069929,13.565093,926108,926108,926108,926108,926108,926108
5.75,-30.571245,-9.2650056,9.3546476,12.997236,8.4249913,13.749775,504295,504295,504295,504295,504295,504295
