q,GLFT_freq,Y-aware_freq,Alpha/Y-aware_freq,Regime-aware_freq,Regime Galerkin_freq,Regime sc-cubic_freq
-60,3.27e-06,0,0,0,0,0
-59,5.44e-06,0,0,0,0,0
-58,9.475e-06,0,0,0,0,0
-57,1.5805e-05,0,0,0,0,0
-56,2.4745e-05,0,0,0,0,0
-55,3.721e-05,0,0,0,0,0
-54,5.681e-05,0,0,0,0,0
-53,9.028e-05,0,0,0,0,0
-52,0.000126235,0,0,0,0,0
-51,0.000178535,0,0,0,0,0
-50,0.00024371,0,0,0,0,0
-49,0.000351885,0,0,0,0,0
-48,0.00046701,0,0,0,0,0
-47,0.000622075,0,0,0,0,0
-46,0.000801265,0,0,0,0,0
-45,0.00101746,0,0,0,0,0
-44,0.00126627,0,0,0,0,0
-43,0.001547235,0,0,0,0,0
-42,0.001892725,0,0,0,0,0
-41,0.00223902,0,0,0,0,0
-40,0.00266343,0,0,0,0,0
-39,0.003143325,0,0,0,0,0
-38,0.00362339,0,0,0,0,0
-37,0.00418989,0,0,0,0,0
-36,0.004751625,0,0,0,0,0
-35,0.00530923,0,0,0,1.5e-08,0
-34,0.00592883,0,0,0,7e-08,0
-33,0.00652491,0,0,0,2.55e-07,0
-32,0.007159705,0,0,0,1.525e-06,2e-08
-31,0.00777677,0,0,5e-08,9.15e-06,1e-07
-30,0.008392695,0,0,4.35e-07,3.589e-05,9.4e-07
-29,0.009005265,0,0,2.405e-06,0.00011948,5.05e-06
-28,0.00962585,0,0,1.1365e-05,0.000325465,2.454e-05
-27,0.010188775,0,0,4.098e-05,0.000783865,0.000100455
-26,0.010783605,0,5e-09,0.000146765,0.001642705,0.000321505
-25,0.01137627,0,2.5e-08,0.000431445,0.00301608,0.0009103
-24,0.011859235,7e-08,4.1e-07,0.00107852,0.004991395,0.002207875
-23,0.01232976,2.9e-07,2.43e-06,0.002317755,0.00742229,0.004549005
-22,0.012794195,1.255e-06,1.453e-05,0.004294855,0.00998945,0.008085275
-21,0.013238615,5.56e-06,5.5655e-05,0.00709885,0.012463305,0.01232178
-20,0.01362632,2.76e-05,0.00019592,0.010273205,0.01456245,0.01643379
-19,0.014052165,9.999e-05,0.000571375,0.013575865,0.016306785,0.0195159
-18,0.01438904,0.00029247,0.00151695,0.0164989,0.017708235,0.02155655
-17,0.01470963,0.000786165,0.003500605,0.01896832,0.019018025,0.022551975
-16,0.01504818,0.001794605,0.00682916,0.02101592,0.02024375,0.023234845
-15,0.01535064,0.003620675,0.01178981,0.022574355,0.0216133,0.023832585
-14,0.015598125,0.006604505,0.0179215,0.023876765,0.022893135,0.02436559
-13,0.01586012,0.010694675,0.02436953,0.0249795,0.0240952,0.02505195
-12,0.016043375,0.015789275,0.03012573,0.02585031,0.025139815,0.025530965
-11,0.01621537,0.02139526,0.034399445,0.02650465,0.026036445,0.025714605
-10,0.01641985,0.027025875,0.03703127,0.026980545,0.026780275,0.0254504
-9,0.01653598,0.032357885,0.038101465,0.02724378,0.02717189,0.025074695
-8,0.01664352,0.0369077,0.03810563,0.02732846,0.02665698,0.02459183
-7,0.01678214,0.040473905,0.037418535,0.027239895,0.02533582,0.02398041
-6,0.016865965,0.0431902,0.03629997,0.026968305,0.023858715,0.023360975
