y,regime,regime_ergodic_ask,regime_ergodic_bid,ansatz_ask,ansatz_bid
-6,-1,-3.433830301,4.499410921,-2.869825868,3.893435294
-5.96,-1,-3.432659872,4.498209351,-2.855146353,3.878755779
-5.92,-1,-3.431489444,4.497007781,-2.840466773,3.864076199
-5.88,-1,-3.42921426,4.494672423,-2.825787121,3.849396548
-5.84,-1,-3.42583432,4.491203277,-2.811107394,3.83471682
-5.8,-1,-3.422454381,4.487734131,-2.796427583,3.820037009
-5.76,-1,-3.41710537,4.482245272,-2.781747682,3.805357108
-5.72,-1,-3.411756359,4.476756414,-2.767067684,3.79067711
-5.68,-1,-3.405526394,4.470364522,-2.75238758,3.775997006
-5.64,-1,-3.398415475,4.463069597,-2.737707362,3.761316788
-5.6,-1,-3.391304556,4.455774672,-2.72302702,3.746636446
-5.56,-1,-3.382610657,4.446858306,-2.708346543,3.73195597
-5.52,-1,-3.373916759,4.437941939,-2.693665922,3.717275348
-5.48,-1,-3.36450885,4.428294852,-2.678985143,3.702594569
-5.44,-1,-3.354386931,4.417917044,-2.664304193,3.687913619
-5.4,-1,-3.344265013,4.407539236,-2.649623059,3.673232485
-5.36,-1,-3.332849536,4.395838926,-2.634941724,3.658551151
-5.32,-1,-3.32143406,4.384138616,-2.620260173,3.643869599
-5.28,-1,-3.30943025,4.371837495,-2.605578387,3.629187813
-5.24,-1,-3.296838106,4.358935562,-2.590896346,3.614505772
-5.2,-1,-3.284245963,4.34603363,-2.576214029,3.599823456
-5.16,-1,-3.270578963,4.332035452,-2.561531414,3.585140841
-5.12,-1,-3.256911964,4.318037273,-2.546848476,3.570457902
-5.08,-1,-3.242751962,4.303536995,-2.532165187,3.555774613
-5.04,-1,-3.228098958,4.288534615,-2.517481518,3.541090945
-5,-1,-3.213445954,4.273532236,-2.502797439,3.526406865
-4.96,-1,-3.19788464,4.257606222,-2.488112913,3.51172234
-4.92,-1,-3.182323327,4.241680207,-2.473427906,3.497037332
-4.88,-1,-3.1663419,4.225327707,-2.458742375,3.482351802
-4.84,-1,-3.149940359,4.208548721,-2.444056279,3.467665705
-4.8,-1,-3.133538818,4.191769735,-2.429369569,3.452978995
-4.76,-1,-3.116356829,4.174199887,-2.414682194,3.43829162
-4.72,-1,-3.09917484,4.156630039,-2.3999941,3.423603526
-4.68,-1,-3.081628928,4.138692111,-2.385305226,3.408914652
-4.64,-1,-3.063719092,4.120386103,-2.370615507,3.394224933
-4.6,-1,-3.045809257,4.102080095,-2.355924873,3.3795343
-4.56,-1,-3.027217956,4.083086209,-2.341233249,3.364842675
-4.52,-1,-3.008626655,4.064092323,-2.32654055,3.350149976
-4.48,-1,-2.989715112,4.044775847,-2.311846689,3.335456115
-4.44,-1,-2.970483327,4.025136781,-2.297151567,3.320760994
-4.4,-1,-2.951251542,4.005497714,-2.282455081,3.306064508
-4.36,-1,-2.931415553,3.985251301,-2.267757117,3.291366543
-4.32,-1,-2.911579564,3.965004888,-2.253057551,3.276666977
-4.28,-1,-2.891457563,3.944471593,-2.238356251,3.261965677
-4.24,-1,-2.87104955,3.923651416,-2.223653072,3.247262498
-4.2,-1,-2.850641537,3.902831239,-2.208947857,3.232557283
-4.16,-1,-2.82969009,3.881467155,-2.194240437,3.217849864
-4.12,-1,-2.808738643,3.860103071,-2.17953063,3.203140056
-4.08,-1,-2.787528195,3.838480324,-2.164818235,3.188427662
-4.04,-1,-2.766058748,3.816598912,-2.150103039,3.173712465
-4,-1,-2.744589301,3.794717501,-2.135384807,3.158994233
-3.96,-1,-2.722624505,3.772342445,-2.120663288,3.144272714
-3.92,-1,-2.70065971,3.749967388,-2.105938208,3.129547634
-3.88,-1,-2.678457332,3.727356066,-2.09120927,3.114818696
-3.84,-1,-2.656017371,3.704508476,-2.076476155,3.100085581
-3.8,-1,-2.63357741,3.681660886,-2.061738514,3.085347941
-3.76,-1,-2.610680265,3.658359579,-2.046995973,3.070605399
-3.72,-1,-2.587783121,3.635058272,-2.032248122,3.055857549
-3.68,-1,-2.564665386,3.611538484,-2.017494522,3.041103949
-3.64,-1,-2.541327062,3.587800213,-2.002734695,3.026344121
-3.6,-1,-2.517988739,3.564061942,-1.987968123,3.011577549
-3.56,-1,-2.494223452,3.539901596,-1.973194246,2.996803672
-3.52,-1,-2.470458166,3.51574125,-1.958412458,2.982021884
-3.48,-1,-2.446485691,3.491376459,-1.943622103,2.967231529
-3.44,-1,-2.422306028,3.466807223,-1.928822469,2.952431895
-3.4,-1,-2.398126365,3.442237988,-1.914012787,2.937622213
-3.36,-1,-2.373543409,3.417271486,-1.899192223,2.92280165
-3.32,-1,-2.348960454,3.392304983,-1.884359877,2.907969303
-3.28,-1,-2.324180697,3.367144933,-1.869514771,2.893124197
-3.24,-1,-2.299204139,3.341791336,-1.854655849,2.878265275
-3.2,-1,-2.274227581,3.316437738,-1.839781967,2.863391393
-3.16,-1,-2.248865801,3.290705859,-1.824891888,2.848501314
-3.12,-1,-2.223504022,3.264973979,-1.809984272,2.833593698
-3.08,-1,-2.197953203,3.239056723,-1.79505767,2.818667097
-3.04,-1,-2.172213343,3.212954092,-1.780110515,2.803719941
-3,-1,-2.146473484,3.18685146,-1.76514111,2.788750536
