time,price,y,alpha,regime,z,glft_inventory,y_aware_inventory,alpha/y_aware_inventory,regime_aware_inventory,regime_galerkin_inventory,regime_sc_cubic_inventory
0,0,4.7976981,0,1,1.25,0,0,0,0,0,0
1,0.058246162,4.1034508,0.023185252,1,1.25,0,-1,0,1,0,0
2,-0.28624018,4.2500103,0.040047357,1,1.25,-1,-1,0,1,0,0
3,-0.49524263,4.231147,0.040755415,1,1.25,-1,-1,0,1,0,0
4,-0.54330659,4.7740051,0.036912765,1,1.25,-1,-1,0,1,0,2
5,-0.52128531,4.4816056,0.033528852,1,1.25,-1,-1,0,1,0,2
6,-0.72086352,4.1786528,0.03128797,1,1.25,-2,-2,0,2,0,2
7,-0.67061009,4.3083999,0.036172335,0,0,-2,-2,0,2,0,2
8,-0.74063075,4.6569306,0.039642824,0,0,-2,-2,0,2,0,2
9,-0.33760602,4.9801512,0.031623223,0,0,-3,-2,0,2,0,2
10,-0.51574535,4.7029933,0.022519463,0,0,-3,-2,0,2,0,2
11,-0.30008979,4.5839334,0.036885684,0,0,-3,-2,0,2,0,2
12,-0.24559153,4.4293819,0.033124758,0,0,-3,-2,0,2,0,2
13,0.10415528,4.1181624,0.030008481,0,0,-3,-2,0,2,0,2
14,-0.50981382,4.0702583,0.028066664,0,0,-3,-2,0,2,0,2
15,-0.77108779,4.0371636,0.021947088,0,0,-3,-2,0,2,0,2
16,-1.08681,4.3219609,0.021258934,0,0,-3,-2,0,2,0,2
17,-0.50688899,4.1696466,0.030423716,0,0,-4,-3,1,2,0,2
18,-0.90972485,4.0480877,0.031957513,0,0,-4,-3,1,2,0,2
19,-0.56120667,4.1223457,0.038200834,0,0,-4,-3,1,2,0,2
20,-0.2876519,3.9436619,0.035013203,0,0,-4,-3,1,2,0,2
21,0.031481102,3.7082427,0.031317929,0,0,-4,-4,1,2,0,3
22,-0.04453621,3.75731,0.023209765,0,0,-4,-4,1,2,0,3
23,0.79475073,3.1233967,0.017017807,0,0,-4,-4,1,2,1,3
24,0.77452733,2.6521895,0.021801577,0,0,-5,-4,1,2,1,3
25,0.85839285,2.4316559,0.034349876,0,0,-5,-5,1,2,2,3
26,1.4771835,2.5466315,0.031919495,0,0,-5,-5,1,2,3,3
27,1.8438707,2.3723511,0.031687354,0,0,-6,-5,1,2,3,3
28,2.0599139,2.2106573,0.024449379,0,0,-6,-5,1,2,4,3
29,2.0901961,1.8362585,0.02391473,0,0,-7,-5,1,2,4,3
30,2.3087767,2.251455,0.018697433,0,0,-9,-5,1,2,4,3
31,2.1705022,2.3493858,0.024349924,0,0,-10,-5,1,2,4,4
32,1.7674334,1.9243043,0.037759368,0,0,-10,-6,1,2,6,4
33,1.8626687,1.5222062,0.041448012,0,0,-10,-6,1,2,6,4
34,2.1684773,1.3768858,0.04007078,0,0,-10,-6,1,2,6,5
35,2.3205637,1.5369999,0.030578563,0,0,-10,-6,1,2,6,5
36,2.0379152,1.5264202,0.041346337,0,0,-10,-6,1,3,7,5
37,2.3739875,1.5820572,0.041908005,0,0,-10,-7,1,3,7,5
38,2.2134685,1.9012654,0.047273581,0,0,-10,-7,1,4,7,7
39,2.6853815,1.8752594,0.040862887,0,0,-10,-8,1,4,7,7
40,2.5355173,1.6895911,0.036943562,0,0,-10,-7,3,4,8,7
41,2.7707585,1.6957668,0.04187524,0,0,-11,-7,3,4,8,7
42,1.8286436,1.4106006,0.048760048,0,0,-11,-7,4,4,9,7
43,1.3651595,1.5631118,0.03832463,0,0,-11,-6,4,4,9,7
44,1.0791002,1.4795914,0.034279702,0,0,-13,-6,4,4,9,8
45,1.1946614,1.3424907,0.0372824,0,0,-13,-6,4,4,9,8
46,1.1245815,1.921353,0.028899451,0,0,-13,-7,4,4,9,8
47,1.0039722,1.3616845,0.036036822,0,0,-14,-7,4,6,9,8
48,0.7407484,1.8171307,0.036123088,0,0,-14,-7,4,6,9,8
49,0.92759017,1.9781699,0.032945861,0,0,-14,-8,5,6,9,9
50,0.22077034,1.684479,0.041418818,0,0,-14,-8,5,6,9,9
51,0.31213853,1.058903,0.048875767,0,0,-14,-8,5,6,9,9
52,0.56054546,0.9678266,0.049806888,0,0,-15,-8,5,7,9,9
53,0.69225748,1.0723626,0.037183375,0,0,-13,-8,5,7,9,9
54,0.58037256,1.2260585,0.04325837,0,0,-13,-8,5,7,9,9
55,0.50068227,1.5567645,0.045961751,0,0,-13,-8,6,7,9,9
56,0.32786472,0.64521685,0.045409953,0,0,-13,-9,6,7,9,10
57,0.51813924,0.63529379,0.039300456,0,0,-13,-11,6,7,9,9
58,0.55776222,0.11880704,0.02559579,0,0,-12,-11,5,7,9,9
59,1.5340172,0.069673131,0.020634194,0,0,-10,-10,6,9,7,8
60,1.2964634,-0.0076014919,0.02106283,0,0,-10,-10,5,9,7,6
61,1.0224006,0.40673847,0.016628461,0,0,-10,-11,5,9,8,5
62,0.68616641,0.2197425,0.014532866,0,0,-9,-11,6,10,7,4
63,1.376084,0.093297583,0.014282768,0,0,-9,-9,5,9,6,5
64,1.8015213,0.63398942,0.0073835997,0,0,-8,-9,5,8,6,5
65,1.7827058,0.76785849,0.0096761957,0,0,-8,-9,6,9,6,5
66,2.0048184,1.1723518,0.010533871,0,0,-9,-9,7,10,7,4
67,2.2299854,1.6127223,0.023417808,0,0,-10,-9,7,10,6,3
68,2.869146,1.1592216,0.027889834,0,0,-11,-9,7,11,6,3
69,3.065699,0.65334521,0.02644875,0,0,-12,-9,7,10,6,4
70,2.7646703,0.66092307,0.02703873,0,0,-12,-9,7,10,6,6
71,3.0890534,1.250096,0.025563985,0,0,-12,-9,7,10,6,6
72,2.7517748,0.95255619,0.025245408,0,0,-12,-9,7,10,7,6
73,2.8986807,1.3025373,0.018976703,0,0,-14,-8,7,11,8,6
74,2.9727714,0.94211411,0.02280988,0,0,-14,-8,9,11,8,7
75,3.2915353,0.77079952,0.0076923028,0,0,-14,-8,8,11,9,8
76,3.138662,1.0261228,0.010136553,0,0,-14,-8,8,11,9,9
77,3.0664679,0.64852356,0.011265241,0,0,-14,-8,9,11,10,9
78,3.4177843,0.33460273,0.0011671355,0,0,-14,-9,8,10,10,10
79,3.288417,0.0094220529,0.00088324383,0,0,-14,-8,9,10,10,11
80,2.9310511,-0.15025574,-0.0022372083,0,0,-14,-8,8,10,9,11
81,3.3854413,-0.40713673,-0.0011938192,0,0,-14,-7,7,10,9,11
82,3.4118631,-0.6082863,-0.0095127087,0,0,-12,-7,7,10,8,10
83,3.0076666,-0.43599392,0.00052365015,0,0,-10,-7,7,10,7,8
84,3.7048367,-0.76392005,-0.0052653775,0,0,-10,-7,5,11,4,9
85,3.5932054,-0.30470969,0.0045714826,0,0,-9,-6,4,11,5,9
86,3.263649,0.14421364,0.0046216564,0,0,-8,-6,2,11,5,10
