abs_inventory,Signal-blind Gaussian GLFT,I-aware RHJB,cubic-skew refined ansatz,I-aware galerkin ansatz
0,0.01872351765,0.05137541246,0.04755042996,0.04764435556
1,0.03703033697,0.1020743376,0.0946789971,0.09498978102
2,0.03683262674,0.1011487551,0.09443237176,0.09492461754
3,0.03667055294,0.0993309819,0.09385785421,0.09514746025
4,0.03645818418,0.09666191381,0.0929710429,0.09487012299
5,0.03622706729,0.0930430207,0.091389961,0.09397137286
6,0.03596749325,0.08783362664,0.08845392461,0.09145166483
7,0.03570038996,0.08091846815,0.08361633837,0.08675662934
8,0.03535533447,0.07226452355,0.07665648935,0.07942670733
9,0.03501255374,0.06177366263,0.06730049495,0.06885790921
10,0.03463969603,0.05030084992,0.0558860014,0.05551385861
11,0.03418820618,0.03838672633,0.04305329467,0.04102188781
12,0.03366908309,0.02718824618,0.03060393461,0.02711580842
13,0.0331009899,0.01764387561,0.0196319768,0.01570521948
14,0.03250157484,0.01041020398,0.01105907409,0.00780950405
15,0.03185820418,0.005455434457,0.005455054495,0.0032589991
16,0.03104872013,0.002595305469,0.002297340266,0.001135391461
17,0.03029925507,0.001069973003,0.000802669733,0.0003130386961
18,0.02940751925,0.0003733926607,0.0002339016098,7.02179782e-05
19,0.02851123388,0.0001132486751,5.459454055e-05,1.395360464e-05
20,0.02756389861,3.03019698e-05,1.096890311e-05,1.289871013e-06
21,0.02653506149,6.604339566e-06,2.679732027e-06,2.099790021e-07
22,0.02542343266,1.00989901e-06,6.04939506e-07,0
23,0.02428546145,1.249875012e-07,0,0
24,0.02307017798,0,0,0
25,0.02184917508,0,0,0
26,0.02053770123,0,0,0
27,0.01923447655,0,0,0
28,0.01790684932,0,0,0
29,0.01659821518,0,0,0
30,0.01519229577,0,0,0
31,0.01386181882,0,0,0
32,0.01253246175,0,0,0
33,0.01126052895,0,0,0
34,0.009985556444,0,0,0
35,0.008770272973,0,0,0
36,0.007637086291,0,0,0
37,0.006599590041,0,0,0
38,0.005603964604,0,0,0
39,0.004689516048,0,0,0
40,0.003895345465,0,0,0
41,0.003185286471,0,0,0
42,0.002583211679,0,0,0
43,0.002037571243,0,0,0
44,0.001603564644,0,0,0
45,0.001207314269,0,0,0
46,0.0009096840316,0,0,0
47,0.0006904959504,0,0,0
48,0.000498960104,0,0,0
49,0.0003634386561,0,0,0
50,0.0002436506349,0,0,0
51,0.0001624687531,0,0,0
52,0.0001038046195,0,0,0
53,6.690330967e-05,0,0,0
54,4.715528447e-05,0,0,0
55,2.677232277e-05,0,0,0
56,1.537346265e-05,0,0,0
57,9.699030097e-06,0,0,0
58,5.254474553e-06,0,0,0
59,2.124787521e-06,0,0,0
60,1.839816018e-06,0,0,0
