q,ask_hjb,bid_hjb,ask_glft_approx,bid_glft_approx
-60,nan,-0.733522881735764,nan,-1.0542627303982517
-59,1.7310311839435786,-0.71580656574404,2.0517710326060663,-1.028161606339392
-58,1.7133148679518546,-0.7014195144199693,2.0256699085472065,-1.0020604822805321
-57,1.698927816627784,-0.6868838040697154,1.9995687844883467,-0.9759593582216723
-56,1.68439210627753,-0.6721699720452914,1.973467660429487,-0.9498582341628126
-55,1.669678274253106,-0.657274387691515,1.9473665363706272,-0.9237571101039528
-54,1.6547826898993299,-0.6421935746633445,1.9212654123117674,-0.8976559860450928
-53,1.639701876871159,-0.6269240087886274,1.8951642882529074,-0.871554861986233
-52,1.624432310996442,-0.6114621194141125,1.8690631641940476,-0.8454537379273732
-51,1.608970421621927,-0.59580429301446,1.8429620401351878,-0.8193526138685134
-50,1.5933125952222744,-0.5799468774249485,1.816860916076328,-0.7932514898096537
-49,1.5774551796327632,-0.5638861867461515,1.7907597920174683,-0.7671503657507939
-48,1.5613944889539662,-0.5476185069888724,1.7646586679586085,-0.7410492416919339
-47,1.545126809196687,-0.5311401025329359,1.7385575438997485,-0.7149481176330741
-46,1.5286484047407505,-0.5144472234785058,1.7124564198408887,-0.6888469935742143
-45,1.5119555256863204,-0.49753611397387637,1.686355295782029,-0.6627458695153545
-44,1.495044416181691,-0.48040302160869824,1.6602541717231691,-0.6366447454564947
-43,1.477911323816513,-0.46304420796645823,1.6341530476643094,-0.610543621397635
-42,1.460552510174273,-0.44545596043448227,1.6080519236054496,-0.584442497338775
-41,1.4429642626422972,-0.42763460537366144,1.5819507995465896,-0.5583413732799152
-40,1.425142907581476,-0.4095765227531715,1.5558496754877298,-0.5322402492210554
-39,1.4070848249609862,-0.39127816235750806,1.52974855142887,-0.5061391251621956
-38,1.388786464565323,-0.3727360616738307,1.5036474273700102,-0.4800380011033358
-37,1.3702443638816455,-0.35394686556651994,1.4775463033111504,-0.4539368770444759
-36,1.3514551677743347,-0.33490734784265214,1.4514451792522907,-0.4278357529856161
-35,1.3324156500504667,-0.3156144348061453,1.4253440551934309,-0.4017346289267563
-34,1.31312273701396,-0.2960652308893596,1.399242931134571,-0.37563350486789643
-33,1.2935735330971743,-0.2762570464380499,1.373141807075711,-0.34953238080903665
-32,1.2737653486458647,-0.2561874277084251,1.3470406830168513,-0.32343125675017687
-31,1.25369572991624,-0.23585418911274897,1.3209395589579915,-0.2973301326913171
-30,1.2333624913205636,-0.2152554477219582,1.2948384348991318,-0.2712290086324572
-29,1.212763749929773,-0.1943896599993013,1.268737310840272,-0.2451278845735974
-28,1.191897962207116,-0.17325566069754555,1.2426361867814122,-0.21902676051473763
-27,1.1707639629053603,-0.15185270380316512,1.2165350627225524,-0.19292563645587774
-26,1.1493610060109798,-0.1301805053538096,1.1904339386636924,-0.16682451239701795
-25,1.1276888075616243,-0.10823928789001186,1.1643328146048326,-0.14072338833815817
-24,1.1057475900978266,-0.08602982622847405,1.1382316905459728,-0.11462226427929828
-23,1.0835381284362886,-0.06355349416311012,1.112130566487113,-0.0885211402204385
-22,1.0610617963709248,-0.04081231161176385,1.0860294424282533,-0.06242001616157872
-21,1.0383206138195786,-0.017808991633069093,1.0599283183693935,-0.036318892102718825
-20,1.0153172938408839,0.005453013359045578,1.0338271943105335,-0.010217768043859043
-19,0.9920552888487693,0.02896946695313829,1.0077260702516737,0.015883356015000738
-18,0.9685388352546764,0.05273530653481984,0.9816249461928139,0.041984480073860575
-17,0.9447729956729949,0.07674460446979026,0.9555238221339541,0.06808560413272041
-16,0.9207636977380245,0.10099053370214855,0.9294226980750944,0.0941867281915802
-15,0.8965177685056662,0.12546533885186562,0.9033215740162346,0.12028785225044003
-14,0.8720429633559491,0.15016031392871793,0.8772204499573747,0.14638897630929987
-13,0.8473479882790967,0.17506578778340393,0.8511193258985148,0.17249010036815965
-12,0.8224425144244107,0.2001711183843209,0.825018201839655,0.19859122442701949
-11,0.797337183823494,0.22546469693542165,0.7989170777807952,0.22469234848587927
-10,0.7720436052723931,0.25093396273295576,0.7728159537219355,0.2507934725447391
-9,0.746574339474859,0.27656542949469154,0.7467148296630757,0.27689459660359894
-8,0.7209428727131233,0.30234472368469556,0.7206137056042158,0.3029957206624587
-7,0.6951635785231192,0.3282566351029421,0.694512581545356,0.32909684472131856
-6,0.6692516671048726,0.354285179717996,0.6684114574864961,0.3551979687801784
-5,0.6432231224898187,0.380413674401771,0.6423103334276363,0.3812990928390382
-4,0.6170946278060436,0.40662482288985813,0.6162092093687765,0.407400216897898
-3,0.5908834793179566,0.43290081195342134,0.5901080853099168,0.43350134095675785
-2,0.5646074902543934,0.4592234164449338,0.5640069612510569,0.45960246501561763
-1,0.5382848857628809,0.48557411158644304,0.5379058371921971,0.48570358907447747
0,0.5119341906213717,0.5119341906213712,0.5118047131333373,0.5118047131333373
1,0.4855741115864434,0.538284885762881,0.48570358907447747,0.5379058371921971
2,0.4592234164449337,0.5646074902543937,0.45960246501561763,0.5640069612510569
3,0.432900811953421,0.5908834793179564,0.43350134095675785,0.5901080853099168
4,0.40662482288985835,0.617094627806044,0.407400216897898,0.6162092093687765
5,0.38041367440177076,0.6432231224898173,0.3812990928390382,0.6423103334276363
6,0.35428517971799744,0.6692516671048734,0.3551979687801784,0.6684114574864961
7,0.32825663510294134,0.6951635785231197,0.32909684472131856,0.694512581545356
8,0.302344723684695,0.7209428727131241,0.3029957206624587,0.7206137056042158
9,0.27656542949469065,0.7465743394748594,0.27689459660359894,0.7467148296630757
10,0.2509339627329552,0.7720436052723918,0.2507934725447391,0.7728159537219355
11,0.22546469693542298,0.797337183823494,0.22469234848587927,0.7989170777807952
12,0.2001711183843209,0.8224425144244107,0.19859122442701949,0.825018201839655
13,0.17506578778340393,0.8473479882790975,0.17249010036815965,0.8511193258985148
14,0.15016031392871715,0.8720429633559486,0.14638897630929987,0.8772204499573747
15,0.12546533885186628,0.896517768505666,0.12028785225044003,0.9033215740162346
16,0.10099053370214872,0.9207636977380251,0.0941867281915802,0.9294226980750944
17,0.07674460446978953,0.9447729956729943,0.06808560413272041,0.9555238221339541
18,0.05273530653482045,0.9685388352546754,0.041984480073860575,0.9816249461928139
19,0.028969466953139233,0.9920552888487706,0.015883356015000738,1.0077260702516737
20,0.005453013359044245,1.0153172938408843,-0.010217768043859043,1.0338271943105335
21,-0.01780899163306965,1.0383206138195789,-0.036318892102718825,1.0599283183693935
22,-0.040812311611764074,1.0610617963709248,-0.06242001616157872,1.0860294424282533
23,-0.06355349416311001,1.0835381284362888,-0.0885211402204385,1.112130566487113
24,-0.08602982622847405,1.1057475900978246,-0.11462226427929828,1.1382316905459728
25,-0.10823928789001008,1.1276888075616245,-0.14072338833815817,1.1643328146048326
26,-0.13018050535380982,1.1493610060109791,-0.16682451239701795,1.1904339386636924
27,-0.15185270380316435,1.1707639629053617,-0.19292563645587774,1.2165350627225524
28,-0.173255660697547,1.1918979622071155,-0.21902676051473763,1.2426361867814122
