tau,q,spread
0,-30,0.9975083022
0,-29,0.9975083022
0,-28,0.9975083022
0,-27,0.9975083022
0,-26,0.9975083022
0,-25,0.9975083022
0,-24,0.9975083022
0,-23,0.9975083022
0,-22,0.9975083022
0,-21,0.9975083022
0,-20,0.9975083022
0,-19,0.9975083022
0,-18,0.9975083022
0,-17,0.9975083022
0,-16,0.9975083022
0,-15,0.9975083022
0,-14,0.9975083022
0,-13,0.9975083022
0,-12,0.9975083022
0,-11,0.9975083022
0,-10,0.9975083022
0,-9,0.9975083022
0,-8,0.9975083022
0,-7,0.9975083022
0,-6,0.9975083022
0,-5,0.9975083022
0,-4,0.9975083022
0,-3,0.9975083022
0,-2,0.9975083022
0,-1,0.9975083022
0,0,0.9975083022
0,1,0.9975083022
0,2,0.9975083022
0,3,0.9975083022
0,4,0.9975083022
0,5,0.9975083022
0,6,0.9975083022
0,7,0.9975083022
0,8,0.9975083022
0,9,0.9975083022
0,10,0.9975083022
0,11,0.9975083022
0,12,0.9975083022
0,13,0.9975083022
0,14,0.9975083022
0,15,0.9975083022
0,16,0.9975083022
0,17,0.9975083022
0,18,0.9975083022
0,19,0.9975083022
0,20,0.9975083022
0,21,0.9975083022
0,22,0.9975083022
0,23,0.9975083022
0,24,0.9975083022
0,25,0.9975083022
0,26,0.9975083022
0,27,0.9975083022
0,28,0.9975083022
0,29,0.9975083022
0,30,0.9975083022
10,-30,1.006143618
10,-29,1.006145358
10,-28,1.006147036
10,-27,1.006148653
10,-26,1.00615021
10,-25,1.006151706
10,-24,1.006153142
10,-23,1.006154518
10,-22,1.006155834
10,-21,1.00615709
10,-20,1.006158286
10,-19,1.006159423
10,-18,1.006160501
10,-17,1.00616152
10,-16,1.006162479
10,-15,1.00616338
10,-14,1.006164222
10,-13,1.006165006
10,-12,1.006165731
10,-11,1.006166398
10,-10,1.006167006
10,-9,1.006167557
10,-8,1.006168049
10,-7,1.006168483
10,-6,1.006168859
10,-5,1.006169177
10,-4,1.006169437
10,-3,1.00616964
10,-2,1.006169784
10,-1,1.006169871
10,0,1.0061699
10,1,1.006169871
10,2,1.006169784
10,3,1.00616964
10,4,1.006169437
10,5,1.006169177
10,6,1.006168859
10,7,1.006168483
10,8,1.006168049
10,9,1.006167557
10,10,1.006167006
10,11,1.006166398
10,12,1.006165731
10,13,1.006165006
10,14,1.006164222
10,15,1.00616338
10,16,1.006162479
10,17,1.00616152
10,18,1.006160501
10,19,1.006159423
10,20,1.006158286
10,21,1.00615709
10,22,1.006155834
10,23,1.006154518
10,24,1.006153142
10,25,1.006151706
10,26,1.00615021
10,27,1.006148653
10,28,1.006147036
10,29,1.006145358
10,30,1.006143618
20,-30,1.01262307
20,-29,1.01265614
20,-28,1.012688146
20,-27,1.01271908
20,-26,1.012748938
20,-25,1.012777711
20,-24,1.012805396
20,-23,1.012831986
20,-22,1.012857476
20,-21,1.012881863
20,-20,1.01290514
20,-19,1.012927306
20,-18,1.012948355
20,-17,1.012968284
20,-16,1.01298709
20,-15,1.013004771
20,-14,1.013021322
20,-13,1.013036742
20,-12,1.013051029
20,-11,1.01306418
20,-10,1.013076193
20,-9,1.013087067
20,-8,1.0130968
20,-7,1.013105392
20,-6,1.01311284
20,-5,1.013119144
20,-4,1.013124302
20,-3,1.013128315
20,-2,1.013131182
20,-1,1.013132903
20,0,1.013133476
20,1,1.013132903
20,2,1.013131182
20,3,1.013128315
20,4,1.013124302
20,5,1.013119144
20,6,1.01311284
20,7,1.013105392
20,8,1.0130968
20,9,1.013087067
20,10,1.013076193
20,11,1.01306418
20,12,1.013051029
20,13,1.013036742
20,14,1.013021322
20,15,1.013004771
20,16,1.01298709
20,17,1.012968284
20,18,1.012948355
20,19,1.012927306
20,20,1.01290514
20,21,1.012881863
20,22,1.012857476
20,23,1.012831986
20,24,1.012805396
20,25,1.012777711
20,26,1.012748938
20,27,1.01271908
20,28,1.012688146
20,29,1.01265614
20,30,1.01262307
30,-30,1.015997478
30,-29,1.016106691
30,-28,1.01621353
30,-27,1.016317876
30,-26,1.016419612
30,-25,1.016518621
30,-24,1.016614789
30,-23,1.016708003
30,-22,1.016798152
30,-21,1.016885128
30,-20,1.016968827
30,-19,1.017049144
30,-18,1.017125982
30,-17,1.017199245
30,-16,1.017268841
30,-15,1.017334681
30,-14,1.017396683
30,-13,1.017454767
30,-12,1.017508858
30,-11,1.017558886
30,-10,1.017604787
30,-9,1.017646501
30,-8,1.017683972
30,-7,1.017717152
30,-6,1.017745998
30,-5,1.017770471
30,-4,1.017790538
30,-3,1.017806174
30,-2,1.017817357
30,-1,1.017824073
30,0,1.017826313
30,1,1.017824073
30,2,1.017817357
30,3,1.017806174
30,4,1.017790538
30,5,1.017770471
30,6,1.017745998
30,7,1.017717152
30,8,1.017683972
30,9,1.017646501
30,10,1.017604787
30,11,1.017558886
30,12,1.017508858
30,13,1.017454767
30,14,1.017396683
30,15,1.017334681
30,16,1.017268841
30,17,1.017199245
30,18,1.017125982
30,19,1.017049144
30,20,1.016968827
30,21,1.016885128
30,22,1.016798152
30,23,1.016708003
30,24,1.016614789
30,25,1.016518621
30,26,1.016419612
30,27,1.016317876
30,28,1.01621353
30,29,1.016106691
30,30,1.015997478
40,-30,1.017328009
40,-29,1.017507562
40,-28,1.017685117
40,-27,1.01786039
40,-26,1.018033086
