time,Signal-blind Gaussian GLFT,I-aware RHJB,cubic-skew refined ansatz,I-aware galerkin ansatz
0.05,0.01565905138,0.01595034935,0.0154477618,0.01584293278
1.05,0.3490459148,0.3440046924,0.3424068326,0.3404149308
2.05,0.6745327515,0.6611574949,0.6687318019,0.661789731
3.05,1.000036545,0.9821344838,0.9847949908,0.9789100599
4.05,1.331054945,1.299344698,1.306487437,1.298145456
5.05,1.653895484,1.606918117,1.613171348,1.606675363
6.05,1.986696354,1.914107812,1.925948753,1.910193542
7.05,2.323418047,2.21360231,2.223653189,2.216338282
8.05,2.65568796,2.513385909,2.526815577,2.51399609
9.05,2.984700407,2.817041048,2.825198019,2.807600763
10.05,3.318186762,3.109239339,3.12303177,3.095480209
11.05,3.644894515,3.405862724,3.42177275,3.392279879
12.05,3.970202756,3.693628187,3.712551465,3.679931001
13.05,4.289490646,3.987738358,3.990501396,3.963090098
14.05,4.613816674,4.274934336,4.277808064,4.248732866
15.05,4.939000494,4.556927262,4.568661799,4.541581632
16.05,5.282693242,4.85109148,4.860419532,4.842412643
17.05,5.599985532,5.133135716,5.140624866,5.116109447
18.05,5.936707793,5.41401571,5.430295334,5.39757305
19.05,6.259369878,5.683456482,5.700237144,5.680440011
20.05,6.580327637,5.961800984,5.976267994,5.950948688
21.05,6.923590607,6.240164017,6.263142064,6.229947854
22.05,7.24510986,6.512207851,6.532533606,6.50006804
23.05,7.564589529,6.775096328,6.803046649,6.772538214
24.05,7.881105284,7.039592951,7.066872163,7.038357201
25.05,8.183185737,7.301356347,7.319968375,7.298891811
26.05,8.504451377,7.575445707,7.583304775,7.57509069
27.05,8.815599126,7.829331615,7.83756066,7.822401359
28.05,9.120507252,8.079068268,8.097551031,8.071637933
29.05,9.439134134,8.339494413,8.357708992,8.326145056
30.05,9.742322689,8.606272199,8.612188788,8.578264073
31.05,10.06129559,8.862538564,8.874995777,8.844722259
32.05,10.35283107,9.109261509,9.132822689,9.089625691
33.05,10.66304676,9.377010795,9.375842938,9.350885629
34.05,10.97200951,9.632289346,9.629879517,9.605329302
35.05,11.25697547,9.871173892,9.878917286,9.859318466
36.05,11.59856672,10.12376084,10.15092055,10.13014568
37.05,11.90368867,10.36424868,10.40132246,10.38480686
38.05,12.21093505,10.60478129,10.65207569,10.64227836
39.05,12.49942087,10.84403849,10.88361969,10.8891815
40.05,12.81899027,11.09174786,11.14247123,11.14395876
41.05,13.09627594,11.33125834,11.37021549,11.38865734
42.05,13.3907423,11.57618262,11.60420425,11.62222873
43.05,13.6853225,11.82041261,11.84413156,11.87017526
44.05,14.02327008,12.0723979,12.09253514,12.12440839
45.05,14.29776672,12.30744841,12.32611434,12.35337172
46.05,14.5920247,12.5580373,12.56923205,12.60169285
47.05,14.90790674,12.80413287,12.81274588,12.85602812
48.05,15.20450379,13.04663147,13.05563286,13.11184817
49.05,15.50193614,13.28927906,13.29666919,13.35065248
50.05,15.73883139,13.51612784,13.51899669,13.57460394
51.05,16.04652926,13.74906081,13.75385382,13.81879237
52.05,16.33511153,13.98957793,13.97803176,14.05776356
53.05,16.65666831,14.24612227,14.23603992,14.30941676
54.05,16.98037093,14.4922321,14.4913035,14.55848153
55.05,17.21976362,14.71005254,14.71181973,14.78704647
56.05,17.49909118,14.95061098,14.94363943,15.01810842
57.05,17.79738622,15.18802282,15.17145478,15.25012042
58.05,18.06511497,15.40858848,15.38717847,15.47492566
59.05,18.35669562,15.63996927,15.62781483,15.70760774
60.05,18.61152886,15.85605676,15.8510593,15.93665769
61.05,18.8916205,16.07909157,16.07423687,16.16165741
62.05,19.19335082,16.30278343,16.31579243,16.40259301
63.05,19.51089192,16.54727987,16.55578761,16.62736739
64.05,19.83143704,16.77722217,16.80084721,16.87515023
65.05,20.14330558,17.02405146,17.04300522,17.12055319
66.05,20.41947531,17.25409348,17.27736211,17.34327553
67.05,20.71767395,17.48930714,17.51551193,17.58209441
68.05,21.01515717,17.72268208,17.75133989,17.82655406
69.05,21.26841338,17.93642534,17.96307753,18.04973241
70.05,21.63261146,18.19010206,18.2099852,18.2981242
71.05,21.90149841,18.40967874,18.43636338,18.5194908
72.05,22.18185542,18.63257263,18.65055235,18.74545661
73.05,22.44392079,18.86479487,18.88861529,18.96944069
74.05,22.68241476,19.06592425,19.10593299,19.18053083
75.05,22.96198982,19.28784824,19.33151644,19.40785224
76.05,23.26596817,19.51381847,19.56518312,19.63692564
77.05,23.51561077,19.73233781,19.78642423,19.85728372
78.05,23.79536136,19.96503941,20.00728253,20.08443971
79.05,24.04202721,20.17148636,20.22750319,20.3025651
80.05,24.29986388,20.39358766,20.43848533,20.52088234
81.05,24.52889028,20.61539554,20.65895964,20.72362873
82.05,24.78685171,20.82967907,20.88267084,20.9312173
83.05,25.04721976,21.04838334,21.11117443,21.14819737
84.05,25.33917676,21.27094965,21.33712051,21.37712773
85.05,25.59904455,21.48707429,21.55360736,21.59464653
86.05,25.88408761,21.71002805,21.78132779,21.82269516
87.05,26.16944665,21.93075795,22.01278,22.05332394
88.05,26.45998541,22.15866422,22.24196006,22.28973435
89.05,26.74641025,22.38791498,22.46301515,22.51471145
90.05,26.98175931,22.60642572,22.67822138,22.71904957
91.05,27.22030273,22.82445603,22.88796021,22.92272809
92.05,27.47463405,23.04537933,23.09687841,23.13523866
93.05,27.72495519,23.26502619,23.30433741,23.35394801
94.05,27.99017303,23.48719743,23.52687581,23.57316206
95.05,28.24644217,23.71352125,23.73823776,23.79228428
96.05,28.43741699,23.91791784,23.92967183,23.99324158
97.05,28.67075831,24.12345592,24.13711422,24.19131292
98.05,28.92425973,24.35056665,24.36054369,24.40560792
99.05,29.23453513,24.57124832,24.57910793,24.6375535
100.05,29.48720745,24.79485513,24.80191698,24.85502181
101.05,29.73946175,25.0148232,25.01124433,25.06390765
102.05,30.0608788,25.2500126,25.24530984,25.30313411
103.05,30.35409479,25.47989473,25.47832927,25.52821793
104.05,30.6229509,25.7037919,25.70929514,25.75017308
105.05,30.86592014,25.90575292,25.92085457,25.96092329
106.05,31.18695972,26.13877927,26.16951831,26.20236009
107.05,31.43571695,26.3574941,26.39009237,26.41965435
108.05,31.69709089,26.58708254,26.59802325,26.64042942
109.05,31.92268573,26.79384487,26.80884169,26.83980566
110.05,32.16686858,27.01377051,27.0250727,27.04480337
111.05,32.48794869,27.23364424,27.25514308,27.28037869
112.05,32.71364152,27.43474401,27.46213645,27.49665283
113.05,32.93718507,27.65528686,27.67862274,27.70969962
114.05,33.27933167,27.9084141,27.9164096,27.94955093
115.05,33.53451134,28.11953855,28.1421292,28.17279001
116.05,33.77653827,28.32758809,28.35090676,28.38947409
117.05,34.05223692,28.54633875,28.5760592,28.60017042
118.05,34.36389378,28.77702426,28.82488269,28.83747727
119.05,34.57584747,28.97889281,29.02733525,29.03163037
120.05,34.82355581,29.20007118,29.24773659,29.24817869
121.05,35.08167628,29.41979638,29.46759821,29.45816646
122.05,35.30392524,29.64462255,29.67736428,29.65993215
123.05,35.55635084,29.85646311,29.88380236,29.86326021
124.05,35.7758247,30.06395429,30.08097014,30.06999026
125.05,36.01642466,30.26945626,30.29502242,30.28057571
126.05,36.20918573,30.45688118,30.49474247,30.46014086
127.05,36.46722201,30.66754243,30.69931737,30.68393736
128.05,36.78553573,30.90666305,30.92242678,30.91232573
129.05,37.04065962,31.11650958,31.14714934,31.12270081
130.05,37.31817664,31.33834612,31.37410633,31.3458236
131.05,37.45437771,31.50749515,31.54948932,31.52001643
132.05,37.64566169,31.70673468,31.74333959,31.72389729
133.05,37.89214721,31.91789599,31.96025326,31.93503868
134.05,38.13715349,32.1338655,32.16416077,32.14475198
135.05,38.3780677,32.33334168,32.36628008,32.35964346
136.05,38.64609937,32.56049141,32.58890913,32.57865686
137.05,38.85570042,32.76176282,32.78551707,32.77513219
138.05,39.15050507,32.99154842,33.01451254,33.00465512
