y_center,count,Signal-blind_Gaussian_GLFT,I-aware_RHJB,cubic-skew_refined_ansatz,I-aware_galerkin_ansatz
-5.8125,238843,29.50234254,8.96656381,9.23969302,8.479025971
-5.4375,398092,28.84648523,8.830772786,9.090318318,8.357460085
-5.0625,645157,28.11742878,8.672272021,8.898970328,8.235810818
-4.6875,1009909,27.27282854,8.475918127,8.678616588,8.073817542
-4.3125,1522797,26.33620699,8.267463753,8.434914174,7.899479707
-3.9375,2219795,25.29166702,8.010819918,8.152965026,7.686898565
-3.5625,3131936,24.11086944,7.710680231,7.828424016,7.430419715
-3.1875,4268716,22.78528227,7.365076524,7.459401141,7.127130734
-2.8125,5623108,21.25154719,6.931734372,7.017614458,6.756122948
-2.4375,7148265,19.48934728,6.412501915,6.498867068,6.300060085
-2.0625,8792720,17.44327535,5.785699647,5.875541357,5.744661834
-1.6875,10440123,15.07406139,5.035061943,5.131752375,5.057498748
-1.3125,11984453,12.34811743,4.147838871,4.252173545,4.221852846
-0.9375,13299151,9.225439128,3.112226412,3.209927536,3.209300052
-0.5625,14257978,5.721906711,1.934277497,2.009627452,2.018360949
-0.1875,14776225,1.957685809,0.6598276623,0.6891306812,0.6925038702
0.1875,14771193,-1.926756288,-0.6551588623,-0.683446354,-0.688368299
0.5625,14262069,-5.710671502,-1.932450684,-2.007710382,-2.017005948
0.9375,13297636,-9.210313247,-3.106738295,-3.206393678,-3.203394949
1.3125,11973330,-12.34088528,-4.148357307,-4.248949624,-4.218374086
1.6875,10417500,-15.07982174,-5.037792177,-5.131521574,-5.058029566
2.0625,8767871,-17.44276575,-5.789610271,-5.8727406,-5.743316137
2.4375,7135239,-19.47790719,-6.411930841,-6.493889693,-6.297339164
2.8125,5612878,-21.24338441,-6.926442371,-7.017298434,-6.746617154
3.1875,4266953,-22.79287445,-7.361500115,-7.462387563,-7.119003889
3.5625,3131605,-24.15092261,-7.720651551,-7.842351127,-7.426208605
3.9375,2218804,-25.30351442,-8.006494941,-8.158072547,-7.670662663
4.3125,1522106,-26.34068652,-8.25067965,-8.442072366,-7.879282389
4.6875,1008384,-27.26218683,-8.466395738,-8.688202113,-8.058879355
5.0625,644083,-28.10067336,-8.648014309,-8.905665885,-8.20632434
5.4375,398492,-28.85190418,-8.808204431,-9.09408219,-8.337176154
5.8125,237912,-29.55882007,-8.94169693,-9.269133125,-8.46372188
