inventory_q,"GLFT, fair environment","GLFT, imbalanced I-environment"
-60,0,3.799620038e-07
-59,0,9.04909509e-07
-58,0,2.144785521e-06
-57,0,4.744525547e-06
-56,0,7.809219078e-06
-55,0,1.357864214e-05
-54,0,2.326767323e-05
-53,0,3.219178082e-05
-52,0,5.129987001e-05
-51,0,7.805219478e-05
-50,0,0.0001208729127
-49,0,0.0001811618838
-48,0,0.000246060394
-47,0,0.000347510249
-46,0,0.0004558494151
-45,0,0.0006035746425
-44,0,0.0007948655134
-43,0,0.001015363464
-42,0,0.001285866413
-41,0,0.00160290471
-40,0,0.001942310769
-39,0,0.00235119988
-38,0,0.002813383662
-37,0,0.003318818118
-36,0,0.003841805819
-35,0,0.004398240176
-34,0,0.004986951305
-33,0,0.005632036796
-32,0,0.006218623138
-31,0,0.006926977302
-30,0,0.007584446555
-29,0,0.008299905009
-28,0,0.008951074893
-27,0,0.009618063194
-26,0,0.01024685031
-25,0,0.01093674633
-24,0,0.01152457254
-23,0,0.01212281272
-22,0,0.01270322468
-21,0,0.01324889011
-20,0,0.01373348665
-19,0,0.01424437056
-18,3.499650035e-08,0.01469534047
-17,6.99930007e-08,0.01511577342
-16,1.899810019e-07,0.01550509949
-15,9.899010099e-07,0.01591520348
-14,4.749525047e-06,0.01624361564
-13,1.891810819e-05,0.01652947705
-12,7.03129687e-05,0.01680654435
-11,0.0002346115388,0.0170529947
-10,0.0006951154885,0.01730579442
-9,0.001865158484,0.01747466253
-8,0.004539541046,0.01767045795
-7,0.009971107889,0.01783442656
-6,0.01966061894,0.01799730027
-5,0.03491970303,0.01810390461
-4,0.05590448455,0.01820969903
-3,0.08058880612,0.01832662234
-2,0.1046375262,0.01839215078
-1,0.1224777122,0.01850178982
0,0.1291620388,0.01872351765
1,0.1223538996,0.01852854715
2,0.1044724128,0.01844047595
3,0.08050482452,0.01834393061
4,0.05585238476,0.01824848515
5,0.03492944706,0.01812316268
6,0.01968408659,0.01797019298
7,0.009986586341,0.0178659634
8,0.004569753025,0.01768487651
9,0.001879522048,0.01753789121
10,0.000695350465,0.01733390161
11,0.0002281171883,0.01713521148
12,6.783321668e-05,0.01686253875
13,1.897310269e-05,0.01657151285
14,4.04959504e-06,0.0162579592
15,9.199080092e-07,0.0159430007
16,1.199880012e-07,0.01554362064
17,2.99970003e-08,0.01518348165
18,0,0.01471217878
19,0,0.01426686331
20,0,0.01383041196
21,0,0.01328617138
22,0,0.01272020798
23,0,0.01216264874
24,0,0.01154560544
25,0,0.01091242876
26,0,0.01029085091
27,0,0.009616413359
28,0,0.008955774423
29,0,0.008298310169
30,0,0.007607849215
31,0,0.006934841516
32,0,0.006313838616
33,0,0.005628492151
34,0,0.004998605139
35,0,0.004372032797
36,0,0.003795280472
37,0,0.003280771923
38,0,0.002790580942
39,0,0.002338316168
40,0,0.001953034697
41,0,0.001582381762
42,0,0.001297345265
43,0,0.001022207779
44,0,0.0008086991301
45,0,0.000603739626
46,0,0.0004538346165
47,0,0.0003429857014
48,0,0.00025289971
49,0,0.0001822767723
50,0,0.0001227777222
51,0,8.441655834e-05
52,0,5.250474953e-05
53,0,3.471152885e-05
54,0,2.388761124e-05
55,0,1.319368063e-05
56,0,7.564243576e-06
57,0,4.95450455e-06
58,0,3.109689031e-06
59,0,1.219878012e-06
60,0,1.459854015e-06
