threshold_x,Signal-blind Gaussian GLFT,I-aware RHJB,cubic-skew refined ansatz,I-aware galerkin ansatz
0,0.9812764824,0.9486245875,0.95244957,0.9523556444
1,0.9442461454,0.84655025,0.8577705729,0.8573658634
2,0.9074135186,0.7454014949,0.7633382012,0.7624412459
3,0.8707429657,0.6460705129,0.669480347,0.6672937856
4,0.8342847815,0.5494085991,0.5765093041,0.5724236626
5,0.7980577142,0.4563655784,0.4851193431,0.4784522898
6,0.762090221,0.3685319518,0.3966654185,0.3870006249
7,0.726389831,0.2876134837,0.3130490801,0.3002439956
8,0.6910344966,0.2153489601,0.2363925907,0.2208172883
9,0.6560219428,0.1535752975,0.1690920958,0.1519593791
10,0.6213822468,0.1032744476,0.1132060944,0.09644552045
11,0.5871940406,0.06488772123,0.07015279972,0.05542363264
12,0.5535249575,0.03769947505,0.03954886511,0.02830782422
13,0.5204239676,0.02005559944,0.01991688831,0.01260260474
14,0.4879223928,0.00964539546,0.008857814219,0.00479310069
15,0.4560641886,0.004189961004,0.003402759724,0.00153410159
16,0.4250154685,0.001594655534,0.001105419458,0.000398710129
17,0.3947162134,0.0005246825317,0.000302749725,8.567143286e-05
18,0.3653086941,0.000151289871,6.884811519e-05,1.545345465e-05
19,0.3367974603,3.804119588e-05,1.425357464e-05,1.499850015e-06
20,0.3092335616,7.739226077e-06,3.284671533e-06,2.099790021e-07
21,0.2826985001,1.134886511e-06,6.04939506e-07,0
22,0.2572750675,1.249875012e-07,0,0
23,0.232989606,0,0,0
24,0.2099194281,0,0,0
25,0.188070253,0,0,0
26,0.1675325517,0,0,0
27,0.1482980752,0,0,0
28,0.1303912259,0,0,0
29,0.1137930107,0,0,0
30,0.09860071493,0,0,0
31,0.08473889611,0,0,0
32,0.07220643436,0,0,0
33,0.06094590541,0,0,0
34,0.05096034897,0,0,0
35,0.04219007599,0,0,0
36,0.0345529897,0,0,0
37,0.02795339966,0,0,0
38,0.02234943506,0,0,0
39,0.01765991901,0,0,0
40,0.01376457354,0,0,0
41,0.01057928707,0,0,0
42,0.007996075392,0,0,0
43,0.00595850415,0,0,0
44,0.004354939506,0,0,0
45,0.003147625237,0,0,0
46,0.002237941206,0,0,0
47,0.001547445255,0,0,0
48,0.001048485151,0,0,0
49,0.0006850464954,0,0,0
50,0.0004413958604,0,0,0
51,0.0002789271073,0,0,0
52,0.0001751224878,0,0,0
53,0.0001082191781,0,0,0
54,6.106389361e-05,0,0,0
55,3.429157084e-05,0,0,0
56,1.891810819e-05,0,0,0
57,9.219078092e-06,0,0,0
58,3.96460354e-06,0,0,0
59,1.839816018e-06,0,0,0
60,0,0,0,0
