y,q,ask_hjb,bid_hjb,ask_cubic,bid_cubic,ask_gal,bid_gal
-6,0,-0.3900092844,1.44763494,-0.2773459124,1.333224765,-0.4388409346,1.505298691
-5.96,0,-0.3897954986,1.447408434,-0.2766764729,1.332514766,-0.4367353832,1.503042346
-5.92,0,-0.3895817129,1.447181928,-0.2759886408,1.331785272,-0.4346014031,1.500755839
-5.88,0,-0.3891681349,1.446743751,-0.2752819276,1.331035766,-0.4324385467,1.4984387
-5.84,0,-0.3885547646,1.446093905,-0.274555833,1.330265717,-0.4302463595,1.496090454
-5.8,0,-0.3879413944,1.445444059,-0.2738098442,1.329474583,-0.4280243795,1.493710615
-5.76,0,-0.386979607,1.44442514,-0.2730434359,1.328661806,-0.4257721377,1.491298691
-5.72,0,-0.3860178195,1.44340622,-0.2722560702,1.327826817,-0.4234891578,1.488854182
-5.68,0,-0.384903012,1.442225254,-0.2714471963,1.326969033,-0.4211749559,1.486376582
-5.64,0,-0.3836351844,1.440882241,-0.2706162498,1.326087855,-0.4188290406,1.483865375
-5.6,0,-0.3823673569,1.439539228,-0.2697626532,1.325182672,-0.4164509132,1.481320038
-5.56,0,-0.3808285713,1.437909389,-0.2688858152,1.324252856,-0.4140400671,1.478740039
-5.52,0,-0.3792897858,1.436279549,-0.2679851303,1.323297767,-0.4115959881,1.476124841
-5.48,0,-0.377630028,1.434521724,-0.2670599792,1.322316749,-0.4091181543,1.473473895
-5.44,0,-0.3758492981,1.432635912,-0.2661097278,1.321309128,-0.4066060358,1.470786646
-5.4,0,-0.3740685682,1.4307501,-0.2651337274,1.320274219,-0.4040590951,1.468062531
-5.36,0,-0.3720698451,1.428633815,-0.2641313145,1.319211316,-0.4014767866,1.465300978
-5.32,0,-0.370071122,1.426517529,-0.2631018103,1.318119702,-0.3988585568,1.462501406
-5.28,0,-0.3679732596,1.424296517,-0.2620445205,1.31699864,-0.396203844,1.459663228
-5.24,0,-0.365776258,1.421970777,-0.2609587353,1.315847378,-0.3935120786,1.456785845
-5.2,0,-0.3635792564,1.419645038,-0.259843729,1.314665146,-0.3907826831,1.453868654
-5.16,0,-0.3612001343,1.417127102,-0.2586987597,1.313451158,-0.3880150714,1.450911039
-5.12,0,-0.3588210122,1.414609166,-0.2575230694,1.312204609,-0.3852086496,1.447912379
-5.08,0,-0.3563574105,1.412002176,-0.2563158832,1.310924679,-0.3823628156,1.444872041
-5.04,0,-0.353809329,1.409306132,-0.2550764098,1.309610527,-0.3794769589,1.441789387
-5,0,-0.3512612475,1.406610088,-0.2538038406,1.308261297,-0.3765504611,1.438663768
-4.96,0,-0.3485548329,1.403747343,-0.2524973503,1.306876113,-0.3735826953,1.435494528
-4.92,0,-0.3458484182,1.400884599,-0.2511560957,1.305454079,-0.3705730268,1.432281001
-4.88,0,-0.3430670734,1.397943071,-0.2497792165,1.303994284,-0.3675208123,1.429022513
-4.84,0,-0.3402107984,1.394922758,-0.2483658346,1.302495795,-0.3644254006,1.425718381
-4.8,0,-0.3373545235,1.391902445,-0.2469150539,1.300957661,-0.3612861324,1.422367915
-4.76,0,-0.334355023,1.388731755,-0.2454259605,1.299378913,-0.3581023402,1.418970415
-4.72,0,-0.3313555225,1.385561064,-0.2438976222,1.297758559,-0.3548733485,1.415525172
-4.68,0,-0.3282869381,1.382317947,-0.2423290886,1.296095592,-0.351598474,1.412031471
-4.64,0,-0.3251492698,1.379002404,-0.240719391,1.294388983,-0.3482770251,1.408488588
-4.6,0,-0.3220116016,1.37568686,-0.2390675421,1.292637682,-0.3449083029,1.404895788
-4.56,0,-0.3187394623,1.372230555,-0.2373725362,1.290840621,-0.3414916003,1.401252331
-4.52,0,-0.315467323,1.368774249,-0.2356333489,1.288996713,-0.3380262029,1.397557469
-4.48,0,-0.3121292056,1.365248986,-0.2338489371,1.287104848,-0.3345113886,1.393810444
-4.44,0,-0.3087251101,1.361654765,-0.2320182393,1.285163898,-0.3309464281,1.390010492
-4.4,0,-0.3053210146,1.358060543,-0.2301401752,1.283172716,-0.3273305847,1.386156841
-4.36,0,-0.3017864438,1.354330166,-0.2282136457,1.281130132,-0.3236631148,1.382248712
-4.32,0,-0.298251873,1.350599788,-0.2262375334,1.279034958,-0.3199432676,1.378285317
-4.28,0,-0.2946523497,1.346801735,-0.2242107022,1.276885987,-0.316170286,1.374265864
-4.24,0,-0.2909878739,1.342936007,-0.2221319977,1.274681991,-0.3123434061,1.370189553
-4.2,0,-0.2873233981,1.339070279,-0.2200002471,1.272421721,-0.3084618577,1.366055575
-4.16,0,-0.2835287786,1.335069159,-0.2178142596,1.270103913,-0.3045248647,1.36186312
-4.12,0,-0.2797341592,1.33106804,-0.2155728265,1.267727278,-0.3005316453,1.357611367
-4.08,0,-0.2758739864,1.326998828,-0.2132747213,1.265290514,-0.2964814118,1.353299492
-4.04,0,-0.2719482604,1.322861524,-0.2109187,1.262792295,-0.2923733718,1.348926667
-4,0,-0.2680225343,1.31872422,-0.2085035014,1.260231281,-0.2882067275,1.344492056
-3.96,0,-0.2639640847,1.314449259,-0.2060278478,1.257606112,-0.2839806769,1.339994821
-3.92,0,-0.2599056351,1.310174297,-0.2034904446,1.25491541,-0.2796944137,1.335434119
-3.88,0,-0.2557797173,1.305829464,-0.2008899815,1.252157782,-0.2753471276,1.330809104
-3.84,0,-0.2515863315,1.301414759,-0.1982251324,1.249331817,-0.2709380051,1.326118927
-3.8,0,-0.2473929456,1.297000054,-0.195494556,1.246436089,-0.2664662297,1.321362735
-3.76,0,-0.2430618641,1.292442958,-0.1926968968,1.243469156,-0.2619309821,1.316539675
-3.72,0,-0.2387307826,1.287885862,-0.189830785,1.240429562,-0.2573314414,1.311648892
-3.68,0,-0.2343292207,1.283255991,-0.1868948375,1.237315838,-0.2526667847,1.30668953
-3.64,0,-0.2298571784,1.278553343,-0.1838876587,1.234126502,-0.2479361882,1.301660733
-3.6,0,-0.2253851362,1.273850695,-0.180807841,1.230860058,-0.2431388278,1.296561645
-3.56,0,-0.2207683973,1.268998859,-0.1776539656,1.227515003,-0.2382738793,1.291391413
-3.52,0,-0.2161516584,1.264147022,-0.1744246037,1.224089819,-0.2333405193,1.286149185
-3.48,0,-0.2114604831,1.259218553,-0.1711183167,1.220582985,-0.2283379258,1.280834112
-3.44,0,-0.2066948715,1.25421345,-0.1677336582,1.216992968,-0.2232652789,1.275445349
-3.4,0,-0.2019292598,1.249208347,-0.1642691738,1.213318231,-0.2181217611,1.269982055
-3.36,0,-0.1970101855,1.244045491,-0.1607234034,1.209557232,-0.2129065589,1.264443396
-3.32,0,-0.1920911113,1.238882635,-0.1570948814,1.205708425,-0.2076188626,1.258828544
-3.28,0,-0.1870928166,1.233638469,-0.1533821385,1.201770263,-0.2022578677,1.253136678
-3.24,0,-0.1820153014,1.228312993,-0.1495837026,1.197741198,-0.1968227756,1.247366986
-3.2,0,-0.1769377862,1.222987517,-0.1456981005,1.193619684,-0.1913127944,1.241518667
-3.16,0,-0.1716964866,1.217494203,-0.1417238592,1.189404178,-0.1857271398,1.235590929
-3.12,0,-0.1664551869,1.212000888,-0.137659507,1.185093144,-0.180065036,1.229582995
-3.08,0,-0.1611291527,1.206420884,-0.1335035759,1.180685052,-0.174325717,1.223494097
-3.04,0,-0.1557183839,1.200754189,-0.1292546023,1.176178381,-0.1685084269,1.217323487
-3,0,-0.1503076151,1.195087494,-0.1249111294,1.171571624,-0.1626124216,1.211070428
-2.96,0,-0.1447213762,1.189241583,-0.1204717086,1.166863285,-0.1566369696,1.204734205
-2.92,0,-0.1391351373,1.183395673,-0.1159349017,1.162051886,-0.1505813532,1.19831412
-2.88,0,-0.1334580183,1.177457106,-0.1112992823,1.157135969,-0.1444448694,1.191809493
-2.84,0,-0.1276900192,1.171425884,-0.1065634383,1.152114096,-0.1382268313,1.185219671
-2.8,0,-0.1219220202,1.165394661,-0.1017259739,1.146984854,-0.1319265693,1.178544018
-2.76,0,-0.1159657127,1.159171807,-0.09678551155,1.141746856,-0.1255434323,1.17178193
-2.72,0,-0.1100094052,1.152948953,-0.09174069433,1.136398746,-0.119076789,1.164932823
-2.68,0,-0.103955558,1.14662703,-0.0865901883,1.130939201,-0.112526029,1.157996147
-2.64,0,-0.09780417094,1.140206041,-0.08133268481,1.125366933,-0.1058905646,1.150971377
-2.6,0,-0.09165278391,1.133785051,-0.07596690306,1.119680693,-0.0991698318,1.143858024
-2.56,0,-0.08529936476,1.127159287,-0.07049159256,1.113879275,-0.09236329181,1.136655629
-2.52,0,-0.07894594561,1.120533523,-0.06490553583,1.107961517,-0.08547043258,1.129363771
-2.48,0,-0.07248796788,1.113802012,-0.05920755103,1.101926308,-0.07849077018,1.121982065
-2.44,0,-0.06592543156,1.106964756,-0.05339649478,1.095772586,-0.07142385034,1.114510163
-2.4,0,-0.05936289524,1.100127499,-0.04747126497,1.089499347,-0.06426924996,1.106947762
-2.36,0,-0.05258408205,1.093072018,-0.04143080369,1.083105644,-0.05702657871,1.099294596
-2.32,0,-0.04580526886,1.086016536,-0.03527410016,1.076590595,-0.04969548054,1.091550449
-2.28,0,-0.03891473432,1.078848605,-0.02900019381,1.069953381,-0.04227563532,1.083715148
-2.24,0,-0.03191247845,1.071568225,-0.02260817732,1.063193253,-0.03476676044,1.075788568
-2.2,0,-0.02491022258,1.064287846,-0.01609719983,1.056309537,-0.02716861246,1.067770636
-2.16,0,-0.0176774331,1.056776046,-0.009466470039,1.049301633,-0.01948098871,1.059661329
-2.12,0,-0.01044464362,1.049264246,-0.002715259524,1.042169023,-0.01170372899,1.05146068
-2.08,0,-0.003093127029,1.041633601,0.004157094051,1.034911269,-0.003836717176,1.043168774
-2.04,0,0.004377116677,1.033884111,0.01115118362,1.027528024,0.004120117084,1.034785757
-2,0,0.01184736038,1.026134621,0.01826752939,1.020019029,0.01216679674,1.026311832
-1.96,0,0.01956169675,1.018141541,0.02550657555,1.012384118,0.0203032957,1.017747263
