y,q,ask_hjb,bid_hjb,ask_cubic,bid_cubic,ask_gal,bid_gal
-3,-30,0.8525180783,0.1686408186,0.6487137043,0.3527247946,0.6210199486,0.3793826539
-3,-29,0.8288674836,0.1927722702,0.6447835076,0.3581623911,0.6181256483,0.383878801
-3,-28,0.804736032,0.217401217,0.6393459111,0.3651073874,0.6136295012,0.3899767949
-3,-27,0.7801070852,0.2425449674,0.6324009148,0.3735597836,0.6075315074,0.3976766356
-3,-26,0.7549633348,0.2682215159,0.6239485186,0.3835195796,0.5998316666,0.4069783231
-3,-25,0.7292867863,0.2944495577,0.6139887226,0.3949867755,0.5905299791,0.4178818574
-3,-24,0.7030587445,0.3212484996,0.6025215267,0.4079613713,0.5796264448,0.4303872385
-3,-23,0.6762598026,0.3486384668,0.5895469309,0.4224433668,0.5671210637,0.4444944665
-3,-22,0.6488698354,0.3766403043,0.5750649354,0.4384327623,0.5530138358,0.4602035412
-3,-21,0.6208679979,0.4052755732,0.5590755399,0.4559295576,0.537304761,0.4775144628
-3,-20,0.5922327291,0.4345665372,0.5415787446,0.4749337527,0.5199938394,0.4964272311
-3,-19,0.562941765,0.4645361417,0.5225745495,0.4954453477,0.5010810711,0.5169418463
-3,-18,0.5329721605,0.4952079803,0.5020629545,0.5174643425,0.4805664559,0.5390583083
-3,-17,0.5023003219,0.5266062476,0.4800439597,0.5409907372,0.4584499939,0.5627766171
-3,-16,0.4709020546,0.5587556765,0.456517565,0.5660245317,0.4347316851,0.5880967727
-3,-15,0.4387526257,0.5916814556,0.4314837705,0.5925657261,0.4094115295,0.6150187751
-3,-14,0.4058268466,0.6254091242,0.4049425761,0.6206143203,0.3824895271,0.6435426243
-3,-13,0.3720991781,0.6599644412,0.3768939819,0.6501703144,0.3539656779,0.6736683203
-3,-12,0.337543861,0.6953732232,0.3473379878,0.6812337083,0.3238399819,0.7053958632
-3,-11,0.302135079,0.7316611479,0.3162745939,0.7138045021,0.292112439,0.7387252528
-3,-10,0.2658471543,0.7688535165,0.2837038001,0.7478826957,0.2587830494,0.7736564893
-3,-9,0.2286547857,0.8069749727,0.2496256065,0.7834682892,0.2238518129,0.8101895725
-3,-8,0.1905333295,0.8460491693,0.214040013,0.8205612825,0.1873187297,0.8483245026
-3,-7,0.1514591329,0.8860983808,0.1769470197,0.8591616757,0.1491837996,0.8880612795
-3,-6,0.1114099214,0.9271430546,0.1383466265,0.8992694687,0.1094470227,0.9293999032
-3,-5,0.07036524765,0.9692012984,0.09823883347,0.9408846616,0.06810839901,0.9723403737
-3,-4,0.02830700385,1.012288301,0.0566236406,0.9840072543,0.02516792851,1.016882691
-3,-3,-0.01477999834,1.056415683,0.01350104788,1.028637247,-0.01937438881,1.063026855
-3,-2,-0.058907381,1.10159079,-0.03112894469,1.074774639,-0.06551855293,1.110772866
-3,-1,-0.1040824881,1.147815917,-0.07726633711,1.122419432,-0.1132645639,1.160120724
-3,0,-0.1503076151,1.195087494,-0.1249111294,1.171571624,-0.1626124216,1.211070428
-3,1,-0.1975791915,1.243395236,-0.1740633215,1.222231216,-0.2135621261,1.26362198
-3,2,-0.2458869336,1.292721295,-0.2247229135,1.274398207,-0.2661136775,1.317775378
-3,3,-0.2952129926,1.343039433,-0.2768899053,1.328072599,-0.3202670757,1.373530623
-3,4,-0.3455311303,1.394314266,-0.330564297,1.383254391,-0.3760223206,1.430887715
-3,5,-0.396805964,1.44650063,-0.3857460885,1.439943582,-0.4333794124,1.489846653
-3,6,-0.4489923282,1.499543111,-0.4424352798,1.498140173,-0.492338351,1.550407439
-3,7,-0.5020348085,1.553375806,-0.5006318711,1.557844164,-0.5528991364,1.612570071
-3,8,-0.5558675038,1.607922376,-0.5603358621,1.619055555,-0.6150617686,1.67633455
-3,9,-0.6104140735,1.663096417,-0.621547253,1.681774346,-0.6788262477,1.741700876
-3,10,-0.6655881152,1.718802209,-0.6842660438,1.746000537,-0.7441925735,1.808669048
-3,11,-0.7212939064,1.774935823,-0.7484922344,1.811734127,-0.8111607461,1.877239068
-3,12,-0.777427521,1.831386605,-0.8142258249,1.878975117,-0.8797307656,1.947410934
-3,13,-0.8338783028,1.888038953,-0.8814668152,1.947723508,-0.9499026318,2.019184647
-3,14,-0.8905306509,1.944774343,-0.9502152053,2.017979298,-1.021676345,2.092560207
-3,15,-0.9472660404,2.001473483,-1.020470995,2.089742487,-1.095051905,2.167537614
-3,16,-1.003965181,2.058018502,-1.092234185,2.163013077,-1.170029311,2.244116867
-3,17,-1.0605102,2.114295036,-1.165504775,2.237791067,-1.246608565,2.322297967
-3,18,-1.116786734,2.170194129,-1.240282764,2.314076456,-1.324789665,2.402080915
-3,19,-1.172685827,2.225613853,-1.316568154,2.391869245,-1.404572612,2.483465709
-3,20,-1.228105551,2.280460591,-1.394360943,2.471169434,-1.485957406,2.566452349
-3,21,-1.282952289,2.334649957,-1.473661132,2.551977023,-1.568944047,2.651040837
-3,22,-1.337141655,2.388107362,-1.554468721,2.634292012,-1.653532535,2.737231171
-3,23,-1.39059906,2.440768235,-1.63678371,2.718114401,-1.739722869,2.825023352
-3,24,-1.443259933,2.49257796,-1.720606099,2.803444189,-1.82751505,2.91441738
-3,25,-1.495069657,2.543491558,-1.805935887,2.890281378,-1.916909078,3.005413255
-3,26,-1.545983256,2.593473197,-1.892773075,2.978625966,-2.007904953,3.098010977
-3,27,-1.595964895,2.642495552,-1.981117664,3.068477954,-2.100502674,3.192210545
-3,28,-1.64498725,2.690539087,-2.070969652,3.159837342,-2.194702243,3.28801196
-3,29,-1.693030785,2.73759129,-2.16232904,3.25270413,-2.290503658,3.385415222
-3,30,-1.740082988,2.783645894,-2.255195827,3.347078317,-2.38790692,3.484420331
0,-30,1.333729964,-0.3141212513,1.294838435,-0.2712290086,1.294838435,-0.2712290086
0,-29,1.311629554,-0.2916455326,1.268737311,-0.2451278846,1.268737311,-0.2451278846
0,-28,1.289153835,-0.2687891099,1.242636187,-0.2190267605,1.242636187,-0.2190267605
0,-27,1.266297412,-0.2455471203,1.216535063,-0.1929256365,1.216535063,-0.1929256365
0,-26,1.243055423,-0.2219153261,1.190433939,-0.1668245124,1.190433939,-0.1668245124
0,-25,1.219423628,-0.1978902133,1.164332815,-0.1407233883,1.164332815,-0.1407233883
0,-24,1.195398516,-0.1734690968,1.138231691,-0.1146222643,1.138231691,-0.1146222643
