tau,q,bid_depth
0,-30,0.4987541511
0,-29,0.4987541511
0,-28,0.4987541511
0,-27,0.4987541511
0,-26,0.4987541511
0,-25,0.4987541511
0,-24,0.4987541511
0,-23,0.4987541511
0,-22,0.4987541511
0,-21,0.4987541511
0,-20,0.4987541511
0,-19,0.4987541511
0,-18,0.4987541511
0,-17,0.4987541511
0,-16,0.4987541511
0,-15,0.4987541511
0,-14,0.4987541511
0,-13,0.4987541511
0,-12,0.4987541511
0,-11,0.4987541511
0,-10,0.4987541511
0,-9,0.4987541511
0,-8,0.4987541511
0,-7,0.4987541511
0,-6,0.4987541511
0,-5,0.4987541511
0,-4,0.4987541511
0,-3,0.4987541511
0,-2,0.4987541511
0,-1,0.4987541511
0,0,0.4987541511
0,1,0.4987541511
0,2,0.4987541511
0,3,0.4987541511
0,4,0.4987541511
0,5,0.4987541511
0,6,0.4987541511
0,7,0.4987541511
0,8,0.4987541511
0,9,0.4987541511
0,10,0.4987541511
0,11,0.4987541511
0,12,0.4987541511
0,13,0.4987541511
0,14,0.4987541511
0,15,0.4987541511
0,16,0.4987541511
0,17,0.4987541511
0,18,0.4987541511
0,19,0.4987541511
0,20,0.4987541511
0,21,0.4987541511
0,22,0.4987541511
0,23,0.4987541511
0,24,0.4987541511
0,25,0.4987541511
0,26,0.4987541511
0,27,0.4987541511
0,28,0.4987541511
0,29,0.4987541511
0,30,0.4987541511
10,-30,0.2434342977
10,-29,0.2520733066
10,-28,0.2607139716
10,-27,0.2693562328
10,-26,0.2780000303
10,-25,0.2866453044
10,-24,0.2952919956
10,-23,0.3039400446
10,-22,0.3125893924
10,-21,0.32123998
10,-20,0.3298917486
10,-19,0.3385446396
10,-18,0.3471985946
10,-17,0.3558535552
10,-16,0.3645094633
10,-15,0.3731662607
10,-14,0.3818238896
10,-13,0.3904822921
10,-12,0.3991414105
10,-11,0.4078011872
10,-10,0.4164615646
10,-9,0.4251224852
10,-8,0.4337838918
10,-7,0.4424457269
10,-6,0.4511079333
10,-5,0.4597704539
10,-4,0.4684332313
10,-3,0.4770962086
10,-2,0.4857593285
10,-1,0.4944225341
10,0,0.5030857681
10,1,0.5117489737
10,2,0.5204120936
10,3,0.5290750709
10,4,0.5377378484
10,5,0.5464003689
10,6,0.5550625753
10,7,0.5637244104
10,8,0.572385817
10,9,0.5810467376
10,10,0.589707115
10,11,0.5983668917
10,12,0.6070260101
10,13,0.6156844126
10,14,0.6243420415
10,15,0.6329988389
10,16,0.641654747
10,17,0.6503097076
10,18,0.6589636626
10,19,0.6676165536
10,20,0.6762683222
10,21,0.6849189098
10,22,0.6935682576
10,23,0.7022163067
10,24,0.7108629979
10,25,0.7195082719
10,26,0.7281520694
10,27,0.7367943306
10,28,0.7454349957
10,29,0.7540740045
10,30,0.7627112968
20,-30,0.04094726068
20,-29,0.05616881761
20,-28,0.0714208798
20,-27,0.08670242384
20,-26,0.1020124207
20,-25,0.1173498359
20,-24,0.1327136299
20,-23,0.1481027585
20,-22,0.163516173
20,-21,0.1789528202
20,-20,0.1944116433
20,-19,0.2098915818
20,-18,0.2253915716
20,-17,0.2409105454
20,-16,0.2564474331
20,-15,0.2720011618
20,-14,0.287570656
20,-13,0.3031548379
20,-12,0.3187526277
20,-11,0.3343629435
20,-10,0.3499847017
20,-9,0.3656168172
20,-8,0.3812582034
20,-7,0.3969077724
20,-6,0.4125644355
20,-5,0.4282271027
20,-4,0.4438946834
20,-3,0.4595660864
20,-2,0.47524022
20,-1,0.490915992
20,0,0.5065923102
20,1,0.5222680823
20,2,0.5379422158
20,3,0.5536136188
20,4,0.5692811996
20,5,0.5849438667
20,6,0.6006005298
20,7,0.6162500988
20,8,0.631891485
20,9,0.6475236005
20,10,0.6631453587
20,11,0.6787556745
20,12,0.6943534643
20,13,0.7099376462
20,14,0.7255071404
20,15,0.7410608691
20,16,0.7565977568
20,17,0.7721167306
20,18,0.7876167204
20,19,0.8030966589
20,20,0.818555482
20,21,0.8339921292
20,22,0.8494055437
20,23,0.8647946723
20,24,0.8801584663
20,25,0.8954958815
20,26,0.9108058784
20,27,0.9260874224
20,28,0.9413394846
20,29,0.9565610415
20,30,0.9717510758
30,-30,-0.09150770964
30,-29,-0.07254706265
30,-28,-0.0534842932
30,-27,-0.03432192729
30,-26,-0.01506259181
30,-25,0.004290987007
30,-24,0.02373598527
30,-23,0.04326948338
30,-22,0.06288846816
30,-21,0.08258983521
30,-20,0.1023703914
30,-19,0.1222268578
30,-18,0.1421558722
30,-17,0.1621539926
30,-16,0.1822177004
30,-15,0.2023434037
30,-14,0.2225274413
30,-13,0.2427660857
30,-12,0.2630555479
30,-11,0.283391981
30,-10,0.3037714841
30,-9,0.3241901071
30,-8,0.3446438549
30,-7,0.3651286917
30,-6,0.3856405458
30,-5,0.4061753141
30,-4,0.426728867
30,-3,0.4472970528
30,-2,0.467875703
30,-1,0.4884606366
30,0,0.5090476656
30,1,0.5296325992
30,2,0.5502112494
30,3,0.5707794352
30,4,0.5913329881
30,5,0.6118677564
30,6,0.6323796105
30,7,0.6528644473
30,8,0.6733181951
30,9,0.6937368182
30,10,0.7141163212
30,11,0.7344527543
30,12,0.7547422165
30,13,0.7749808609
30,14,0.7951648985
30,15,0.8152906018
30,16,0.8353543096
30,17,0.8553524301
30,18,0.8752814444
30,19,0.8951379108
30,20,0.914918467
30,21,0.934619834
30,22,0.9542388188
30,23,0.9737723169
