tau,q,spread
0,-30,0.9975083022
0,-29,0.9975083022
0,-28,0.9975083022
0,-27,0.9975083022
0,-26,0.9975083022
0,-25,0.9975083022
0,-24,0.9975083022
0,-23,0.9975083022
0,-22,0.9975083022
0,-21,0.9975083022
0,-20,0.9975083022
0,-19,0.9975083022
0,-18,0.9975083022
0,-17,0.9975083022
0,-16,0.9975083022
0,-15,0.9975083022
0,-14,0.9975083022
0,-13,0.9975083022
0,-12,0.9975083022
0,-11,0.9975083022
0,-10,0.9975083022
0,-9,0.9975083022
0,-8,0.9975083022
0,-7,0.9975083022
0,-6,0.9975083022
0,-5,0.9975083022
0,-4,0.9975083022
0,-3,0.9975083022
0,-2,0.9975083022
0,-1,0.9975083022
0,0,0.9975083022
0,1,0.9975083022
0,2,0.9975083022
0,3,0.9975083022
0,4,0.9975083022
0,5,0.9975083022
0,6,0.9975083022
0,7,0.9975083022
0,8,0.9975083022
0,9,0.9975083022
0,10,0.9975083022
0,11,0.9975083022
0,12,0.9975083022
0,13,0.9975083022
0,14,0.9975083022
0,15,0.9975083022
0,16,0.9975083022
0,17,0.9975083022
0,18,0.9975083022
0,19,0.9975083022
0,20,0.9975083022
0,21,0.9975083022
0,22,0.9975083022
0,23,0.9975083022
0,24,0.9975083022
0,25,0.9975083022
0,26,0.9975083022
0,27,0.9975083022
0,28,0.9975083022
0,29,0.9975083022
0,30,0.9975083022
10,-30,1.006145595
10,-29,1.006147311
10,-28,1.006148967
10,-27,1.006150563
10,-26,1.0061521
10,-25,1.006153576
10,-24,1.006154993
10,-23,1.006156351
10,-22,1.00615765
10,-21,1.00615889
10,-20,1.006160071
10,-19,1.006161193
10,-18,1.006162257
10,-17,1.006163263
10,-16,1.00616421
10,-15,1.0061651
10,-14,1.006165931
10,-13,1.006166705
10,-12,1.006167421
10,-11,1.006168079
10,-10,1.00616868
10,-9,1.006169223
10,-8,1.006169709
10,-7,1.006170137
10,-6,1.006170509
10,-5,1.006170823
10,-4,1.00617108
10,-3,1.006171279
10,-2,1.006171422
10,-1,1.006171508
10,0,1.006171536
10,1,1.006171508
10,2,1.006171422
10,3,1.006171279
10,4,1.00617108
10,5,1.006170823
10,6,1.006170509
10,7,1.006170137
10,8,1.006169709
10,9,1.006169223
10,10,1.00616868
10,11,1.006168079
10,12,1.006167421
10,13,1.006166705
10,14,1.006165931
10,15,1.0061651
10,16,1.00616421
10,17,1.006163263
10,18,1.006162257
10,19,1.006161193
10,20,1.006160071
10,21,1.00615889
10,22,1.00615765
10,23,1.006156351
10,24,1.006154993
10,25,1.006153576
10,26,1.0061521
10,27,1.006150563
10,28,1.006148967
10,29,1.006147311
10,30,1.006145595
20,-30,1.012698337
20,-29,1.012729859
20,-28,1.012760364
20,-27,1.012789846
20,-26,1.012818299
20,-25,1.012845717
20,-24,1.012872096
20,-23,1.012897431
20,-22,1.012921717
20,-21,1.012944949
20,-20,1.012967125
20,-19,1.012988241
20,-18,1.013008292
20,-17,1.013027276
20,-16,1.01304519
20,-15,1.013062031
20,-14,1.013077796
20,-13,1.013092484
20,-12,1.013106092
20,-11,1.013118618
20,-10,1.01313006
20,-9,1.013140418
20,-8,1.013149688
20,-7,1.013157871
20,-6,1.013164965
20,-5,1.013170969
20,-4,1.013175883
20,-3,1.013179705
20,-2,1.013182436
20,-1,1.013184074
20,0,1.01318462
20,1,1.013184074
20,2,1.013182436
20,3,1.013179705
20,4,1.013175883
20,5,1.013170969
20,6,1.013164965
20,7,1.013157871
20,8,1.013149688
20,9,1.013140418
20,10,1.01313006
20,11,1.013118618
20,12,1.013106092
20,13,1.013092484
20,14,1.013077796
20,15,1.013062031
20,16,1.01304519
20,17,1.013027276
20,18,1.013008292
20,19,1.012988241
20,20,1.012967125
20,21,1.012944949
20,22,1.012921717
20,23,1.012897431
20,24,1.012872096
20,25,1.012845717
20,26,1.012818299
20,27,1.012789846
20,28,1.012760364
20,29,1.012729859
20,30,1.012698337
30,-30,1.016364403
30,-29,1.016468949
30,-28,1.016571072
30,-27,1.016670668
30,-26,1.016767638
30,-25,1.016861881
30,-24,1.0169533
30,-23,1.0170418
30,-22,1.017127287
30,-21,1.017209669
30,-20,1.017288858
30,-19,1.017364769
30,-18,1.017437317
30,-17,1.017506423
30,-16,1.01757201
30,-15,1.017634006
30,-14,1.01769234
30,-13,1.017746947
30,-12,1.017797764
30,-11,1.017844735
30,-10,1.017887805
30,-9,1.017926925
30,-8,1.01796205
30,-7,1.017993139
30,-6,1.018020156
30,-5,1.018043071
30,-4,1.018061855
30,-3,1.018076488
30,-2,1.018086952
30,-1,1.018093236
30,0,1.018095331
30,1,1.018093236
30,2,1.018086952
30,3,1.018076488
30,4,1.018061855
30,5,1.018043071
30,6,1.018020156
30,7,1.017993139
30,8,1.01796205
30,9,1.017926925
30,10,1.017887805
30,11,1.017844735
30,12,1.017797764
30,13,1.017746947
30,14,1.01769234
30,15,1.017634006
30,16,1.01757201
30,17,1.017506423
30,18,1.017437317
30,19,1.017364769
30,20,1.017288858
30,21,1.017209669
30,22,1.017127287
30,23,1.0170418
30,24,1.0169533
30,25,1.016861881
30,26,1.016767638
30,27,1.016670668
30,28,1.016571072
30,29,1.016468949
30,30,1.016364403
40,-30,1.018080521
40,-29,1.018261045
40,-28,1.018439083
40,-27,1.018614362
40,-26,1.018786606
