k,q,bid_depth
0.15,-30,3.613483254
0.15,-29,3.708397586
0.15,-28,3.803450198
0.15,-27,3.898636813
0.15,-26,3.9939531
0.15,-25,4.089394668
0.15,-24,4.184957074
0.15,-23,4.28063582
0.15,-22,4.376426355
0.15,-21,4.472324081
0.15,-20,4.568324348
0.15,-19,4.664422462
0.15,-18,4.760613683
0.15,-17,4.85689323
0.15,-16,4.953256279
0.15,-15,5.049697969
0.15,-14,5.146213401
0.15,-13,5.242797644
0.15,-12,5.339445731
0.15,-11,5.436152667
0.15,-10,5.532913431
0.15,-9,5.629722973
0.15,-8,5.726576221
0.15,-7,5.823468083
0.15,-6,5.920393449
0.15,-5,6.01734719
0.15,-4,6.114324167
0.15,-3,6.211319228
0.15,-2,6.308327211
0.15,-1,6.405342951
0.15,0,6.502361277
0.15,1,6.599377016
0.15,2,6.696385
0.15,3,6.79338006
0.15,4,6.890357037
0.15,5,6.987310779
0.15,6,7.084236144
0.15,7,7.181128007
0.15,8,7.277981255
0.15,9,7.374790797
0.15,10,7.47155156
0.15,11,7.568258497
0.15,12,7.664906584
0.15,13,7.761490826
0.15,14,7.858006259
0.15,15,7.954447949
0.15,16,8.050810998
0.15,17,8.147090544
0.15,18,8.243281766
0.15,19,8.33937988
0.15,20,8.435380147
0.15,21,8.531277872
0.15,22,8.627068408
0.15,23,8.722747153
0.15,24,8.818309559
0.15,25,8.913751128
0.15,26,9.009067415
0.15,27,9.10425403
0.15,28,9.199306641
0.15,29,9.294220973
0.15,30,9.388992811
0.2116666667,-30,2.242180133
0.2116666667,-29,2.321071943
0.2116666667,-28,2.40012217
0.2116666667,-27,2.479326169
0.2116666667,-26,2.558679205
0.2116666667,-25,2.638176456
0.2116666667,-24,2.717813012
0.2116666667,-23,2.797583882
0.2116666667,-22,2.877483994
0.2116666667,-21,2.957508193
0.2116666667,-20,3.037651253
0.2116666667,-19,3.117907869
0.2116666667,-18,3.198272669
0.2116666667,-17,3.278740211
0.2116666667,-16,3.359304987
0.2116666667,-15,3.439961429
0.2116666667,-14,3.520703906
0.2116666667,-13,3.601526736
0.2116666667,-12,3.682424182
0.2116666667,-11,3.763390458
0.2116666667,-10,3.844419733
0.2116666667,-9,3.925506135
0.2116666667,-8,4.006643755
0.2116666667,-7,4.087826646
0.2116666667,-6,4.169048836
0.2116666667,-5,4.250304322
0.2116666667,-4,4.331587082
0.2116666667,-3,4.412891074
0.2116666667,-2,4.494210242
0.2116666667,-1,4.575538519
0.2116666667,0,4.656869834
0.2116666667,1,4.738198111
0.2116666667,2,4.819517278
0.2116666667,3,4.90082127
0.2116666667,4,4.98210403
0.2116666667,5,5.063359517
0.2116666667,6,5.144581706
0.2116666667,7,5.225764598
0.2116666667,8,5.306902217
0.2116666667,9,5.38798862
0.2116666667,10,5.469017895
0.2116666667,11,5.549984171
0.2116666667,12,5.630881616
0.2116666667,13,5.711704446
0.2116666667,14,5.792446924
0.2116666667,15,5.873103365
0.2116666667,16,5.953668141
0.2116666667,17,6.034135683
0.2116666667,18,6.114500483
0.2116666667,19,6.1947571
0.2116666667,20,6.274900159
0.2116666667,21,6.354924359
0.2116666667,22,6.43482447
0.2116666667,23,6.514595341
0.2116666667,24,6.594231897
0.2116666667,25,6.673729148
0.2116666667,26,6.753082184
0.2116666667,27,6.832286183
0.2116666667,28,6.91133641
0.2116666667,29,6.990228219
0.2116666667,30,7.068957056
0.2733333333,-30,1.514720792
0.2733333333,-29,1.583415216
0.2733333333,-28,1.652284336
0.2733333333,-27,1.721323301
0.2733333333,-26,1.790527135
0.2733333333,-25,1.859890743
0.2733333333,-24,1.929408914
0.2733333333,-23,1.999076319
0.2733333333,-22,2.068887517
0.2733333333,-21,2.138836957
0.2733333333,-20,2.208918983
0.2733333333,-19,2.279127832
0.2733333333,-18,2.349457644
0.2733333333,-17,2.419902461
0.2733333333,-16,2.490456232
0.2733333333,-15,2.561112819
0.2733333333,-14,2.631865999
0.2733333333,-13,2.702709469
0.2733333333,-12,2.773636853
0.2733333333,-11,2.844641702
0.2733333333,-10,2.915717505
0.2733333333,-9,2.986857688
0.2733333333,-8,3.058055624
0.2733333333,-7,3.129304636
0.2733333333,-6,3.200598004
0.2733333333,-5,3.271928968
0.2733333333,-4,3.343290738
0.2733333333,-3,3.414676496
0.2733333333,-2,3.486079403
0.2733333333,-1,3.557492605
0.2733333333,0,3.62890924
0.2733333333,1,3.700322442
0.2733333333,2,3.771725349
0.2733333333,3,3.843111107
0.2733333333,4,3.914472877
0.2733333333,5,3.985803842
0.2733333333,6,4.057097209
0.2733333333,7,4.128346221
0.2733333333,8,4.199544157
0.2733333333,9,4.27068434
0.2733333333,10,4.341760143
0.2733333333,11,4.412764992
0.2733333333,12,4.483692376
0.2733333333,13,4.554535847
0.2733333333,14,4.625289027
0.2733333333,15,4.695945613
0.2733333333,16,4.766499384
0.2733333333,17,4.836944201
0.2733333333,18,4.907274013
0.2733333333,19,4.977482862
0.2733333333,20,5.047564888
0.2733333333,21,5.117514328
0.2733333333,22,5.187325527
0.2733333333,23,5.256992931
0.2733333333,24,5.326511102
0.2733333333,25,5.395874711
0.2733333333,26,5.465078544
0.2733333333,27,5.534117509
0.2733333333,28,5.602986629
0.2733333333,29,5.671681053
0.2733333333,30,5.740196051
0.335,-30,1.071764472
0.335,-29,1.133225154
0.335,-28,1.194874064
0.335,-27,1.256706255
0.335,-26,1.318716629
0.335,-25,1.380899932
0.335,-24,1.443250763
0.335,-23,1.505763571
0.335,-22,1.568432658
0.335,-21,1.631252188
0.335,-20,1.694216182
0.335,-19,1.757318529
0.335,-18,1.820552986
0.335,-17,1.883913184
0.335,-16,1.947392631
0.335,-15,2.010984721
0.335,-14,2.074682733
0.335,-13,2.138479844
0.335,-12,2.202369129
0.335,-11,2.26634357
0.335,-10,2.330396063
0.335,-9,2.394519423
0.335,-8,2.45870639
0.335,-7,2.522949641
0.335,-6,2.587241792
0.335,-5,2.651575407
0.335,-4,2.715943008
0.335,-3,2.78033708
0.335,-2,2.844750079
0.335,-1,2.909174444
0.335,0,2.973602598
0.335,1,3.038026962
0.335,2,3.102439961
0.335,3,3.166834033
0.335,4,3.231201634
0.335,5,3.295535249
0.335,6,3.3598274
0.335,7,3.424070651
0.335,8,3.488257618
0.335,9,3.552380978
0.335,10,3.616433471
0.335,11,3.680407913
0.335,12,3.744297198
0.335,13,3.808094308
0.335,14,3.871792321
0.335,15,3.93538441
0.335,16,3.998863857
0.335,17,4.062224055
0.335,18,4.125458512
0.335,19,4.188560859
0.335,20,4.251524853
0.335,21,4.314344383
0.335,22,4.377013471
0.335,23,4.439526278
0.335,24,4.501877109
0.335,25,4.564060413
0.335,26,4.626070786
0.335,27,4.687902978
0.335,28,4.749551887
0.335,29,4.811012569
0.335,30,4.872280235
0.3966666667,-30,0.7778987589
0.3966666667,-29,0.8338765813
0.3966666667,-28,0.8900540731
0.3966666667,-27,0.9464262815
0.3966666667,-26,1.002988067
0.3966666667,-25,1.059734106
0.3966666667,-24,1.116658891
0.3966666667,-23,1.173756733
0.3966666667,-22,1.231021767
0.3966666667,-21,1.288447952
0.3966666667,-20,1.346029074
0.3966666667,-19,1.403758754
0.3966666667,-18,1.461630449
0.3966666667,-17,1.519637459
0.3966666667,-16,1.57777293
0.3966666667,-15,1.636029864
0.3966666667,-14,1.694401122
0.3966666667,-13,1.75287943
0.3966666667,-12,1.811457389
0.3966666667,-11,1.870127483
0.3966666667,-10,1.928882082
0.3966666667,-9,1.987713458
0.3966666667,-8,2.046613785
0.3966666667,-7,2.105575155
0.3966666667,-6,2.164589584
0.3966666667,-5,2.223649021
0.3966666667,-4,2.282745361
0.3966666667,-3,2.341870452
0.3966666667,-2,2.401016104
0.3966666667,-1,2.460174104
0.3966666667,0,2.519336221
0.3966666667,1,2.57849422
0.3966666667,2,2.637639873
0.3966666667,3,2.696764963
0.3966666667,4,2.755861303
0.3966666667,5,2.814920741
0.3966666667,6,2.87393517
0.3966666667,7,2.932896539
0.3966666667,8,2.991796866
0.3966666667,9,3.050628242
0.3966666667,10,3.109382842
0.3966666667,11,3.168052935
0.3966666667,12,3.226630895
0.3966666667,13,3.285109203
0.3966666667,14,3.34348046
0.3966666667,15,3.401737394
0.3966666667,16,3.459872866
0.3966666667,17,3.517879876
0.3966666667,18,3.575751571
0.3966666667,19,3.63348125
0.3966666667,20,3.691062373
0.3966666667,21,3.748488557
0.3966666667,22,3.805753591
0.3966666667,23,3.862851434
0.3966666667,24,3.919776218
0.3966666667,25,3.976522257
0.3966666667,26,4.033084043
0.3966666667,27,4.089456251
0.3966666667,28,4.145633743
0.3966666667,29,4.201611565
0.3966666667,30,4.257384953
0.4583333333,-30,0.5711752872
0.4583333333,-29,0.6228072123
0.4583333333,-28,0.6746485963
0.4583333333,-27,0.7266945425
0.4583333333,-26,0.7789399372
0.4583333333,-25,0.8313794504
0.4583333333,-24,0.8840075372
0.4583333333,-23,0.9368184394
0.4583333333,-22,0.989806188
0.4583333333,-21,1.042964606
0.4583333333,-20,1.096287312
0.4583333333,-19,1.149767725
0.4583333333,-18,1.203399068
0.4583333333,-17,1.257174374
0.4583333333,-16,1.311086491
0.4583333333,-15,1.365128092
0.4583333333,-14,1.419291677
0.4583333333,-13,1.473569585
0.4583333333,-12,1.527954001
0.4583333333,-11,1.582436965
0.4583333333,-10,1.63701038
0.4583333333,-9,1.691666024
0.4583333333,-8,1.74639556
0.4583333333,-7,1.801190546
0.4583333333,-6,1.856042448
0.4583333333,-5,1.910942649
0.4583333333,-4,1.965882462
0.4583333333,-3,2.020853146
0.4583333333,-2,2.075845913
0.4583333333,-1,2.130851941
0.4583333333,0,2.185862392
0.4583333333,1,2.240868421
0.4583333333,2,2.295861187
0.4583333333,3,2.350831871
0.4583333333,4,2.405771685
0.4583333333,5,2.460671886
0.4583333333,6,2.515523787
0.4583333333,7,2.570318773
0.4583333333,8,2.625048309
0.4583333333,9,2.679703954
0.4583333333,10,2.734277368
0.4583333333,11,2.788760332
0.4583333333,12,2.843144748
0.4583333333,13,2.897422657
0.4583333333,14,2.951586242
0.4583333333,15,3.005627842
0.4583333333,16,3.05953996
0.4583333333,17,3.113315265
0.4583333333,18,3.166946608
0.4583333333,19,3.220427021
0.4583333333,20,3.273749727
0.4583333333,21,3.326908145
0.4583333333,22,3.379895894
0.4583333333,23,3.432706796
0.4583333333,24,3.485334883
0.4583333333,25,3.537774396
0.4583333333,26,3.590019791
0.4583333333,27,3.642065737
0.4583333333,28,3.693907121
0.4583333333,29,3.745539046
0.4583333333,30,3.796956833
0.52,-30,0.4194241919
0.52,-29,0.4674985187
0.52,-28,0.5157907468
0.52,-27,0.5642960849
0.52,-26,0.6130094957
0.52,-25,0.6619256954
0.52,-24,0.7110391546
0.52,-23,0.7603440987
0.52,-22,0.8098345104
0.52,-21,0.8595041316
0.52,-20,0.909346467
0.52,-19,0.959354788
0.52,-18,1.009522137
0.52,-17,1.059841335
0.52,-16,1.110304985
0.52,-15,1.16090548
0.52,-14,1.211635014
0.52,-13,1.262485586
0.52,-12,1.313449013
0.52,-11,1.364516938
0.52,-10,1.415680843
0.52,-9,1.466932058
0.52,-8,1.518261777
0.52,-7,1.569661066
0.52,-6,1.621120881
0.52,-5,1.672632079
0.52,-4,1.724185433
0.52,-3,1.775771647
0.52,-2,1.827381372
0.52,-1,1.879005219
0.52,0,1.930633775
0.52,1,1.982257622
0.52,2,2.033867347
0.52,3,2.085453562
0.52,4,2.137006916
0.52,5,2.188518113
0.52,6,2.239977928
0.52,7,2.291377217
0.52,8,2.342706936
0.52,9,2.393958151
0.52,10,2.445122056
0.52,11,2.496189981
0.52,12,2.547153408
0.52,13,2.59800398
0.52,14,2.648733514
0.52,15,2.699334009
0.52,16,2.749797659
0.52,17,2.800116857
0.52,18,2.850284206
0.52,19,2.900292527
0.52,20,2.950134863
0.52,21,2.999804484
0.52,22,3.049294895
0.52,23,3.09859984
0.52,24,3.147713299
0.52,25,3.196629498
