gamma,q,spread
0.001,-30,1.007775192
0.001,-29,1.007790595
0.001,-28,1.007805561
0.001,-27,1.007820082
0.001,-26,1.007834149
0.001,-25,1.007847756
0.001,-24,1.007860895
0.001,-23,1.007873557
0.001,-22,1.007885737
0.001,-21,1.007897427
0.001,-20,1.007908621
0.001,-19,1.007919312
0.001,-18,1.007929494
0.001,-17,1.00793916
0.001,-16,1.007948306
0.001,-15,1.007956926
0.001,-14,1.007965015
0.001,-13,1.007972567
0.001,-12,1.007979578
0.001,-11,1.007986045
0.001,-10,1.007991963
0.001,-9,1.007997328
0.001,-8,1.008002137
0.001,-7,1.008006388
0.001,-6,1.008010077
0.001,-5,1.008013202
0.001,-4,1.008015762
0.001,-3,1.008017755
0.001,-2,1.008019179
0.001,-1,1.008020034
0.001,0,1.008020319
0.001,1,1.008020034
0.001,2,1.008019179
0.001,3,1.008017755
0.001,4,1.008015762
0.001,5,1.008013202
0.001,6,1.008010077
0.001,7,1.008006388
0.001,8,1.008002137
0.001,9,1.007997328
0.001,10,1.007991963
0.001,11,1.007986045
0.001,12,1.007979578
0.001,13,1.007972567
0.001,14,1.007965015
0.001,15,1.007956926
0.001,16,1.007948306
0.001,17,1.00793916
0.001,18,1.007929494
0.001,19,1.007919312
0.001,20,1.007908621
0.001,21,1.007897427
0.001,22,1.007885737
0.001,23,1.007873557
0.001,24,1.007860895
0.001,25,1.007847756
0.001,26,1.007834149
0.001,27,1.007820082
0.001,28,1.007805561
0.001,29,1.007790595
0.001,30,1.007775192
0.01763333333,-30,1.019660481
0.01763333333,-29,1.020088653
0.01763333333,-28,1.020525037
0.01763333333,-27,1.020969269
0.01763333333,-26,1.021420889
0.01763333333,-25,1.02187933
0.01763333333,-24,1.022343904
0.01763333333,-23,1.02281379
0.01763333333,-22,1.023288021
0.01763333333,-21,1.023765473
0.01763333333,-20,1.024244848
0.01763333333,-19,1.024724668
0.01763333333,-18,1.025203263
0.01763333333,-17,1.025678764
0.01763333333,-16,1.0261491
0.01763333333,-15,1.026611998
0.01763333333,-14,1.027064992
0.01763333333,-13,1.027505431
0.01763333333,-12,1.027930502
0.01763333333,-11,1.028337255
0.01763333333,-10,1.028722642
0.01763333333,-9,1.029083561
0.01763333333,-8,1.029416908
0.01763333333,-7,1.029719639
0.01763333333,-6,1.029988837
0.01763333333,-5,1.030221779
0.01763333333,-4,1.030416011
0.01763333333,-3,1.030569414
0.01763333333,-2,1.030680267
0.01763333333,-1,1.030747298
0.01763333333,0,1.030769729
0.01763333333,1,1.030747298
0.01763333333,2,1.030680267
0.01763333333,3,1.030569414
0.01763333333,4,1.030416011
0.01763333333,5,1.030221779
0.01763333333,6,1.029988837
0.01763333333,7,1.029719639
0.01763333333,8,1.029416908
0.01763333333,9,1.029083561
0.01763333333,10,1.028722642
0.01763333333,11,1.028337255
0.01763333333,12,1.027930502
0.01763333333,13,1.027505431
0.01763333333,14,1.027064992
0.01763333333,15,1.026611998
0.01763333333,16,1.0261491
0.01763333333,17,1.025678764
0.01763333333,18,1.025203263
0.01763333333,19,1.024724668
0.01763333333,20,1.024244848
0.01763333333,21,1.023765473
0.01763333333,22,1.023288021
0.01763333333,23,1.02281379
0.01763333333,24,1.022343904
0.01763333333,25,1.02187933
0.01763333333,26,1.021420889
0.01763333333,27,1.020969269
0.01763333333,28,1.020525037
0.01763333333,29,1.020088653
0.01763333333,30,1.019660481
0.03426666667,-30,1.018909842
0.03426666667,-29,1.019547547
0.03426666667,-28,1.020208366
0.03426666667,-27,1.020892899
0.03426666667,-26,1.02160166
0.03426666667,-25,1.022335048
0.03426666667,-24,1.023093313
0.03426666667,-23,1.023876519
0.03426666667,-22,1.02468449
0.03426666667,-21,1.025516758
0.03426666667,-20,1.026372496
0.03426666667,-19,1.027250444
0.03426666667,-18,1.028148824
0.03426666667,-17,1.029065251
0.03426666667,-16,1.029996633
0.03426666667,-15,1.030939064
0.03426666667,-14,1.03188773
0.03426666667,-13,1.032836811
0.03426666667,-12,1.033779408
0.03426666667,-11,1.034707491
0.03426666667,-10,1.035611904
0.03426666667,-9,1.036482416
0.03426666667,-8,1.037307854
0.03426666667,-7,1.038076326
0.03426666667,-6,1.03877554
0.03426666667,-5,1.039393216
0.03426666667,-4,1.039917586
0.03426666667,-3,1.040337946
0.03426666667,-2,1.04064522
0.03426666667,-1,1.040832485
0.03426666667,0,1.040895399
0.03426666667,1,1.040832485
0.03426666667,2,1.04064522
0.03426666667,3,1.040337946
0.03426666667,4,1.039917586
0.03426666667,5,1.039393216
0.03426666667,6,1.03877554
0.03426666667,7,1.038076326
0.03426666667,8,1.037307854
