time,glft_blind_mean_pnl,yaware_hjb_mean_pnl,glft_blind_mean_penalty,yaware_hjb_mean_penalty
0.05,0.01565905138,0.01595034935,0,0
1.05,0.3490459148,0.3440046924,0.0001520505,0.000143998875
2.05,0.6745327515,0.6611574949,0.000594266625,0.000549410625
3.05,1.000036545,0.9821344838,0.00134898975,0.001196735625
4.05,1.331054945,1.299344698,0.00244428075,0.0020784195
5.05,1.653895484,1.606918117,0.003917943,0.00317425725
6.05,1.986696354,1.914107812,0.005827793625,0.004470552
7.05,2.323418047,2.21360231,0.00822573225,0.005951311875
8.05,2.65568796,2.513385909,0.01117823512,0.00760950225
9.05,2.984700407,2.817041048,0.01472198287,0.009451051875
10.05,3.318186762,3.109239339,0.01889623687,0.01148286375
11.05,3.644894515,3.405862724,0.02375844637,0.0136982295
12.05,3.970202756,3.693628187,0.0293369625,0.01609858687
13.05,4.289490646,3.987738358,0.0356621805,0.01867329562
14.05,4.613816674,4.274934336,0.0427877595,0.02143142887
15.05,4.939000494,4.556927262,0.0507588345,0.024342939
16.05,5.282693242,4.85109148,0.05963161613,0.0274221135
17.05,5.599985532,5.133135716,0.069420933,0.0306822375
18.05,5.936707793,5.41401571,0.08019716513,0.03411264262
19.05,6.259369878,5.683456482,0.09200603025,0.03770887387
20.05,6.580327637,5.961800984,0.1048517674,0.04149160312
21.05,6.923590607,6.240164017,0.1187678959,0.04545295312
22.05,7.24510986,6.512207851,0.1337965076,0.04959730125
23.05,7.564589529,6.775096328,0.1499589979,0.0539084835
24.05,7.881105284,7.039592951,0.1672755413,0.0584074665
25.05,8.183185737,7.301356347,0.1857519405,0.06309950287
26.05,8.504451377,7.575445707,0.2053884071,0.06797081137
27.05,8.815599126,7.829331615,0.226244061,0.07302629137
28.05,9.120507252,8.079068268,0.2483294018,0.07825952137
29.05,9.439134134,8.339494413,0.2716256689,0.08367276825
30.05,9.742322689,8.606272199,0.2962064272,0.08925821887
31.05,10.06129559,8.862538564,0.3220505651,0.09499080487
32.05,10.35283107,9.109261509,0.3491604484,0.1008736256
