pnl_center,glft_blind,yaware_hjb
839.8495441,0.0008,0
874.8634414,0.00085,0
909.8773388,0.0009,0
944.8912361,0.0009,0
979.9051334,0.00095,0
1014.919031,0.00155,0
1049.932928,0.00195,0
1084.946825,0.0015,0
1119.960723,0.0018,0
1154.97462,0.00185,0
1189.988517,0.0028,0
1225.002415,0.0031,0.0001
1260.016312,0.0038,0.0003
1295.030209,0.0034,5e-05
1330.044107,0.0042,0.0002
1365.058004,0.00435,0.00045
1400.071901,0.00485,0.0005
1435.085799,0.0058,0.00085
1470.099696,0.0054,0.00115
1505.113594,0.0068,0.00185
1540.127491,0.0084,0.00275
1575.141388,0.008,0.00345
1610.155286,0.0078,0.00585
1645.169183,0.0105,0.0072
1680.18308,0.0123,0.0105
1715.196978,0.01015,0.0123
1750.210875,0.0124,0.01755
1785.224772,0.01345,0.02285
1820.23867,0.0144,0.02625
1855.252567,0.0147,0.03435
1890.266464,0.01635,0.0421
1925.280362,0.018,0.04735
1960.294259,0.0188,0.05115
1995.308156,0.0173,0.05655
2030.322054,0.0193,0.0611
2065.335951,0.02045,0.0619
2100.349848,0.02005,0.0634
2135.363746,0.02175,0.06445
2170.377643,0.02295,0.06255
2205.39154,0.02155,0.0553
2240.405438,0.02315,0.0553
2275.419335,0.0242,0.04795
2310.433232,0.0238,0.0416
2345.44713,0.02435,0.03325
2380.461027,0.02655,0.0277
2415.474924,0.02415,0.02125
2450.488822,0.0257,0.01715
2485.502719,0.0229,0.01215
2520.516616,0.0244,0.0099
2555.530514,0.02505,0.00665
2590.544411,0.0227,0.0048
2625.558308,0.02235,0.00245
2660.572206,0.02205,0.00215
2695.586103,0.0214,0.00145
2730.6,0.02025,0.0009
2765.613898,0.02115,0.0006
2800.627795,0.01975,0.0001
2835.641692,0.0181,0.0002
2870.65559,0.0183,0
2905.669487,0.0162,5e-05
2940.683384,0.01605,5e-05
2975.697282,0.0143,0
3010.711179,0.0142,0
3045.725076,0.01315,0
3080.738974,0.01145,0
3115.752871,0.011,0
3150.766768,0.01025,0
3185.780666,0.0112,0
3220.794563,0.0094,0
3255.80846,0.0084,0
3290.822358,0.0069,0
3325.836255,0.0068,0
3360.850152,0.00545,0
3395.86405,0.0054,0
3430.877947,0.00515,0
3465.891844,0.005,0
3500.905742,0.0031,0
3535.919639,0.00395,0
3570.933536,0.00275,0
3605.947434,0.00275,0
3640.961331,0.00225,0
3675.975228,0.003,0
3710.989126,0.00175,0
3746.003023,0.00155,0
3781.01692,0.0013,0
3816.030818,0.0009,0
3851.044715,0.0009,0
3886.058613,0.00075,0
3921.07251,0.00055,0
