k,q,bid_depth
0.15,-30,3.173159061
0.15,-29,3.28320039
0.15,-28,3.393338601
0.15,-27,3.503575448
0.15,-26,3.613911847
0.15,-25,3.724347977
0.15,-24,3.834883371
0.15,-23,3.945516989
0.15,-22,4.056247282
0.15,-21,4.16707225
0.15,-20,4.277989493
0.15,-19,4.388996251
0.15,-18,4.500089446
0.15,-17,4.611265712
0.15,-16,4.722521428
0.15,-15,4.833852746
0.15,-14,4.945255611
0.15,-13,5.056725784
0.15,-12,5.168258866
0.15,-11,5.279850309
0.15,-10,5.391495436
0.15,-9,5.503189457
0.15,-8,5.614927479
0.15,-7,5.726704523
0.15,-6,5.838515533
0.15,-5,5.95035539
0.15,-4,6.06221892
0.15,-3,6.174100907
0.15,-2,6.2859961
0.15,-1,6.397899227
0.15,0,6.509805
0.15,1,6.621708127
0.15,2,6.733603321
0.15,3,6.845485308
0.15,4,6.957348838
0.15,5,7.069188695
0.15,6,7.180999705
0.15,7,7.292776749
0.15,8,7.404514771
0.15,9,7.516208791
0.15,10,7.627853918
0.15,11,7.739445361
0.15,12,7.850978443
0.15,13,7.962448617
0.15,14,8.073851482
0.15,15,8.185182799
0.15,16,8.296438516
0.15,17,8.407614782
0.15,18,8.518707976
0.15,19,8.629714734
0.15,20,8.740631977
0.15,21,8.851456946
0.15,22,8.962187239
0.15,23,9.072820857
0.15,24,9.183356251
0.15,25,9.293792381
0.15,26,9.404128779
0.15,27,9.514365626
0.15,28,9.624503838
0.15,29,9.734545166
0.15,30,9.844492318
0.2116666667,-30,1.865250065
0.2116666667,-29,1.956528653
0.2116666667,-28,2.048002195
0.2116666667,-27,2.139665648
0.2116666667,-26,2.23151372
0.2116666667,-25,2.323540895
0.2116666667,-24,2.415741452
0.2116666667,-23,2.508109487
0.2116666667,-22,2.600638924
0.2116666667,-21,2.693323534
0.2116666667,-20,2.786156944
0.2116666667,-19,2.87913265
0.2116666667,-18,2.972244024
0.2116666667,-17,3.065484327
0.2116666667,-16,3.158846715
0.2116666667,-15,3.252324249
0.2116666667,-14,3.345909898
0.2116666667,-13,3.439596551
0.2116666667,-12,3.533377021
0.2116666667,-11,3.627244052
0.2116666667,-10,3.721190323
0.2116666667,-9,3.815208458
0.2116666667,-8,3.909291029
0.2116666667,-7,4.003430561
0.2116666667,-6,4.097619541
0.2116666667,-5,4.191850419
0.2116666667,-4,4.286115617
0.2116666667,-3,4.380407534
0.2116666667,-2,4.474718548
0.2116666667,-1,4.569041026
0.2116666667,0,4.663367326
0.2116666667,1,4.757689805
0.2116666667,2,4.852000819
0.2116666667,3,4.946292735
0.2116666667,4,5.040557934
0.2116666667,5,5.134788812
0.2116666667,6,5.228977791
0.2116666667,7,5.323117324
0.2116666667,8,5.417199894
0.2116666667,9,5.511218029
0.2116666667,10,5.605164301
0.2116666667,11,5.699031331
0.2116666667,12,5.792811801
0.2116666667,13,5.886498455
0.2116666667,14,5.980084104
0.2116666667,15,6.073561638
0.2116666667,16,6.166924026
0.2116666667,17,6.260164329
0.2116666667,18,6.353275703
0.2116666667,19,6.446251408
0.2116666667,20,6.539084818
0.2116666667,21,6.631769429
0.2116666667,22,6.724298866
0.2116666667,23,6.816666901
0.2116666667,24,6.908867458
0.2116666667,25,7.000894633
0.2116666667,26,7.092742705
0.2116666667,27,7.184406158
0.2116666667,28,7.2758797
0.2116666667,29,7.367158288
0.2116666667,30,7.458237159
0.2733333333,-30,1.174466582
0.2733333333,-29,1.254117784
0.2733333333,-28,1.334001645
0.2733333333,-27,1.414111617
0.2733333333,-26,1.494440986
0.2733333333,-25,1.574982874
0.2733333333,-24,1.655730249
0.2733333333,-23,1.736675928
0.2733333333,-22,1.817812582
0.2733333333,-21,1.899132744
0.2733333333,-20,1.980628811
0.2733333333,-19,2.062293052
0.2733333333,-18,2.144117613
0.2733333333,-17,2.22609452
0.2733333333,-16,2.308215686
0.2733333333,-15,2.390472921
0.2733333333,-14,2.472857928
0.2733333333,-13,2.55536232
0.2733333333,-12,2.637977618
0.2733333333,-11,2.720695261
0.2733333333,-10,2.80350661
0.2733333333,-9,2.886402956
0.2733333333,-8,2.969375526
0.2733333333,-7,3.052415489
0.2733333333,-6,3.135513964
0.2733333333,-5,3.218662024
0.2733333333,-4,3.301850706
0.2733333333,-3,3.385071014
0.2733333333,-2,3.468313929
0.2733333333,-1,3.551570417
0.2733333333,0,3.634831429
0.2733333333,1,3.718087916
0.2733333333,2,3.801330831
0.2733333333,3,3.88455114
0.2733333333,4,3.967739821
0.2733333333,5,4.050887881
0.2733333333,6,4.133986356
0.2733333333,7,4.21702632
0.2733333333,8,4.29999889
0.2733333333,9,4.382895236
0.2733333333,10,4.465706584
0.2733333333,11,4.548424227
0.2733333333,12,4.631039525
0.2733333333,13,4.713543917
0.2733333333,14,4.795928925
0.2733333333,15,4.878186159
0.2733333333,16,4.960307326
0.2733333333,17,5.042284232
0.2733333333,18,5.124108793
0.2733333333,19,5.205773034
0.2733333333,20,5.287269102
0.2733333333,21,5.368589263
0.2733333333,22,5.449725918
0.2733333333,23,5.530671596
0.2733333333,24,5.611418971
0.2733333333,25,5.691960859
0.2733333333,26,5.772290228
0.2733333333,27,5.8524002
0.2733333333,28,5.932284061
0.2733333333,29,6.011935264
0.2733333333,30,6.091347433
0.335,-30,0.7594042751
0.335,-29,0.8307487122
0.335,-28,0.9023516406
0.335,-27,0.9742061212
0.335,-26,1.046305009
0.335,-25,1.118640954
0.335,-24,1.191206412
0.335,-23,1.26399364
0.335,-22,1.336994709
0.335,-21,1.410201504
0.335,-20,1.483605733
0.335,-19,1.55719893
0.335,-18,1.630972464
0.335,-17,1.704917541
0.335,-16,1.779025217
0.335,-15,1.853286401
0.335,-14,1.927691861
0.335,-13,2.002232237
0.335,-12,2.076898042
0.335,-11,2.151679678
0.335,-10,2.226567436
0.335,-9,2.301551512
0.335,-8,2.37662201
0.335,-7,2.451768956
0.335,-6,2.526982302
0.335,-5,2.602251938
0.335,-4,2.677567703
0.335,-3,2.752919391
0.335,-2,2.828296763
0.335,-1,2.903689554
0.335,0,2.979087487
0.335,1,3.054480279
0.335,2,3.12985765
0.335,3,3.205209338
0.335,4,3.280525103
0.335,5,3.35579474
0.335,6,3.431008085
0.335,7,3.506155031
0.335,8,3.581225529
0.335,9,3.656209605
0.335,10,3.731097364
0.335,11,3.805878999
0.335,12,3.880544805
0.335,13,3.95508518
0.335,14,4.02949064
0.335,15,4.103751824
0.335,16,4.1778595
0.335,17,4.251804578
0.335,18,4.325578111
0.335,19,4.399171308
0.335,20,4.472575537
0.335,21,4.545782332
0.335,22,4.618783401
0.335,23,4.691570629
0.335,24,4.764136087
0.335,25,4.836472033
0.335,26,4.90857092
0.335,27,4.980425401
0.335,28,5.052028329
0.335,29,5.123372766
0.335,30,5.194451983
0.3966666667,-30,0.4883658839
0.3966666667,-29,0.5533387156
0.3966666667,-28,0.618591945
0.3966666667,-27,0.6841185006
0.3966666667,-26,0.7499110494
0.3966666667,-25,0.8159619996
0.3966666667,-24,0.8822635057
0.3966666667,-23,0.9488074726
0.3966666667,-22,1.015585561
0.3966666667,-21,1.082589194
0.3966666667,-20,1.149809563
0.3966666667,-19,1.217237633
0.3966666667,-18,1.284864152
0.3966666667,-17,1.352679659
0.3966666667,-16,1.420674492
0.3966666667,-15,1.488838795
0.3966666667,-14,1.557162529
0.3966666667,-13,1.625635483
0.3966666667,-12,1.694247281
0.3966666667,-11,1.762987395
0.3966666667,-10,1.831845153
0.3966666667,-9,1.900809756
0.3966666667,-8,1.969870282
0.3966666667,-7,2.039015702
0.3966666667,-6,2.108234893
0.3966666667,-5,2.177516648
0.3966666667,-4,2.246849688
0.3966666667,-3,2.316222678
0.3966666667,-2,2.385624236
0.3966666667,-1,2.455042947
0.3966666667,0,2.524467378
0.3966666667,1,2.593886089
0.3966666667,2,2.663287646
0.3966666667,3,2.732660636
0.3966666667,4,2.801993676
0.3966666667,5,2.871275431
0.3966666667,6,2.940494622
0.3966666667,7,3.009640042
0.3966666667,8,3.078700568
0.3966666667,9,3.147665171
0.3966666667,10,3.21652293
0.3966666667,11,3.285263043
0.3966666667,12,3.353874841
0.3966666667,13,3.422347795
0.3966666667,14,3.49067153
0.3966666667,15,3.558835832
0.3966666667,16,3.626830665
0.3966666667,17,3.694646173
0.3966666667,18,3.762272692
0.3966666667,19,3.829700761
0.3966666667,20,3.89692113
0.3966666667,21,3.963924763
0.3966666667,22,4.030702852
0.3966666667,23,4.097246819
0.3966666667,24,4.163548325
0.3966666667,25,4.229599275
0.3966666667,26,4.295391824
0.3966666667,27,4.360918379
0.3966666667,28,4.426171609
0.3966666667,29,4.49114444
0.3966666667,30,4.555830068
0.4583333333,-30,0.3009138413
0.4583333333,-29,0.3607816845
0.4583333333,-28,0.420948954
0.4583333333,-27,0.481408597
0.4583333333,-26,0.5421532407
0.4583333333,-25,0.6031751964
0.4583333333,-24,0.6644664627
0.4583333333,-23,0.7260187307
0.4583333333,-22,0.7878233889
0.4583333333,-21,0.84987153
0.4583333333,-20,0.9121539571
0.4583333333,-19,0.9746611923
0.4583333333,-18,1.037383484
0.4583333333,-17,1.100310818
0.4583333333,-16,1.163432925
0.4583333333,-15,1.226739293
0.4583333333,-14,1.290219176
0.4583333333,-13,1.35386161
0.4583333333,-12,1.417655422
0.4583333333,-11,1.481589243
0.4583333333,-10,1.545651523
0.4583333333,-9,1.609830547
0.4583333333,-8,1.674114443
0.4583333333,-7,1.738491204
0.4583333333,-6,1.802948699
0.4583333333,-5,1.86747469
0.4583333333,-4,1.93205685
0.4583333333,-3,1.996682773
0.4583333333,-2,2.061339998
0.4583333333,-1,2.126016021
0.4583333333,0,2.190698313
0.4583333333,1,2.255374336
0.4583333333,2,2.320031561
0.4583333333,3,2.384657484
0.4583333333,4,2.449239643
0.4583333333,5,2.513765635
0.4583333333,6,2.57822313
0.4583333333,7,2.642599891
0.4583333333,8,2.706883787
0.4583333333,9,2.77106281
0.4583333333,10,2.835125091
0.4583333333,11,2.899058912
0.4583333333,12,2.962852723
0.4583333333,13,3.026495157
0.4583333333,14,3.08997504
0.4583333333,15,3.153281408
0.4583333333,16,3.216403515
0.4583333333,17,3.279330849
0.4583333333,18,3.342053141
0.4583333333,19,3.404560376
0.4583333333,20,3.466842803
0.4583333333,21,3.528890944
0.4583333333,22,3.590695603
0.4583333333,23,3.652247871
0.4583333333,24,3.713539137
0.4583333333,25,3.774561093
0.4583333333,26,3.835305736
0.4583333333,27,3.895765379
0.4583333333,28,3.955932649
0.4583333333,29,4.015800492
0.4583333333,30,4.075362178
0.52,-30,0.1657803104
0.52,-29,0.221430155
0.52,-28,0.2773959599
0.52,-27,0.3336708143
0.52,-26,0.3902474301
0.52,-25,0.4471181447
0.52,-24,0.5042749231
0.52,-23,0.5617093629
0.52,-22,0.6194126989
0.52,-21,0.6773758091
0.52,-20,0.7355892226
0.52,-19,0.7940431268
0.52,-18,0.8527273777
0.52,-17,0.9116315091
0.52,-16,0.9707447444
0.52,-15,1.030056009
0.52,-14,1.089553941
0.52,-13,1.14922691
0.52,-12,1.209063027
0.52,-11,1.269050162
0.52,-10,1.329175961
0.52,-9,1.389427862
0.52,-8,1.449793112
0.52,-7,1.510258788
0.52,-6,1.570811813
0.52,-5,1.631438977
0.52,-4,1.692126957
0.52,-3,1.752862335
0.52,-2,1.813631622
0.52,-1,1.874421275
0.52,0,1.93521772
0.52,1,1.996007372
0.52,2,2.056776659
0.52,3,2.117512037
0.52,4,2.178200017
0.52,5,2.238827181
0.52,6,2.299380206
0.52,7,2.359845882
0.52,8,2.420211132
