gamma,q,spread
0.001,-30,2.248153088
0.001,-29,2.248261108
0.001,-28,2.248366449
0.001,-27,2.248469021
0.001,-26,2.248568733
0.001,-25,2.248665499
0.001,-24,2.248759234
0.001,-23,2.248849851
0.001,-22,2.248937271
0.001,-21,2.249021412
0.001,-20,2.249102197
0.001,-19,2.249179551
0.001,-18,2.249253402
0.001,-17,2.249323679
0.001,-16,2.249390316
0.001,-15,2.249453248
0.001,-14,2.249512415
0.001,-13,2.24956776
0.001,-12,2.249619229
0.001,-11,2.24966677
0.001,-10,2.249710338
0.001,-9,2.249749889
0.001,-8,2.249785384
0.001,-7,2.249816787
0.001,-6,2.249844067
0.001,-5,2.249867197
0.001,-4,2.249886154
0.001,-3,2.249900917
0.001,-2,2.249911473
0.001,-1,2.249917811
0.001,0,2.249919925
0.001,1,2.249917811
0.001,2,2.249911473
0.001,3,2.249900917
0.001,4,2.249886154
0.001,5,2.249867197
0.001,6,2.249844067
0.001,7,2.249816787
0.001,8,2.249785384
0.001,9,2.249749889
0.001,10,2.249710338
0.001,11,2.24966677
0.001,12,2.249619229
0.001,13,2.24956776
0.001,14,2.249512415
0.001,15,2.249453248
0.001,16,2.249390316
0.001,17,2.249323679
0.001,18,2.249253402
0.001,19,2.249179551
0.001,20,2.249102197
0.001,21,2.249021412
0.001,22,2.248937271
0.001,23,2.248849851
0.001,24,2.248759234
0.001,25,2.248665499
0.001,26,2.248568733
0.001,27,2.248469021
0.001,28,2.248366449
0.001,29,2.248261108
0.001,30,2.248153088
0.01763333333,-30,2.260368324
0.01763333333,-29,2.261872342
0.01763333333,-28,2.263442585
0.01763333333,-27,2.26508227
0.01763333333,-26,2.266794624
0.01763333333,-25,2.268582833
0.01763333333,-24,2.270449964
0.01763333333,-23,2.272398875
0.01763333333,-22,2.274432087
0.01763333333,-21,2.276551628
0.01763333333,-20,2.278758834
0.01763333333,-19,2.281054097
0.01763333333,-18,2.283436556
0.01763333333,-17,2.285903727
0.01763333333,-16,2.288451055
0.01763333333,-15,2.291071399
0.01763333333,-14,2.293754448
0.01763333333,-13,2.296486097
0.01763333333,-12,2.299247814
0.01763333333,-11,2.302016057
0.01763333333,-10,2.304761844
0.01763333333,-9,2.307450577
0.01763333333,-8,2.310042256
0.01763333333,-7,2.312492211
0.01763333333,-6,2.314752428
0.01763333333,-5,2.316773476
0.01763333333,-4,2.318506928
0.01763333333,-3,2.319908072
0.01763333333,-2,2.320938645
0.01763333333,-1,2.321569313
0.01763333333,0,2.321781633
0.01763333333,1,2.321569313
0.01763333333,2,2.320938645
0.01763333333,3,2.319908072
0.01763333333,4,2.318506928
0.01763333333,5,2.316773476
0.01763333333,6,2.314752428
0.01763333333,7,2.312492211
0.01763333333,8,2.310042256
0.01763333333,9,2.307450577
0.01763333333,10,2.304761844
