model,param,value,rel,relRMSE
toy,baseline,,1.00,0.04064
toy,BETA=0.00625,0.00625,0.50,0.13528
toy,BETA=0.025,0.025,2.00,0.07444
toy,ETA=0.24,0.24,0.75,0.09421
toy,ETA=0.42,0.42,1.31,0.13903
toy,GAMMA=0.005,0.005,0.50,0.03730
toy,GAMMA=0.05,0.05,5.00,0.07331
fast-alpha,eta_alpha,0.0,0,0.02958
fast-alpha,eta_alpha,0.001,1.0,0.02958
fast-alpha,eta_alpha,0.003,3.0,0.02958
regime,baseline,,1.00,0.05153
regime,STAR=0.6,0.6,0.48,0.03883
regime,STAR=2.0,2.0,1.60,0.07222
regime,TAU=60.0,60.0,0.50,0.04920
regime,TAU=240.0,240.0,2.00,0.05310
regime,BETA=0.00625,0.00625,0.50,0.40621
regime,BETA=0.025,0.025,2.00,0.11919
