model,case,variant,c,sigma_i,abs_rmse,target_rms,rel_rmse,q_grid,converged,solve_tau,last_depth_diff
fast-alpha,baseline,current,1.0,2.0238577025077626,0.057168019820563784,1.650533279186566,0.03463609037240253,-5 0 11 15,1,1040.0,1.9175729448761558e-08
fast-alpha,baseline,width_scaled,1.0,2.0238577025077626,0.05716801982056379,1.650533279186566,0.03463609037240253,-5 0 11 15,1,1040.0,1.9175729448761558e-08
fast-alpha,eta_0.64,current,0.5,4.047715405015525,2.0469202801185387,2.2657105938488193,0.903434130411768,-5 0 11 15,1,1380.0,1.8849220850825077e-08
fast-alpha,eta_0.64,width_scaled,0.5,4.047715405015525,0.3587603838023752,2.2657105938488193,0.15834342866929882,-5 0 11 15,1,1380.0,1.8849220850825077e-08
fast-alpha,corner_betaHalf_eta0.64,current,0.35355339059327373,5.724334022399462,14.03324202057488,3.93400640736616,3.5671629802886407,-5 0 11 15,1,2775.0,1.9683653817992308e-08
fast-alpha,corner_betaHalf_eta0.64,width_scaled,0.35355339059327373,5.724334022399462,2.57206835114922,3.93400640736616,0.6538038032508531,-5 0 11 15,1,2775.0,1.9683653817992308e-08
fast-alpha,corner_eta0.64_zeta0.125,current,0.5,4.047715405015525,2.4340786718002643,3.4091961943401725,0.7139743602439883,-5 0 11 15,1,1520.0,1.8825655700993593e-08
fast-alpha,corner_eta0.64_zeta0.125,width_scaled,0.5,4.047715405015525,1.2185170866031425,3.4091961943401725,0.3574206402747022,-5 0 11 15,1,1520.0,1.8825655700993593e-08
fast-alpha,strong_alpha,current,1.0,2.0238577025077626,1.1488466373622963,2.6865259605325886,0.4276328069186214,-6 0 12 18,1,270.0,1.6275748748739716e-08
fast-alpha,strong_alpha,width_scaled,1.0,2.0238577025077626,1.1488466373622963,2.6865259605325886,0.4276328069186214,-6 0 12 18,1,270.0,1.6275748748739716e-08
regime,baseline,current,1.0,2.0238577025077626,0.0904978146244521,1.7704533798783175,0.05111561572475406,-5 0 11 15,1,1140.0,1.861585019469203e-08
regime,baseline,width_scaled,1.0,2.0238577025077626,0.0904978146244521,1.7704533798783175,0.05111561572475406,-5 0 11 15,1,1140.0,1.861585019469203e-08
regime,eta_0.64,current,0.5,4.047715405015525,2.0850314184005616,2.3243206813847666,0.8970498068959903,-5 0 11 15,1,1450.0,1.9670125084303436e-08
regime,eta_0.64,width_scaled,0.5,4.047715405015525,0.3698951551221994,2.3243206813847666,0.15914118825541146,-5 0 11 15,1,1450.0,1.9670125084303436e-08
regime,corner_eta0.64_zstar2.5,current,0.5,4.047715405015525,2.19910537321651,2.489480982151369,0.8833589768241888,-5 0 11 15,1,1560.0,1.8764694686979055e-08
regime,corner_eta0.64_zstar2.5,width_scaled,0.5,4.047715405015525,0.39393902530350344,2.489480982151369,0.15824142788311954,-5 0 11 15,1,1560.0,1.8764694686979055e-08
regime,corner_betaHalf_zstar2.5,current,0.7071067811865475,2.862167011199731,1.1679682968871277,2.789666726095735,0.41867664189469406,-5 0 11 15,1,2085.0,1.955643824658182e-08
regime,corner_betaHalf_zstar2.5,width_scaled,0.7071067811865475,2.862167011199731,0.35343047015007345,2.789666726095735,0.12669272169465037,-5 0 11 15,1,2085.0,1.955643824658182e-08
regime,strong_alpha,current,1.0,2.0238577025077626,1.4196664458118413,2.7750733120817164,0.511577996743762,-6 0 12 18,1,270.0,1.8531665091359173e-08
regime,strong_alpha,width_scaled,1.0,2.0238577025077626,1.4196664458118413,2.7750733120817164,0.511577996743762,-6 0 12 18,1,270.0,1.8531665091359173e-08
